slug,displayName,region,website,logo,rankedTeams,bestRank,avgCPI,topTeam,topTeamGroup
mission,Mission WPC,Orange County,https://missionwpc.com/home,assets/logos/canonical/mission.webp,8,1,1950.6,Mission A,12U Boys
newport-beach,Newport Beach Water Polo,Orange County,https://www.newportbeachwaterpolo.com/,assets/logos/canonical/newport-beach.webp,12,1,1879.2,Newport Beach A,12U Girls
norcal,NorCal Aquatics,Peninsula / San Francisco,https://www.norcal-aquatics.com/,assets/logos/canonical/norcal.webp,6,1,1734.6,NorCal A,14U Boys
patriot,Patriot Aquatics,Orange County,https://patriotaquatics.org/,assets/logos/canonical/patriot.webp,9,1,1824.3,Patriot Navy,14U Girls
sbwpc,SBWPC,Central Coast,,assets/logos/canonical/sbwpc.webp,8,1,1759.8,SBWPC A,16U Girls
cc-united,CC United,East Bay,https://www.gomotionapp.com/team/wpccup/page/home,assets/logos/canonical/cc-united.webp,9,2,1786.3,CC United,18U Boys
del-mar,Del Mar,San Diego,,assets/logos/canonical/del-mar.webp,2,2,1969.3,Del Mar Blue,12U Girls
imperial,Imperial,Inland Empire,,assets/logos/canonical/imperial.webp,3,2,1894.3,Imperial,16U Boys
stanford,Stanford Water Polo Club,Peninsula / San Francisco,https://www.stanfordwaterpoloclub.com/,assets/logos/canonical/stanford.webp,14,2,1787.5,Stanford Red,12U Boys
908,908,Central Coast,,assets/logos/canonical/908.webp,3,3,1917.0,908,14U Girls
la-jolla-united,La Jolla United,San Diego,https://lajollaunited.com/,assets/logos/canonical/la-jolla-united.webp,13,3,1623.0,La Jolla United A,14U Boys
lamorinda,Lamorinda Water Polo,East Bay,https://www.lamorindawaterpolo.org/,assets/logos/canonical/lamorinda.webp,15,3,1739.9,Lamorinda A,12U Girls
regency,Regency,Orange County,,assets/logos/canonical/regency.webp,2,3,1912.7,Regency,18U Girls
sd-dons,San Diego Dons,San Diego,https://sddonspolo.com/,assets/logos/canonical/sd-dons.webp,8,3,1751.2,SD Dons A,12U Boys
south-coast,South Coast Aquatics,Orange County,https://www.southcoastaquatics.com/,assets/logos/canonical/south-coast.webp,14,3,1652.6,South Coast,16U Girls
vanguard,Vanguard Aquatics,Orange County,https://vanguardaquatics.com/,assets/logos/canonical/vanguard.webp,10,3,1697.3,Vanguard,16U Boys
greenwich,Greenwich,Out of State,,assets/logos/canonical/greenwich.webp,5,4,1773.9,Greenwich,12U Boys
meridian,Meridian,East Bay,,assets/logos/canonical/meridian.webp,1,4,1980.4,Meridian,16U Girls
socal,SOCAL Water Polo,Orange County,https://www.socalwaterpolo.org/,assets/logos/canonical/socal.webp,8,4,1739.3,SoCal,18U Girls
san-clemente,San Clemente,Orange County,,assets/logos/canonical/san-clemente.webp,10,4,1768.9,San Clemente Red,12U Girls
san-diego-shores,San Diego Shores,San Diego,,assets/logos/canonical/san-diego-shores.webp,7,4,1765.0,San Diego Shores,16U Boys
back-bay,Back Bay,Orange County,,assets/logos/canonical/back-bay.webp,6,5,1730.5,Back Bay Navy,12U Girls
la-premier,LA Premier,Los Angeles,,assets/logos/canonical/la-premier.webp,5,5,1783.1,LA Premier A,14U Boys
north-irvine,North Irvine WPC,Orange County,https://www.gomotionapp.com/team/niwpc/page/home,assets/logos/canonical/north-irvine.webp,8,5,1660.3,North Irvine,18U Boys
sd-shores,San Diego Shores,San Diego,,assets/logos/canonical/sd-shores.webp,4,5,1843.3,San Diego Shores Black,14U Girls
680,680 Water Polo,East Bay,https://www.680waterpolo.com/,assets/logos/canonical/680.webp,11,6,1705.5,680 Red,12U Girls
cdm,CDM,Orange County,,assets/logos/canonical/cdm.webp,7,6,1729.0,CDM,18U Girls
ciu,Channel Islands United,Central Coast,,assets/logos/canonical/ciu.webp,8,6,1639.1,CIU A,14U Boys
diablo-alliance,Diablo Alliance,East Bay,https://www.diablowaterpolo.com/,assets/logos/canonical/diablo-alliance.webp,7,6,1706.9,Diablo Alliance A,14U Girls
berkeley-wpc,Berkeley WPC,East Bay,,assets/logos/canonical/berkeley-wpc.webp,1,7,1926.9,Berkeley WPC,16U Boys
commerce,Commerce Water Polo,Los Angeles,https://www.gomotionapp.com/team/comm/page/home,assets/logos/canonical/commerce.webp,8,7,1756.0,Commerce,12U Girls
santa-barbara,Santa Barbara Water Polo Club,Central Coast,https://sbwaterpolo.com/,assets/logos/canonical/santa-barbara.webp,4,7,1755.6,SBWPC A,14U Girls
ovac,OVAC,Los Angeles,,assets/logos/canonical/ovac.webp,3,8,1752.6,OVAC A,14U Boys
rose-bowl,Rose Bowl Water Polo Club,Los Angeles,https://rosebowlaquatics.org/water-polo,assets/logos/canonical/rose-bowl.webp,9,8,1695.2,Rose Bowl,18U Girls
sj-express,SJ Express,Peninsula / San Francisco,,assets/logos/canonical/sj-express.webp,5,8,1573.2,San Jose Express Blue,12U Boys
trojan,Trojan,Los Angeles,,assets/logos/canonical/trojan.webp,8,8,1668.9,Trojan,16U Boys
aetos,Aetos,Orange County,,assets/logos/canonical/aetos.webp,2,9,1801.8,Aetos,18U Boys
orwp,ORWP,Los Angeles,,assets/logos/canonical/orwp.webp,5,9,1664.2,ORWP A,16U Boys
viking,Viking,Los Angeles,,assets/logos/canonical/viking.webp,5,9,1687.3,LB Viking Blue,18U Girls
foothill,Foothill,Orange County,,assets/logos/canonical/foothill.webp,5,10,1638.9,Foothill,18U Girls
norco,Norco,Inland Empire,,assets/logos/canonical/norco.webp,1,10,1822.1,Norco,16U Girls
santa-cruz,Santa Cruz,Central Coast,,assets/logos/canonical/santa-cruz.webp,5,10,1704.1,Santa Cruz,14U Girls
legacy,Legacy,Central Coast,,assets/logos/canonical/legacy.webp,2,11,1695.2,Legacy,18U Girls
rancho-tsunami,Rancho Tsunami Water Polo Club,Inland Empire,https://www.ranchotsunami.com/,assets/logos/canonical/rancho-tsunami.webp,7,11,1721.1,Tsunami,12U Boys
shore-aquatics,Shore Aquatics,Los Angeles,,assets/logos/canonical/shore-aquatics.webp,5,11,1787.3,Shore Aquatics,12U Girls
