club,displayName,logo,logoStatus,website,region,primaryColor,secondaryColor
680,680 Water Polo,assets/logos/680.png,verified_by_user,https://www.680waterpolo.com/,East Bay,#174EA6,#D71920
908,908,assets/logos/908.svg,placeholder,,,#073763,#F7B500
Alameda,Alameda Neptunes,assets/logos/alameda.png,verified_by_user,https://alamedawaterpolo.org/?avia_forced_reroute=1,East Bay,#064E3B,#FFFFFF
American River,American River Water Polo Club,assets/logos/american-river.png,verified_by_user,https://www.arwpc.com/,Sacramento,#0057B8,#F7C948
BOA,BOA,assets/logos/boa.svg,placeholder,,,#073763,#F7B500
Back Bay,Back Bay,assets/logos/back-bay.svg,placeholder,,,#073763,#F7B500
Brea Olinda Gold,Brea Olinda Gold,assets/logos/brea-olinda-gold.svg,placeholder,,,#073763,#F7B500
Burlingame,Burlingame,assets/logos/burlingame.svg,placeholder,,,#073763,#F7B500
CC United,CC United,assets/logos/cc-united.png,verified_by_user,https://www.gomotionapp.com/team/wpccup/page/home,Contra Costa / East Bay,#F4C430,#C8102E
CDM,CDM,assets/logos/cdm.svg,placeholder,,,#073763,#F7B500
CIU,Channel Islands United,assets/logos/ciu.png,verified_by_user,,Ventura / Channel Islands,#1E88E5,#FFFFFF
CT Premier,CT Premier,assets/logos/ct-premier.svg,placeholder,,,#073763,#F7B500
CVU,CVU,assets/logos/cvu.svg,placeholder,,,#073763,#F7B500
Clovis Red,Clovis Water Polo Club,assets/logos/clovis-red.png,verified_by_user,https://www.cloviswpc.com/,Central Valley,#C8102E,#111111
Commerce,Commerce Water Polo,assets/logos/commerce.png,verified_by_user,https://www.gomotionapp.com/team/comm/page/home,Los Angeles,#111111,#16A34A
Davis,Davis Water Polo Club,assets/logos/davis.png,verified_by_user,https://www.daviswaterpolo.org/,Sacramento / Davis,#0057B8,#FFFFFF
Devils Gate,Devils Gate,assets/logos/devils-gate.svg,placeholder,,,#073763,#F7B500
Diablo Alliance,Diablo Alliance,assets/logos/diablo-alliance.png,verified_by_user,https://www.diablowaterpolo.com/,East Bay,#111111,#C8102E
Foothill Club,Foothill Club Water Polo,assets/logos/foothill-club.png,verified_by_user,https://foothillclubwaterpolo.org/,Orange County,#8B0000,#111111
Gold Coast,Gold Coast,assets/logos/gold-coast.svg,placeholder,,,#073763,#F7B500
Hieland,Hieland,assets/logos/hieland.svg,placeholder,,,#073763,#F7B500
Honolulu Blue,Honolulu Blue,assets/logos/honolulu-blue.svg,placeholder,,,#073763,#F7B500
Honolulu Green,Honolulu Green,assets/logos/honolulu-green.svg,placeholder,,,#073763,#F7B500
Kingsburg,Kingsburg,assets/logos/kingsburg.svg,placeholder,,,#073763,#F7B500
LA Premier,LA Premier,assets/logos/la-premier.svg,placeholder,,,#073763,#F7B500
LAWPC,Los Angeles Water Polo Club,assets/logos/lawpc.png,verified_by_user,https://www.losangeleswaterpolo.com/,Los Angeles,#1E3A8A,#C8102E
La Jolla United,La Jolla United,assets/logos/la-jolla-united.png,verified_by_user,https://lajollaunited.com/,San Diego,#092E61,#D4AF37
Lamorinda,Lamorinda Water Polo,assets/logos/lamorinda.png,verified_by_user,https://www.lamorindawaterpolo.org/,East Bay,#072B57,#FFC72C
Los Alamitos,Los Alamitos,assets/logos/los-alamitos.svg,placeholder,,,#073763,#F7B500
Loyola WPC,Loyola WPC,assets/logos/loyola-wpc.svg,placeholder,,,#073763,#F7B500
Midpen,Midpen,assets/logos/midpen.svg,placeholder,,,#073763,#F7B500
Mission,Mission WPC,assets/logos/mission.png,verified_by_user,https://missionwpc.com/home,Southern California,#111111,#FFFFFF
Nado,Nado,assets/logos/nado.svg,placeholder,,,#073763,#F7B500
Newport Beach,Newport Beach Water Polo,assets/logos/newport-beach.png,verified_by_user,https://www.newportbeachwaterpolo.com/,Orange County,#082F67,#F7B500
NorCal,NorCal Aquatics,assets/logos/norcal.png,verified_by_user,https://www.norcal-aquatics.com/,Bay Area,#111111,#12B7C8
North Irvine,North Irvine WPC,assets/logos/north-irvine.png,verified_by_user,https://www.gomotionapp.com/team/niwpc/page/home,Orange County,#111111,#C8102E
Northwest,Northwest,assets/logos/northwest.svg,placeholder,,,#073763,#F7B500
OCWPC,Orange County Water Polo Club,assets/logos/ocwpc.png,verified_by_user,https://ocwpc.com/,Orange County,#F97316,#1D4ED8
ORWP,ORWP,assets/logos/orwp.svg,placeholder,,,#073763,#F7B500
OVAC,OVAC,assets/logos/ovac.svg,placeholder,,,#073763,#F7B500
PV WPC,PV WPC,assets/logos/pv-wpc.svg,placeholder,,,#073763,#F7B500
Pasadena AC,Pasadena AC,assets/logos/pasadena-ac.svg,placeholder,,,#073763,#F7B500
Patriot,Patriot Aquatics,assets/logos/patriot.png,verified_by_user,https://patriotaquatics.org/,Orange County,#1746A2,#E31B23
Patriot Red,Patriot Aquatics,assets/logos/patriot-red.png,verified_by_user,https://patriotaquatics.org/,Orange County,#1746A2,#E31B23
Pegasus,Pegasus,assets/logos/pegasus.svg,placeholder,,,#073763,#F7B500
Poway Valley Black,Poway Valley Black,assets/logos/poway-valley-black.svg,placeholder,,,#073763,#F7B500
Pride,Pride Water Polo,assets/logos/pride.png,verified_by_user,https://www.pridewaterpolo.com/page/home,Southern California,#111111,#B91C1C
