group,postRank,team,club,teamDepth,preRank,movement,joDerivedRank,joDivision,joSubdivision,joDivisionFinish,joSubdivisionFinish,latestTournamentRecord,sourceTeam
12U Boys,1,Mission A,Mission,1,1,0,1,Championship,Platinum,1,1,8-1,Mission A
12U Boys,2,SD Dons A,SD Dons,1,3,1,2,Championship,Platinum,2,2,6-1,SD Dons Red
12U Boys,3,Vanguard,Vanguard,1,5,2,3,Championship,Platinum,3,3,6-1,Vanguard
12U Boys,4,Stanford A,Stanford,1,2,-2,4,Championship,Platinum,4,4,5-3,Stanford Red
12U Boys,5,Greenwich A,Greenwich,1,4,-1,5,Championship,Platinum,5,5,5-2,Greenwich Blue
12U Boys,6,North Irvine A,North Irvine,1,7,1,6,Championship,Platinum,6,6,5-3,North Irvine Black
12U Boys,7,Rancho Tsunami,Rancho Tsunami,1,11,4,7,Championship,Platinum,7,7,5-2,Tsunami
12U Boys,8,CC United A,CC United,1,6,-2,9,Championship,Platinum,9,9,5-3,CC United Black
12U Boys,9,SD Dons B,SD Dons,2,37,28,8,Championship,Platinum,8,8,4-3,SD Dons Black
12U Boys,10,680 A,680,1,18,8,10,Championship,Platinum,10,10,6-3,680 Red
12U Boys,11,Newport Beach A,Newport Beach,1,27,16,11,Championship,Platinum,11,11,4-4,Newport Beach Blue
12U Boys,12,San Clemente A,San Clemente,1,9,-3,12,Championship,Platinum,12,12,5-4,San Clemente Red
12U Boys,13,San Jose Express,San Jose Express,1,8,-5,13,Championship,Platinum,13,13,7-2,San Jose Express
12U Boys,14,LA Premier,LA Premier,1,25,11,14,Championship,Platinum,14,14,5-3,La Premier Black
12U Boys,15,La Jolla United A,La Jolla United,1,16,1,15,Championship,Platinum,15,15,5-3,La Jolla United
12U Boys,16,ORWP A,ORWP,1,21,5,16,Championship,Platinum,16,16,5-4,ORWP Black
12U Boys,17,Nsd Stars,Nsd Stars,1,23,6,17,Championship,Platinum,17,17,5-3,NSD Stars
12U Boys,18,Rose Bowl,Rose Bowl,1,12,-6,18,Championship,Platinum,18,18,3-5,Rose Bowl Red
12U Boys,19,CDM A,CDM,1,10,-9,19,Championship,Platinum,19,19,3-5,CDM Blue
12U Boys,20,SOCAL,SOCAL,1,13,-7,21,Championship,Platinum,21,21,5-3,Socal
12U Boys,21,Santa Barbara A,Santa Barbara,1,69,48,20,Championship,Platinum,20,20,3-5,Santa Barbara Wpc A
12U Boys,22,Lamorinda A,Lamorinda,1,20,-2,22,Championship,Platinum,22,22,4-4,Lamorinda A
12U Boys,23,SHAQ A,SHAQ,1,45,22,23,Championship,Platinum,23,23,3-5,SHAQ Blue
12U Boys,24,908 A,908,1,36,12,24,Championship,Platinum,24,24,2-6,908 Yellow
12U Boys,25,Pegasus,Pegasus,1,,0,25,Championship,Gold,25,1,7-3,Pegasus Blue
12U Boys,26,San Diego Shores,San Diego Shores,1,19,-7,26,Championship,Gold,26,2,5-4,SD Shores
12U Boys,27,Commerce,Commerce,1,35,8,27,Championship,Gold,27,3,5-3,Commerce
12U Boys,28,Davis A,Davis,1,47,19,29,Championship,Gold,29,5,6-4,Davis Blue
12U Boys,29,Temple City,Temple City,1,14,-15,28,Championship,Gold,28,4,3-5,Temple City
12U Boys,30,Santa Cruz,Santa Cruz,1,28,-2,30,Championship,Gold,30,6,3-5,Santa Cruz
12U Boys,31,YPro,YPro,1,,0,31,Championship,Gold,31,7,4-4,Ypro
12U Boys,32,SMAC,SMAC,1,33,1,32,Championship,Gold,32,8,3-5,SMAC Black
12U Boys,33,680 B,680,2,72,39,33,Championship,Gold,33,9,4-4,680 Blue
12U Boys,34,Stanford B,Stanford,2,71,37,34,Championship,Gold,34,10,4-4,Stanford Black
12U Boys,35,Pasadena AC,Pasadena AC,1,63,28,35,Championship,Gold,35,11,4-4,PAC
12U Boys,36,Chicago Park,Chicago Park,1,,0,36,Championship,Gold,36,12,3-5,Chicago Park
12U Boys,37,Central Coast,Central Coast,1,,0,37,Championship,Gold,37,13,5-3,Central Coast
