club_slug,club_names_seen,display_names_seen,region,ranked_team_count,groups_present,best_ranked_team,best_group,best_rank,logo_paths_seen,website_seen,issue_types,manual_decision,approved_display_name,approved_region,approved_logo_slug,notes
908,908,908,Central Coast,3,12U Boys:1; 14U Boys:1; 14U Girls:1,908,14U Girls,3,assets/logos/canonical/908.webp,,no_automated_issue,,,,,
arroyo-grande,Arroyo Grande,Arroyo Grande,Central Coast,2,12U Girls:1; 14U Girls:1,Arroyo Grande,12U Girls,14,assets/logos/canonical/arroyo-grande.webp,,no_automated_issue,,,,,
arroyogrande,Arroyo Grande,Arroyo Grande,Central Coast,1,16U Girls:1,Arroyo Grande,16U Girls,27,assets/logos/canonical/arroyogrande.webp,,official_logo_needed,,,,,
ccwp,CCWP,CCWP,Central Coast,1,14U Girls:1,CCWP,14U Girls,77,assets/logos/canonical/ccwp.webp,,official_logo_needed,,,,,
central-coast,Central Coast,Central Coast,Central Coast,1,14U Girls:1,Central Coast,14U Girls,45,assets/logos/canonical/central-coast.webp,,official_logo_needed,,,,,
ciu,CIU,Channel Islands United,Central Coast,8,12U Boys:2; 12U Girls:1; 14U Boys:1; 16U Boys:2; 16U Girls:1; 18U Boys:1,CIU A,14U Boys,6,assets/logos/canonical/ciu.webp,,no_automated_issue,,,,,
gold-coast,Gold Coast,Gold Coast,Central Coast,2,14U Boys:1; 14U Girls:1,Gold Coast,14U Girls,46,assets/logos/canonical/gold-coast.webp,,official_logo_needed,,,,,
legacy,Legacy,Legacy,Central Coast,2,16U Girls:1; 18U Girls:1,Legacy,18U Girls,11,assets/logos/canonical/legacy.webp,,no_automated_issue,,,,,
santa-barbara,Santa Barbara,Santa Barbara Water Polo Club,Central Coast,4,12U Boys:1; 14U Boys:1; 14U Girls:2,SBWPC A,14U Girls,7,assets/logos/canonical/santa-barbara.webp,https://sbwaterpolo.com/,no_automated_issue,,,,,
santa-cruz,Santa Cruz,Santa Cruz,Central Coast,5,12U Boys:1; 14U Boys:1; 14U Girls:1; 16U Boys:1; 18U Girls:1,Santa Cruz,14U Girls,10,assets/logos/canonical/santa-cruz.webp,,no_automated_issue,,,,,
sbwpc,SBWPC,SBWPC,Central Coast,8,12U Girls:2; 16U Boys:1; 16U Girls:2; 18U Girls:3,SBWPC A,16U Girls,1,assets/logos/canonical/sbwpc.webp,,no_automated_issue,,,,,
seaside,Seaside,Seaside,Central Coast,2,14U Girls:1; 18U Girls:1,Seaside,18U Girls,19,assets/logos/canonical/seaside.webp,,official_logo_needed,,,,,
big-valley,Big Valley,Big Valley,Central Valley,2,14U Girls:1; 16U Boys:1,Big Valley,14U Girls,43,assets/logos/canonical/big-valley.webp,,official_logo_needed,,,,,
bulldog,Bulldog,Bulldog,Central Valley,2,16U Girls:1; 18U Girls:1,Bulldog,18U Girls,27,assets/logos/canonical/bulldog.webp,,official_logo_needed,,,,,
clovis,Clovis,Clovis,Central Valley,3,16U Boys:1; 16U Girls:1; 18U Girls:1,Clovis,18U Girls,24,assets/logos/canonical/clovis.webp,,official_logo_needed,,,,,
clovis-red,Clovis; Clovis Red,Clovis Water Polo Club,Central Valley,3,14U Boys:1; 14U Girls:2,Clovis A,14U Girls,40,assets/logos/canonical/clovis-red.webp,https://www.cloviswpc.com/,multiple_club_names_for_slug,,,,,
cvu,CVU,CVU,Central Valley,1,14U Boys:1,CVU A,14U Boys,62,assets/logos/canonical/cvu.webp,,official_logo_needed,,,,,
kingsburg,Kingsburg,Kingsburg,Central Valley,1,14U Boys:1,Kingsburg A,14U Boys,48,assets/logos/canonical/kingsburg.webp,,official_logo_needed,,,,,
monarch-wpc,Monarch WPC,Monarch WPC,Central Valley,1,16U Boys:1,Monarch WPC,16U Boys,36,assets/logos/canonical/monarch-wpc.webp,,official_logo_needed,,,,,
praetorian,Praetorian,Praetorian,Central Valley,1,14U Girls:1,Praetorian,14U Girls,42,assets/logos/canonical/praetorian.webp,,official_logo_needed,,,,,
skip,Skip,Skip,Central Valley,1,14U Boys:1,Skip A,14U Boys,42,assets/logos/canonical/skip.webp,,no_automated_issue,,,,,
680,680,680 Water Polo,East Bay,11,12U Boys:4; 12U Girls:1; 14U Boys:3; 14U Girls:1; 16U Boys:1; 18U Girls:1,680 Red,12U Girls,6,assets/logos/canonical/680.webp,https://www.680waterpolo.com/,no_automated_issue,,,,,
alameda,Alameda,Alameda Neptunes,East Bay,2,14U Boys:1; 18U Boys:1,Alameda WPC,18U Boys,39,assets/logos/canonical/alameda.webp,https://alamedawaterpolo.org/?avia_forced_reroute=1,no_automated_issue,,,,,
berkeley-wpc,Berkeley WPC,Berkeley WPC,East Bay,1,16U Boys:1,Berkeley WPC,16U Boys,7,assets/logos/canonical/berkeley-wpc.webp,,official_logo_needed,,,,,
cc-united,CC United,CC United,East Bay,9,12U Boys:2; 14U Boys:3; 14U Girls:1; 16U Boys:2; 18U Boys:1,CC United,18U Boys,2,assets/logos/canonical/cc-united.webp,https://www.gomotionapp.com/team/wpccup/page/home,no_automated_issue,,,,,
diablo-alliance,Diablo Alliance,Diablo Alliance,East Bay,7,12U Boys:1; 12U Girls:1; 14U Boys:2; 14U Girls:1; 16U Girls:1; 18U Boys:1,Diablo Alliance A,14U Girls,6,assets/logos/canonical/diablo-alliance.webp,https://www.diablowaterpolo.com/,no_automated_issue,,,,,
lamorinda,Lamorinda,Lamorinda Water Polo,East Bay,15,12U Boys:1; 12U Girls:3; 14U Boys:3; 14U Girls:3; 16U Boys:1; 16U Girls:2; 18U Boys:1; 18U Girls:1,Lamorinda A,12U Girls,3,assets/logos/canonical/lamorinda.webp,https://www.lamorindawaterpolo.org/,no_automated_issue,,,,,
meridian,Meridian,Meridian,East Bay,1,16U Girls:1,Meridian,16U Girls,4,assets/logos/canonical/meridian.webp,,official_logo_needed,,,,,
tri-valley-tritons,Tri-Valley Tritons,Tri-Valley Tritons,East Bay,1,14U Boys:1,Tri-Valley Tritons A,14U Boys,106,assets/logos/canonical/tri-valley-tritons.webp,,official_logo_needed,,,,,
triton-gold,Triton Gold,Triton Gold,East Bay,1,14U Boys:1,Triton Gold,14U Boys,99,assets/logos/canonical/triton-gold.webp,,official_logo_needed,,,,,
yolo,Yolo,Yolo,East Bay,2,12U Boys:2,Yolo Black,12U Boys,49,assets/logos/canonical/yolo.webp,,official_logo_needed,,,,,
chawp,CHAWP; Chawp,Chawp,Inland Empire,10,12U Boys:1; 12U Girls:1; 14U Girls:1; 16U Boys:2; 16U Girls:1; 18U Boys:2; 18U Girls:2,CHAWP Blue,14U Girls,12,assets/logos/canonical/chawp.webp,,multiple_club_names_for_slug,,,,,
imperial,Imperial,Imperial,Inland Empire,3,16U Boys:1; 18U Boys:2,Imperial,16U Boys,2,assets/logos/canonical/imperial.webp,,no_automated_issue,,,,,
norco,Norco,Norco,Inland Empire,1,16U Girls:1,Norco,16U Girls,10,assets/logos/canonical/norco.webp,,no_automated_issue,,,,,
pride,Pride,Pride Water Polo,Inland Empire,3,12U Boys:1; 14U Boys:2,Pride A,14U Boys,26,assets/logos/canonical/pride.webp,https://www.pridewaterpolo.com/page/home,no_automated_issue,,,,,
rancho-tsunami,Rancho Tsunami,Rancho Tsunami; Rancho Tsunami Water Polo Club,Inland Empire,7,12U Boys:1; 12U Girls:1; 14U Boys:1; 16U Boys:1; 16U Girls:1; 18U Boys:1; 18U Girls:1,Tsunami,12U Boys,11,assets/logos/canonical/rancho-tsunami.webp,https://www.ranchotsunami.com/,multiple_display_names_for_slug,,,,,
riverside,Riverside,Riverside,Inland Empire,1,14U Boys:1,Riverside A,14U Boys,104,assets/logos/canonical/riverside.webp,,no_automated_issue,,,,,
route-66,Route 66,Route 66,Inland Empire,1,18U Boys:1,Route 66,18U Boys,34,assets/logos/canonical/route-66.webp,,official_logo_needed,,,,,
route-66-aquatics,Route 66 Aquatics,Route 66 Aquatics,Inland Empire,1,14U Boys:1,Route 66 Aquatics A,14U Boys,92,assets/logos/canonical/route-66-aquatics.webp,,official_logo_needed,,,,,
commerce,Commerce,Commerce Water Polo,Los Angeles,8,12U Boys:1; 12U Girls:1; 14U Boys:1; 14U Girls:1; 16U Boys:1; 16U Girls:1; 18U Boys:1; 18U Girls:1,Commerce,12U Girls,7,assets/logos/canonical/commerce.webp,https://www.gomotionapp.com/team/comm/page/home,no_automated_issue,,,,,
devils-gate,Devil's Gate; Devils Gate,Devils Gate,Los Angeles,2,14U Boys:1; 16U Boys:1,Devils Gate A,14U Boys,29,assets/logos/canonical/devils-gate.webp,,multiple_club_names_for_slug|official_logo_needed,,,,,
elite,Elite,Elite,Los Angeles,2,14U Girls:1; 16U Boys:1,Elite,14U Girls,49,assets/logos/canonical/elite.webp,,official_logo_needed,,,,,
la-city-united,La City United,La City United,Los Angeles,1,12U Boys:1,La City United,12U Boys,81,assets/logos/canonical/la-city-united.webp,,official_logo_needed,,,,,
la-premier,LA Premier; La Premier/Pac,LA Premier,Los Angeles,5,12U Boys:1; 12U Girls:1; 14U Boys:1; 14U Girls:1; 16U Boys:1,LA Premier A,14U Boys,5,assets/logos/canonical/la-premier.webp,,multiple_club_names_for_slug,,,,,
lawpc,LAWPC,Los Angeles Water Polo Club,Los Angeles,2,12U Boys:1; 14U Boys:1,LAWPC A,14U Boys,38,assets/logos/canonical/lawpc.webp,https://www.losangeleswaterpolo.com/,no_automated_issue,,,,,
long-beach-shore,Long Beach Shore,Long Beach Shore,Los Angeles,3,14U Girls:1; 16U Boys:1; 18U Boys:1,Long Beach Shore,14U Girls,25,assets/logos/canonical/long-beach-shore.webp,,no_automated_issue,,,,,
loyola-wpc,Loyola WPC; Loyola Wpc,Loyola WPC,Los Angeles,2,14U Boys:1; 16U Boys:1,Loyola Wpc,16U Boys,58,assets/logos/canonical/loyola-wpc.webp,,multiple_club_names_for_slug|official_logo_needed,,,,,
lv-legends,LV Legends,LV Legends,Los Angeles,1,16U Boys:1,LV Legends,16U Boys,50,assets/logos/canonical/lv-legends.webp,,official_logo_needed,,,,,
mid-valley,Mid Valley,Mid Valley,Los Angeles,3,14U Girls:1; 16U Girls:1; 18U Girls:1,Mid Valley,18U Girls,22,assets/logos/canonical/mid-valley.webp,,official_logo_needed,,,,,
orwp,ORWP,ORWP,Los Angeles,5,12U Boys:2; 14U Boys:1; 16U Boys:1; 18U Boys:1,ORWP A,16U Boys,9,assets/logos/canonical/orwp.webp,,no_automated_issue,,,,,
ovac,OVAC,OVAC,Los Angeles,3,14U Boys:1; 16U Girls:1; 18U Girls:1,OVAC A,14U Boys,8,assets/logos/canonical/ovac.webp,,no_automated_issue,,,,,
palos-verdes,Palos Verdes,Palos Verdes,Los Angeles,5,12U Girls:1; 16U Boys:2; 16U Girls:1; 18U Girls:1,Palos Verdes,18U Girls,14,assets/logos/canonical/palos-verdes.webp,,no_automated_issue,,,,,
pasadena-ac,Pasadena AC,Pasadena AC,Los Angeles,2,12U Boys:1; 14U Boys:1,PAC,12U Boys,63,assets/logos/canonical/pasadena-ac.webp,,official_logo_needed,,,,,
pv-wpc,PV; PV WPC,PV WPC,Los Angeles,4,12U Boys:1; 14U Boys:2; 14U Girls:1,PV Black,14U Girls,27,assets/logos/canonical/pv-wpc.webp,,multiple_club_names_for_slug,,,,,
rose-bowl,Rose Bowl,Rose Bowl Water Polo Club,Los Angeles,9,12U Boys:1; 12U Girls:1; 14U Boys:1; 14U Girls:1; 16U Boys:2; 16U Girls:1; 18U Boys:1; 18U Girls:1,Rose Bowl,18U Girls,8,assets/logos/canonical/rose-bowl.webp,https://rosebowlaquatics.org/water-polo,no_automated_issue,,,,,
sfv,SFV,SFV,Los Angeles,1,18U Boys:1,SFV,18U Boys,42,assets/logos/canonical/sfv.webp,,official_logo_needed,,,,,
shore-aquatics,Shore Aquatics,Shore Aquatics,Los Angeles,5,12U Boys:1; 12U Girls:1; 14U Boys:1; 14U Girls:1; 16U Boys:1,Shore Aquatics,12U Girls,11,assets/logos/canonical/shore-aquatics.webp,,no_automated_issue,,,,,
smac,Smac,Smac,Los Angeles,1,12U Boys:1,SMAC Black,12U Boys,33,assets/logos/canonical/smac.webp,,official_logo_needed,,,,,
south-bay-united,South Bay United,South Bay United,Los Angeles,1,14U Girls:1,South Bay United,14U Girls,70,assets/logos/canonical/south-bay-united.webp,,official_logo_needed,,,,,
