club_slug,display_name,region,ranked_teams,best_rank,average_cpi,website,logo,review_status,notes
908,908,Central Coast,3,2,1920.6,,assets/logos/canonical/908.webp,reviewed_by_user_csv,
arroyo-grande,Arroyo Grande,Central Coast,2,14,1860.7,,assets/logos/canonical/arroyo-grande.webp,reviewed_by_user_csv,
arroyogrande,Arroyo Grande,Central Coast,1,25,1647.0,,assets/logos/canonical/arroyogrande.webp,reviewed_by_user_csv,
ccwp,CCWP,Central Coast,1,77,1381.9,,assets/logos/canonical/ccwp.webp,reviewed_by_user_csv,
central-coast,Central Coast,Central Coast,1,45,1785.3,,assets/logos/canonical/central-coast.webp,reviewed_by_user_csv,
ciu,Channel Islands United,Central Coast,7,8,1641.6,,assets/logos/canonical/ciu.webp,reviewed_by_user_csv,
gold-coast,Gold Coast,Central Coast,2,46,1648.2,,assets/logos/canonical/gold-coast.webp,reviewed_by_user_csv,
legacy,Legacy,Central Coast,2,10,1717.6,,assets/logos/canonical/legacy.webp,reviewed_by_user_csv,
sbwpc,SBWPC,Central Coast,8,1,1772.1,,assets/logos/canonical/sbwpc.webp,reviewed_by_user_csv,
santa-barbara,Santa Barbara Water Polo Club,Central Coast,4,7,1755.6,https://sbwaterpolo.com/,assets/logos/canonical/santa-barbara.webp,reviewed_by_user_csv,
santa-cruz,Santa Cruz,Central Coast,5,10,1704.4,,assets/logos/canonical/santa-cruz.webp,reviewed_by_user_csv,
seaside,Seaside,Central Coast,2,19,1715.8,,assets/logos/canonical/seaside.webp,reviewed_by_user_csv,
big-valley,Big Valley,Central Valley,2,43,1654.9,,assets/logos/canonical/big-valley.webp,reviewed_by_user_csv,
bulldog,Bulldog,Central Valley,2,24,1565.2,,assets/logos/canonical/bulldog.webp,reviewed_by_user_csv,
cvu,CVU,Central Valley,1,62,1594.1,,assets/logos/canonical/cvu.webp,reviewed_by_user_csv,
clovis,Clovis,Central Valley,3,21,1555.9,,assets/logos/canonical/clovis.webp,reviewed_by_user_csv,
clovis-red,Clovis Water Polo Club,Central Valley,3,40,1634.9,https://www.cloviswpc.com/,assets/logos/canonical/clovis-red.webp,reviewed_by_user_csv,
kingsburg,Kingsburg,Central Valley,1,48,1689.5,,assets/logos/canonical/kingsburg.webp,reviewed_by_user_csv,
monarch-wpc,Monarch WPC,Central Valley,1,35,1690.7,,assets/logos/canonical/monarch-wpc.webp,reviewed_by_user_csv,
praetorian,Praetorian,Central Valley,1,42,1815.6,,assets/logos/canonical/praetorian.webp,reviewed_by_user_csv,
skip,Skip,Central Valley,1,42,1717.8,,assets/logos/canonical/skip.webp,reviewed_by_user_csv,
680,680 Water Polo,East Bay,10,6,1705.3,https://www.680waterpolo.com/,assets/logos/canonical/680.webp,reviewed_by_user_csv,
alameda,Alameda Neptunes,East Bay,1,49,1683.3,https://alamedawaterpolo.org/?avia_forced_reroute=1,assets/logos/canonical/alameda.webp,reviewed_by_user_csv,
berkeley-wpc,Berkeley WPC,East Bay,1,6,1934.7,,assets/logos/canonical/berkeley-wpc.webp,reviewed_by_user_csv,
cc-united,CC United,East Bay,9,2,1787.6,https://www.gomotionapp.com/team/wpccup/page/home,assets/logos/canonical/cc-united.webp,reviewed_by_user_csv,
diablo-alliance,Diablo Alliance,East Bay,7,6,1715.3,https://www.diablowaterpolo.com/,assets/logos/canonical/diablo-alliance.webp,reviewed_by_user_csv,
lamorinda,Lamorinda Water Polo,East Bay,15,3,1739.0,https://www.lamorindawaterpolo.org/,assets/logos/canonical/lamorinda.webp,reviewed_by_user_csv,
meridian,Meridian,East Bay,1,4,1980.4,,assets/logos/canonical/meridian.webp,reviewed_by_user_csv,
tri-valley-tritons,Tri-Valley Tritons,East Bay,1,106,1448.7,,assets/logos/canonical/tri-valley-tritons.webp,reviewed_by_user_csv,
triton-gold,Triton Gold,East Bay,1,99,1465.1,,assets/logos/canonical/triton-gold.webp,reviewed_by_user_csv,
yolo,Yolo,East Bay,2,49,1611.9,,assets/logos/canonical/yolo.webp,reviewed_by_user_csv,
chawp,Chawp,Inland Empire,10,12,1638.1,,assets/logos/canonical/chawp.webp,reviewed_by_user_csv,
imperial,Imperial,Inland Empire,3,1,1939.1,,assets/logos/canonical/imperial.webp,reviewed_by_user_csv,
norco,Norco,Inland Empire,1,10,1822.1,,assets/logos/canonical/norco.webp,reviewed_by_user_csv,
pride,Pride Water Polo,Inland Empire,3,26,1615.8,https://www.pridewaterpolo.com/page/home,assets/logos/canonical/pride.webp,reviewed_by_user_csv,
rancho-tsunami,Rancho Tsunami Water Polo Club,Inland Empire,7,11,1723.5,https://www.ranchotsunami.com/,assets/logos/canonical/rancho-tsunami.webp,reviewed_by_user_csv,
riverside,Riverside,Inland Empire,1,104,1455.7,,assets/logos/canonical/riverside.webp,reviewed_by_user_csv,
route-66,Route 66,Inland Empire,1,31,1528.5,,assets/logos/canonical/route-66.webp,reviewed_by_user_csv,
route-66-aquatics,Route 66 Aquatics,Inland Empire,1,92,1479.9,,assets/logos/canonical/route-66-aquatics.webp,reviewed_by_user_csv,
commerce,Commerce Water Polo,Los Angeles,8,7,1774.2,https://www.gomotionapp.com/team/comm/page/home,assets/logos/canonical/commerce.webp,reviewed_by_user_csv,
devils-gate,Devils Gate,Los Angeles,2,29,1653.8,,assets/logos/canonical/devils-gate.webp,reviewed_by_user_csv,
elite,Elite,Los Angeles,2,49,1611.0,,assets/logos/canonical/elite.webp,reviewed_by_user_csv,Manual note in audit CSV said South East of LA; normalized to Los Angeles.
la-premier,LA Premier,Los Angeles,5,4,1795.4,,assets/logos/canonical/la-premier.webp,reviewed_by_user_csv,
lv-legends,LV Legends,Los Angeles,1,49,1611.9,,assets/logos/canonical/lv-legends.webp,reviewed_by_user_csv,
la-city-united,La City United,Los Angeles,1,81,1485.4,,assets/logos/canonical/la-city-united.webp,reviewed_by_user_csv,
long-beach-shore,Long Beach Shore,Los Angeles,1,27,1930.2,,assets/logos/canonical/long-beach-shore.webp,reviewed_by_user_csv,
lawpc,Los Angeles Water Polo Club,Los Angeles,2,38,1659.3,https://www.losangeleswaterpolo.com/,assets/logos/canonical/lawpc.webp,reviewed_by_user_csv,
loyola-wpc,Loyola WPC,Los Angeles,2,57,1548.6,,assets/logos/canonical/loyola-wpc.webp,reviewed_by_user_csv,
mid-valley,Mid Valley,Los Angeles,1,65,1530.6,,assets/logos/canonical/mid-valley.webp,reviewed_by_user_csv,
orwp,ORWP,Los Angeles,5,7,1666.6,,assets/logos/canonical/orwp.webp,reviewed_by_user_csv,
ovac,OVAC,Los Angeles,2,6,1819.1,,assets/logos/canonical/ovac.webp,reviewed_by_user_csv,
pv-wpc,PV WPC,Los Angeles,4,26,1660.5,,assets/logos/canonical/pv-wpc.webp,reviewed_by_user_csv,
palos-verdes,Palos Verdes,Los Angeles,5,13,1647.2,,assets/logos/canonical/palos-verdes.webp,reviewed_by_user_csv,
pasadena-ac,Pasadena AC,Los Angeles,2,63,1551.6,,assets/logos/canonical/pasadena-ac.webp,reviewed_by_user_csv,
rose-bowl,Rose Bowl Water Polo Club,Los Angeles,9,7,1711.0,https://rosebowlaquatics.org/water-polo,assets/logos/canonical/rose-bowl.webp,reviewed_by_user_csv,
sfv,SFV,Los Angeles,1,36,1463.1,,assets/logos/canonical/sfv.webp,reviewed_by_user_csv,
shore-aquatics,Shore Aquatics,Los Angeles,5,11,1786.6,,assets/logos/canonical/shore-aquatics.webp,reviewed_by_user_csv,
smac,Smac,Los Angeles,1,33,1655.6,,assets/logos/canonical/smac.webp,reviewed_by_user_csv,
south-bay-united,South Bay United,Los Angeles,1,70,1471.0,,assets/logos/canonical/south-bay-united.webp,reviewed_by_user_csv,
supreme,Supreme,Los Angeles,3,12,1681.6,,assets/logos/canonical/supreme.webp,reviewed_by_user_csv,
tsm,TSM,Los Angeles,1,18,1733.3,,assets/logos/canonical/tsm.webp,reviewed_by_user_csv,
temple-city,Temple City,Los Angeles,5,12,1793.9,,assets/logos/canonical/temple-city.webp,reviewed_by_user_csv,
titans,Titans,Los Angeles,2,59,1533.2,,assets/logos/canonical/titans.webp,reviewed_by_user_csv,
trojan,Trojan,Los Angeles,8,4,1689.0,,assets/logos/canonical/trojan.webp,reviewed_by_user_csv,
viking,Viking,Los Angeles,4,15,1696.6,,assets/logos/canonical/viking.webp,reviewed_by_user_csv,
whittier,Whittier,Los Angeles,2,37,1491.1,,assets/logos/canonical/whittier.webp,reviewed_by_user_csv,
yeti,Yeti,Los Angeles,1,39,1360.0,,assets/logos/canonical/yeti.webp,reviewed_by_user_csv,
aetos,Aetos,Orange County,2,9,1816.0,,assets/logos/canonical/aetos.webp,reviewed_by_user_csv,
boa,BOA,Orange County,2,39,1561.5,,assets/logos/canonical/boa.webp,reviewed_by_user_csv,
back-bay,Back Bay,Orange County,6,5,1730.9,,assets/logos/canonical/back-bay.webp,reviewed_by_user_csv,
brea-olinda,Brea Olinda,Orange County,1,63,1518.9,,assets/logos/canonical/brea-olinda.webp,reviewed_by_user_csv,
brea-olinda-gold,Brea Olinda Gold,Orange County,1,81,1506.5,,assets/logos/canonical/brea-olinda-gold.webp,reviewed_by_user_csv,
cdm,CDM,Orange County,7,6,1749.9,,assets/logos/canonical/cdm.webp,reviewed_by_user_csv,
cmac,Cmac,Orange County,3,36,1566.8,,assets/logos/canonical/cmac.webp,reviewed_by_user_csv,
foothill,Foothill,Orange County,4,8,1702.8,,assets/logos/canonical/foothill.webp,reviewed_by_user_csv,
foothill-club,Foothill Club Water Polo,Orange County,5,24,1664.6,https://foothillclubwaterpolo.org/,assets/logos/canonical/foothill-club.webp,reviewed_by_user_csv,
hieland,Hieland,Orange County,3,23,1580.0,,assets/logos/canonical/hieland.webp,reviewed_by_user_csv,
laguna-beach,Laguna Beach,Orange County,3,17,1689.1,,assets/logos/canonical/laguna-beach.webp,reviewed_by_user_csv,
los-alamitos,Los Alamitos,Orange County,6,16,1594.9,,assets/logos/canonical/los-alamitos.webp,reviewed_by_user_csv,
mission,Mission WPC,Orange County,8,1,1953.7,https://missionwpc.com/home,assets/logos/canonical/mission.webp,reviewed_by_user_csv,
newport-beach,Newport Beach Water Polo,Orange County,12,1,1876.1,https://www.newportbeachwaterpolo.com/,assets/logos/canonical/newport-beach.webp,reviewed_by_user_csv,
ngen,Ngen,Orange County,1,85,1460.9,,assets/logos/canonical/ngen.webp,reviewed_by_user_csv,
north-irvine,North Irvine WPC,Orange County,8,5,1668.3,https://www.gomotionapp.com/team/niwpc/page/home,assets/logos/canonical/north-irvine.webp,reviewed_by_user_csv,
ocwpc,Orange County Water Polo Club,Orange County,5,16,1654.4,https://ocwpc.com/,assets/logos/canonical/ocwpc.webp,reviewed_by_user_csv,
pac-orange,PAC Orange,Orange County,2,27,1619.0,,assets/logos/canonical/pac-orange.webp,reviewed_by_user_csv,
pac-premier,PAC Premier,Orange County,1,38,1845.9,,assets/logos/canonical/pac-premier.webp,reviewed_by_user_csv,
patriot,Patriot Aquatics,Orange County,9,1,1815.6,https://patriotaquatics.org/,assets/logos/canonical/patriot.webp,reviewed_by_user_csv,
patriot-red,Patriot Aquatics,Orange County,1,78,1525.5,https://patriotaquatics.org/,assets/logos/canonical/patriot-red.webp,reviewed_by_user_csv,
regency,Regency,Orange County,2,3,1912.7,,assets/logos/canonical/regency.webp,reviewed_by_user_csv,
set,SET Water Polo Club,Orange County,4,22,1614.8,https://www.setwaterpolo.com/,assets/logos/canonical/set.webp,reviewed_by_user_csv,
socal,SOCAL Water Polo,Orange County,8,4,1751.1,https://www.socalwaterpolo.org/,assets/logos/canonical/socal.webp,reviewed_by_user_csv,
san-clemente,San Clemente,Orange County,10,4,1775.9,,assets/logos/canonical/san-clemente.webp,reviewed_by_user_csv,
san-clemente-red,San Clemente Red,Orange County,1,70,1543.5,,assets/logos/canonical/san-clemente-red.webp,reviewed_by_user_csv,
sand-canyon,Sand Canyon,Orange County,7,15,1617.3,,assets/logos/canonical/sand-canyon.webp,reviewed_by_user_csv,
south-coast,South Coast Aquatics,Orange County,14,3,1663.0,https://www.southcoastaquatics.com/,assets/logos/canonical/south-coast.webp,reviewed_by_user_csv,
vanguard,Vanguard Aquatics,Orange County,10,5,1702.3,https://vanguardaquatics.com/,assets/logos/canonical/vanguard.webp,reviewed_by_user_csv,
asphalt-green,Asphalt Green,Out of State,4,26,1662.8,,assets/logos/canonical/asphalt-green.webp,reviewed_by_user_csv,
ct-premier,CT Premier,Out of State,2,38,1578.5,,assets/logos/canonical/ct-premier.webp,reviewed_by_user_csv,
