group,initialRank,proposedRank,joDerivedRank,sourceTeam,club,mappedInitialIdentity,assignedClubLevel,joDivision,joSubdivision,subdivisionFinish,divisionFinish,joRecord,reviewFlags
12U Girls,1,1,1,Newport Beach Blue,Newport Beach,Newport Beach A,A,Championship,Platinum,1,1,8-0,Identity / color mapping
12U Girls,2,2,2,Del Mar,Del Mar,Del Mar Blue,A,Championship,Platinum,2,2,7-1,Identity / color mapping
12U Girls,5,3,3,Back Bay Navy,Back Bay,Back Bay Navy,A,Championship,Platinum,3,3,8-2,
12U Girls,3,4,4,Lamorinda A,Lamorinda,Lamorinda A,A,Championship,Platinum,4,4,6-3,3-team club depth
12U Girls,4,5,5,San Clemente Red,San Clemente,San Clemente Red,A,Championship,Platinum,5,5,7-2,
12U Girls,6,6,6,680 Red A,680,680 Red,A,Championship,Platinum,6,6,5-3,Identity / color mapping
12U Girls,7,7,7,Commerce,Commerce,Commerce,A,Championship,Platinum,7,7,5-2,
12U Girls,8,8,8,Stanford A,Stanford,Stanford A,A,Championship,Platinum,8,8,4-3,
12U Girls,9,9,9,LA Premier,LA Premier,LA Premier,A,Championship,Platinum,9,9,6-1,
12U Girls,NR,10,10,908,908,,A,Championship,Platinum,10,10,5-3,New / previously unranked
12U Girls,16,11,11,OCWPC,OCWPC,OCWPC Blue,A,Championship,Platinum,11,11,5-2,Identity / color mapping
12U Girls,13,12,12,Rose Bowl Red,Rose Bowl,Rose Bowl Red,A,Championship,Platinum,12,12,4-4,
12U Girls,NR,13,13,Greenwich,Greenwich,,A,Championship,Platinum,13,13,5-2,New / previously unranked
12U Girls,10,14,15,SD Shores,San Diego Shores,San Diego Shores,A,Championship,Platinum,15,15,4-4,Identity / color mapping
12U Girls,26,15,14,LA Jolla United,La Jolla United,La Jolla United,A,Championship,Platinum,14,14,4-3,
12U Girls,15,16,17,Santa Barbara WPC,Santa Barbara,SBWPC A,A,Championship,Platinum,17,17,6-2,Identity / color mapping
