group,quiksilver_team,quiksilver_place,canonical_team,canonical_team_slug,canonical_club,canonical_club_slug,current_cpi_rank,current_cpi_team,mapping_status,alias_confidence,recommended_action,notes,resolution_note
12U Boys,Mission,1,Mission A,mission-a-12u-boys,Mission,mission,1,Mission A,mapped,high,add evidence; no rank order change in 7.28,Champion; beat SD Dons 13–10 in final,Existing 7.28 mapping retained.
12U Boys,SD Dons,2,SD Dons A,sd-dons-a-12u-boys,SD Dons,sd-dons,4,SD Dons A,mapped,high,add evidence; no rank order change in 7.28,Runner-up,Existing 7.28 mapping retained.
12U Boys,CDM,3,CDM,cdm,CDM,cdm,14,CDM,mapped,high,add evidence; no rank order change in 7.28,Beat San Clemente 9–7 for 3rd,Existing 7.28 mapping retained.
12U Boys,San Clemente,4,San Clemente,san-clemente-12u-boys,San Clemente,san-clemente,9,San Clemente,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
12U Boys,Stanford,5,Stanford Red,stanford-red,Stanford,stanford,2,Stanford Red,mapped,high,add evidence; no rank order change in 7.28,Beat Rancho Tsunami 9–6 for 5th,Existing 7.28 mapping retained.
12U Boys,Rancho Tsunami,6,Tsunami,tsunami-12u-boys,Rancho Tsunami,rancho-tsunami,11,Tsunami,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
12U Boys,North Irvine,7,North Irvine Black,north-irvine-black,North Irvine,north-irvine,8,North Irvine Black,mapped,high,add evidence; no rank order change in 7.28,Beat Vanguard 9–8 for 7th,Existing 7.28 mapping retained.
12U Boys,Vanguard,8,Vanguard,vanguard,Vanguard,vanguard,5,Vanguard,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
12U Boys,La Jolla United,9,La Jolla United,la-jolla-united,La Jolla United,la-jolla-united,17,La Jolla United,mapped,high,add evidence; no rank order change in 7.28,Beat Rose Bowl 9–1 for 9th,Existing 7.28 mapping retained.
12U Boys,Rose Bowl,10,Rose Bowl,rose-bowl-12u-boys,Rose Bowl,rose-bowl,10,Rose Bowl,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
12U Boys,SoCal,11,SoCal,socal-12u-boys,SOCAL,socal,12,SoCal,mapped,high,add evidence; no rank order change in 7.28,Beat LA Premier 7–6 for 11th,Existing 7.28 mapping retained.
12U Boys,LA Premier,12,LA Premier,la-premier,LA Premier,la-premier,25,LA Premier,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
12U Boys,908,13,908,908-12u-boys,908,908,36,908,mapped,high,add evidence; no rank order change in 7.28,Beat Lamorinda 16–9 for 13th,Existing 7.28 mapping retained.
12U Boys,Lamorinda,14,Lamorinda A,lamorinda-a-12u-boys,Lamorinda,lamorinda,20,Lamorinda A,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
12U Boys,SD Shores,15,San Diego Shores,san-diego-shores,San Diego Shores,sd-shores,19,San Diego Shores,mapped,high,add evidence; no rank order change in 7.28,Beat NSD Stars 11.1–11 by shootout notation,Existing 7.28 mapping retained.
12U Boys,NSD Stars,16,NSD Stars,nsd-stars,Nsd Stars,nsd-stars,23,NSD Stars,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
14U Boys,NorCal,1,NorCal A,norcal-a,NorCal,norcal,2,NorCal A,mapped,high,add evidence; no rank order change in 7.28,Champion; beat Newport 7–6 in final,Existing 7.28 mapping retained.
14U Boys,Newport Beach,2,Newport Beach A,newport-beach-a,Newport Beach,newport-beach,7,Newport Beach A,mapped,high,add evidence; no rank order change in 7.28,Runner-up,Existing 7.28 mapping retained.
14U Boys,Mission,3,Mission A,mission-a,Mission,mission,3,Mission A,mapped,high,add evidence; no rank order change in 7.28,Beat LA Premier 7–6 for 3rd,Existing 7.28 mapping retained.
14U Boys,LA Premier,4,LA Premier A,la-premier-a,LA Premier,la-premier,4,LA Premier A,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
14U Boys,CIU,5,CIU A,ciu-a,CIU,ciu,8,CIU A,mapped,high,add evidence; no rank order change in 7.28,Beat North Irvine 10–6 for 5th,Existing 7.28 mapping retained.
14U Boys,North Irvine,6,North Irvine A,north-irvine-a,North Irvine,north-irvine,24,North Irvine A,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
14U Boys,908,7,908,908,908,908,9,908,mapped,high,add evidence; no rank order change in 7.28,Beat Route 66 11–7 for 7th,Existing 7.28 mapping retained.
14U Boys,Route 66,8,Route 66 Aquatics A,route-66-aquatics-a,Route 66 Aquatics,route-66-aquatics,92,Route 66 Aquatics A,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
14U Boys,San Diego Shores,9,San Diego Shores A,san-diego-shores-a,San Diego Shores,san-diego-shores,12,San Diego Shores A,mapped,high,add evidence; no rank order change in 7.28,Beat Commerce 10–6 for 9th,Existing 7.28 mapping retained.
14U Boys,Commerce,10,Commerce A,commerce-a,Commerce,commerce,11,Commerce A,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
14U Boys,CC United,11,CC United A,cc-united-a,CC United,cc-united,19,CC United A,mapped,high,add evidence; no rank order change in 7.28,Beat Lamorinda 7.5–7.4 for 11th,Existing 7.28 mapping retained.
14U Boys,Lamorinda,12,Lamorinda A,lamorinda-a,Lamorinda,lamorinda,16,Lamorinda A,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
14U Boys,CDM,13,CDM A,cdm-a,CDM,cdm,20,CDM A,mapped,high,add evidence; no rank order change in 7.28,Beat SD Dons 9.5–9.4 for 13th,Existing 7.28 mapping retained.
14U Boys,SD Dons,14,SD Dons A,sd-dons-a,SD Dons,sd-dons,5,SD Dons A,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
14U Boys,La Jolla United,15,La Jolla United A,la-jolla-united-a,La Jolla United,la-jolla-united,1,La Jolla United A,mapped,high,add evidence; no rank order change in 7.28,Beat Rancho Tsunami 7.6–7.5 for 15th,Existing 7.28 mapping retained.
14U Boys,Rancho Tsunami,16,Rancho Tsunami A,rancho-tsunami-a,Rancho Tsunami,rancho-tsunami,15,Rancho Tsunami A,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
14U Girls,Arroyo Grande,1,Arroyo Grande,arroyo-grande-14u-girls,Arroyo Grande,arroyo-grande,22,Arroyo Grande,mapped,high,add evidence; no rank order change in 7.28,Round-robin champion; 4–0,Existing 7.28 mapping retained.
14U Girls,Long Beach Shore,2,Long Beach Shore,long-beach-shore-14u-girls,Long Beach Shore,long-beach-shore,27,Long Beach Shore,mapped,high,add evidence; no rank order change in 7.28,3–1; only loss to Arroyo Grande,Existing 7.28 mapping retained.
14U Girls,Foothill,3,Foothill Red,foothill-red-14u-girls,Foothill Club,foothill-club,24,Foothill Red,mapped,high,add evidence; no rank order change in 7.28,2–2,Existing 7.28 mapping retained.
14U Girls,908,4,908,908-14u-girls,908,908,2,908,mapped,high,add evidence; no rank order change in 7.28,1–3,Existing 7.28 mapping retained.
14U Girls,SC Elite,5,Elite,elite-14u-girls,Elite,elite,49,Elite,mapped_alias_needs_confirmation,low,mapped to existing 14U Girls Elite for review; confirm whether SC Elite is the same team before rank movement,0–4,SC Elite is a shorthand source label; keep flagged for user validation.
16U Boys,CIU,1,CIU Gold,ciu-gold-16u-boys,CIU,ciu,25,CIU Gold,mapped,high,add evidence; no rank order change in 7.28,Champion; beat SD Shores Black 16–13,Existing 7.28 mapping retained.
16U Boys,SD Shores Black,2,San Diego Shores,san-diego-shores-16u-boys,San Diego Shores,san-diego-shores,10,San Diego Shores,resolved_alias,high,keep mapped to existing San Diego Shores A/Black entry,Runner-up,Source Black label is treated as the primary/A-level San Diego Shores 16U Boys team.
16U Boys,Vanguard,3,Vanguard,vanguard-16u-boys,Vanguard,vanguard,9,Vanguard,mapped,high,add evidence; no rank order change in 7.28,Beat La Jolla United 11–10 for 3rd,Existing 7.28 mapping retained.
16U Boys,La Jolla United,4,La Jolla United 16U Boys,la-jolla-united-16u-boys,La Jolla United,la-jolla-united,,La Jolla United 16U Boys,new_team_candidate_conflict,medium,hold as separate candidate; do not map this plain source row to La Jolla United Gold because source has a separate La Jolla Gold row,,7.29 corrects prior review mapping that pointed this row at La Jolla United Gold.
16U Boys,Berkeley WPC,5,Berkeley WPC,berkeley-wpc-16u-boys,Berkeley WPC,berkeley-wpc,6,Berkeley WPC,mapped,high,add evidence; no rank order change in 7.28,Beat Mission 15–8 for 5th,Existing 7.28 mapping retained.
16U Boys,Mission,6,Mission,mission-16u-boys,Mission,mission,3,Mission,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
16U Boys,La Jolla Gold,7,La Jolla United Gold,la-jolla-united-gold-16u-boys,La Jolla United,la-jolla-united,45,La Jolla United Gold,resolved_alias,high,map Quiksilver 7th-place evidence to existing La Jolla United Gold entry,Beat Imperial 10–8 for 7th,Source label La Jolla Gold aligns with CPI La Jolla United Gold.
16U Boys,Imperial,8,Imperial,imperial-16u-boys,Imperial,imperial,1,Imperial,mapped,high,add evidence; no rank order change in 7.28,,Existing 7.28 mapping retained.
