group,team,slug,club,old_rank,new_rank,movement,old_cpi,new_cpi,cpi_change,latest_tournament,latest_record,field_size,quiksilver_weight,movement_cap_note,flags
12U Boys,SD Dons A,sd-dons-a-12u-boys,SD Dons,4,3,1,1899.2,1974.7,75.5,Quiksilver Cup,2 of 16,16,0.38,winner/finalist +0 to +3; 3rd/4th +2 to +4; no-play penalty 0,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
12U Boys,Greenwich,greenwich,Greenwich,3,4,-1,1974.7,1899.2,-75.5,San Diego County Cup,6-0,16,0.38,winner/finalist +0 to +3; 3rd/4th +2 to +4; no-play penalty 0,manual_priority_out_of_region_elite_result|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
12U Boys,North Irvine Black,north-irvine-black,North Irvine,8,7,1,1856.5,1865.8,9.3,Quiksilver Cup,7 of 16,16,0.38,winner/finalist +0 to +3; 3rd/4th +2 to +4; no-play penalty 0,manual_review_adjusted_below_head_to_head_greenwich|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
12U Boys,San Jose Express Blue,san-jose-express-blue,SJ Express,7,8,-1,1865.8,1856.5,-9.3,Futures Super Finals,4-2,16,0.38,winner/finalist +0 to +3; 3rd/4th +2 to +4; no-play penalty 0,manual_review_adjusted_below_head_to_head_greenwich|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
12U Boys,CDM,cdm,CDM,14,10,4,1735.5,1764.0,28.5,Quiksilver Cup,3 of 16,16,0.38,winner/finalist +0 to +3; 3rd/4th +2 to +4; no-play penalty 0,manual_review_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
12U Boys,Rose Bowl,rose-bowl-12u-boys,Rose Bowl,10,12,-2,1764.0,1746.3,-17.7,Quiksilver Cup,10 of 16,16,0.38,winner/finalist +0 to +3; 3rd/4th +2 to +4; no-play penalty 0,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
12U Boys,SoCal,socal-12u-boys,SOCAL,12,13,-1,1746.3,1736.4,-9.9,Quiksilver Cup,11 of 16,16,0.38,winner/finalist +0 to +3; 3rd/4th +2 to +4; no-play penalty 0,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
12U Boys,Temple City,temple-city,Temple City,13,14,-1,1736.4,1735.5,-0.9,Futures Super Finals,2-3,16,0.38,winner/finalist +0 to +3; 3rd/4th +2 to +4; no-play penalty 0,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
12U Boys,La Jolla United,la-jolla-united,La Jolla United,17,16,1,1715.5,1717.6,2.1,Quiksilver Cup,9 of 16,16,0.38,winner/finalist +0 to +3; 3rd/4th +2 to +4; no-play penalty 0,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
12U Boys,Los Alamitos,los-alamitos,Los Alamitos,16,17,-1,1717.6,1715.5,-2.1,Futures Super Finals,4-2,16,0.38,winner/finalist +0 to +3; 3rd/4th +2 to +4; no-play penalty 0,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,NorCal A,norcal-a,NorCal,2,1,1,2076.3,2161.0,84.7,Quiksilver Cup,1 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,Mission A,mission-a,Mission,3,2,1,2068.0,2076.3,8.3,Quiksilver Cup,3 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,La Jolla United A,la-jolla-united-a,La Jolla United,1,3,-2,2161.0,2068.0,-93.0,Quiksilver Cup,15 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,Newport Beach A,newport-beach-a,Newport Beach,7,4,3,2000.9,2037.7,36.8,Quiksilver Cup,2 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,LA Premier A,la-premier-a,LA Premier,4,5,-1,2037.7,2011.0,-26.7,Quiksilver Cup,4 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,CIU A,ciu-a,CIU,8,6,2,1992.6,2006.1,13.5,Quiksilver Cup,5 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,SD Dons A,sd-dons-a,SD Dons,5,7,-2,2011.0,2000.9,-10.1,Quiksilver Cup,14 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,OVAC A,ovac-a,OVAC,6,8,-2,2006.1,1992.6,-13.5,Futures Super Finals,3-3,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,San Diego Shores A,san-diego-shores-a,San Diego Shores,12,11,1,1949.3,1953.0,3.7,Quiksilver Cup,9 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,Commerce A,commerce-a,Commerce,11,12,-1,1953.0,1949.3,-3.7,Quiksilver Cup,10 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,Lamorinda A,lamorinda-a,Lamorinda,16,15,1,1920.2,1933.1,12.9,Quiksilver Cup,12 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,South Coast A,south-coast-a,South Coast,17,16,1,1914.2,1920.2,6.0,Futures Super Finals,3-2,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,Shore Aquatics A,shore-aquatics-a,Shore Aquatics,18,17,1,1906.6,1914.2,7.6,Futures Super Finals,4-1,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,d2_team_upper_band_review|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,Rancho Tsunami A,rancho-tsunami-a,Rancho Tsunami,15,18,-3,1933.1,1906.6,-26.5,Quiksilver Cup,16 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,d2_team_upper_band_review|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,North Irvine A,north-irvine-a,North Irvine,24,20,4,1878.0,1894.0,16.0,Quiksilver Cup,6 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,CDM A,cdm-a,CDM,20,21,-1,1894.0,1886.9,-7.1,Quiksilver Cup,13 of 16,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,Mission B,mission-b,Mission,21,22,-1,1886.9,1886.3,-0.6,Futures Super Finals,4-1,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,depth_team_top_50_review|depth_team_top_25_review|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
14U Boys,Diablo Alliance A,diablo-alliance-a,Diablo Alliance,22,23,-1,1886.3,1881.7,-4.6,Futures Super Finals,2-3,16,0.38,top finishers +2 to +6; poor finish max -2 to -4 unless identity confirmed,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
