group,quiksilver_team,quiksilver_place,current_rank_slug,current_cpi_rank,current_cpi_team,club,mapping_status,recommended_action,notes
12U Boys,Mission,1,mission-a-12u-boys,1,Mission A,Mission,mapped,add evidence; no rank order change in 7.28,Champion; beat SD Dons 13–10 in final
12U Boys,SD Dons,2,sd-dons-a-12u-boys,4,SD Dons A,SD Dons,mapped,add evidence; no rank order change in 7.28,Runner-up
12U Boys,CDM,3,cdm,14,CDM,CDM,mapped,add evidence; no rank order change in 7.28,Beat San Clemente 9–7 for 3rd
12U Boys,San Clemente,4,san-clemente-12u-boys,9,San Clemente,San Clemente,mapped,add evidence; no rank order change in 7.28,
12U Boys,Stanford,5,stanford-red,2,Stanford Red,Stanford,mapped,add evidence; no rank order change in 7.28,Beat Rancho Tsunami 9–6 for 5th
12U Boys,Rancho Tsunami,6,tsunami-12u-boys,11,Tsunami,Rancho Tsunami,mapped,add evidence; no rank order change in 7.28,
12U Boys,North Irvine,7,north-irvine-black,8,North Irvine Black,North Irvine,mapped,add evidence; no rank order change in 7.28,Beat Vanguard 9–8 for 7th
12U Boys,Vanguard,8,vanguard,5,Vanguard,Vanguard,mapped,add evidence; no rank order change in 7.28,
12U Boys,La Jolla United,9,la-jolla-united,17,La Jolla United,La Jolla United,mapped,add evidence; no rank order change in 7.28,Beat Rose Bowl 9–1 for 9th
12U Boys,Rose Bowl,10,rose-bowl-12u-boys,10,Rose Bowl,Rose Bowl,mapped,add evidence; no rank order change in 7.28,
12U Boys,SoCal,11,socal-12u-boys,12,SoCal,SOCAL,mapped,add evidence; no rank order change in 7.28,Beat LA Premier 7–6 for 11th
12U Boys,LA Premier,12,la-premier,25,LA Premier,LA Premier,mapped,add evidence; no rank order change in 7.28,
12U Boys,908,13,908-12u-boys,36,908,908,mapped,add evidence; no rank order change in 7.28,Beat Lamorinda 16–9 for 13th
12U Boys,Lamorinda,14,lamorinda-a-12u-boys,20,Lamorinda A,Lamorinda,mapped,add evidence; no rank order change in 7.28,
12U Boys,SD Shores,15,san-diego-shores,19,San Diego Shores,San Diego Shores,mapped,add evidence; no rank order change in 7.28,Beat NSD Stars 11.1–11 by shootout notation
12U Boys,NSD Stars,16,nsd-stars,23,NSD Stars,Nsd Stars,mapped,add evidence; no rank order change in 7.28,
14U Boys,NorCal,1,norcal-a,2,NorCal A,NorCal,mapped,add evidence; no rank order change in 7.28,Champion; beat Newport 7–6 in final
14U Boys,Newport Beach,2,newport-beach-a,7,Newport Beach A,Newport Beach,mapped,add evidence; no rank order change in 7.28,Runner-up
