group,rank,team,slug,club,latest_record,old_rank,new_rank,movement,quiksilver_weight,movement_cap_note,flags,review_question,manual_decision,notes
12U Boys,1,Mission A,mission-a-12u-boys,Mission,1 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,2,Stanford Red,stanford-red,Stanford,5 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,3,SD Dons A,sd-dons-a-12u-boys,SD Dons,2 of 16,,,1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,4,Greenwich,greenwich,Greenwich,6-0,,,-1,,,manual_priority_out_of_region_elite_result|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,5,Vanguard,vanguard,Vanguard,8 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,7,North Irvine Black,north-irvine-black,North Irvine,7 of 16,,,1,,,manual_review_adjusted_below_head_to_head_greenwich|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,8,San Jose Express Blue,san-jose-express-blue,SJ Express,4-2,,,-1,,,manual_review_adjusted_below_head_to_head_greenwich|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,9,San Clemente,san-clemente-12u-boys,San Clemente,4 of 16,,,0,,,manual_review_san_clemente_profile_split|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,10,CDM,cdm,CDM,3 of 16,,,4,,,manual_review_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,11,Tsunami,tsunami-12u-boys,Rancho Tsunami,6 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,12,Rose Bowl,rose-bowl-12u-boys,Rose Bowl,10 of 16,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,13,SoCal,socal-12u-boys,SOCAL,11 of 16,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,14,Temple City,temple-city,Temple City,2-3,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,16,La Jolla United,la-jolla-united,La Jolla United,9 of 16,,,1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,17,Los Alamitos,los-alamitos,Los Alamitos,4-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,19,San Diego Shores,san-diego-shores,San Diego Shores,15 of 16,,,0,,,manual_review_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,20,Lamorinda A,lamorinda-a-12u-boys,Lamorinda,14 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,23,NSD Stars,nsd-stars,Nsd Stars,16 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,25,LA Premier,la-premier,LA Premier,12 of 16,,,0,,,manual_review_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
12U Boys,36,908,908-12u-boys,908,13 of 16,,,0,,,manual_review_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,1,NorCal A,norcal-a,NorCal,1 of 16,,,1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,2,Mission A,mission-a,Mission,3 of 16,,,1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,3,La Jolla United A,la-jolla-united-a,La Jolla United,15 of 16,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,4,Newport Beach A,newport-beach-a,Newport Beach,2 of 16,,,3,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,5,LA Premier A,la-premier-a,LA Premier,4 of 16,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,6,CIU A,ciu-a,CIU,5 of 16,,,2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,7,SD Dons A,sd-dons-a,SD Dons,14 of 16,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,8,OVAC A,ovac-a,OVAC,3-3,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,9,908,908,908,7 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,11,San Diego Shores A,san-diego-shores-a,San Diego Shores,9 of 16,,,1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,12,Commerce A,commerce-a,Commerce,10 of 16,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,15,Lamorinda A,lamorinda-a,Lamorinda,12 of 16,,,1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,16,South Coast A,south-coast-a,South Coast,3-2,,,1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,17,Shore Aquatics A,shore-aquatics-a,Shore Aquatics,4-1,,,1,,,d2_team_upper_band_review|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,18,Rancho Tsunami A,rancho-tsunami-a,Rancho Tsunami,16 of 16,,,-3,,,d2_team_upper_band_review|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,19,CC United A,cc-united-a,CC United,11 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,20,North Irvine A,north-irvine-a,North Irvine,6 of 16,,,4,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,21,CDM A,cdm-a,CDM,13 of 16,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,22,Mission B,mission-b,Mission,4-1,,,-1,,,depth_team_top_50_review|depth_team_top_25_review|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,23,Diablo Alliance A,diablo-alliance-a,Diablo Alliance,2-3,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,24,San Clemente A,san-clemente-a,San Clemente,3-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Boys,92,Route 66 Aquatics A,route-66-aquatics-a,Route 66 Aquatics,8 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Girls,2,Stanford A,stanford-a-14u-girls,Stanford,3-3,,,1,,,futures_usclub_crossover|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Girls,3,908,908-14u-girls,908,4 of 5,,,-1,,,futures_usclub_crossover|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Girls,18,Arroyo Grande,arroyo-grande-14u-girls,Arroyo Grande,1 of 5,,,4,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Girls,19,Davis,davis-14u-girls,Davis,2-4,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Girls,20,South Coast Red,south-coast-red-14u-girls,South Coast,3-2,,,-1,,,manual_review_14u_girls_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Girls,21,San Diego Shores Gold,san-diego-shores-gold-14u-girls,San Diego Shores,3-3,,,-1,,,team_depth_guardrail|manual_review_14u_girls_same_team_alias_merge|manual_review_14u_girls_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Girls,22,Rose Bowl,rose-bowl-14u-girls,Rose Bowl,4-1,,,-1,,,futures_usclub_crossover|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
14U Girls,23,Foothill Red,foothill-red-14u-girls,Foothill Club,3 of 5,,,1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
