source_page,element,label,href_or_action,classes,status,issue_type,target_type,notes
12u-boys.html,a,CPI California Polo Index Ranked. Respected. Earned.,index.html,brand,OK,,internal,
12u-boys.html,a,Home,index.html,,OK,,internal,
12u-boys.html,a,Rankings,rankings.html,,OK,,internal,
12u-boys.html,a,14U Boys,14u-boys.html,,OK,,internal,
12u-boys.html,a,Clubs,clubs.html,,OK,,internal,
12u-boys.html,a,Tournaments,tournaments.html,,OK,,internal,
12u-boys.html,a,Methodology,methodology.html,,OK,,internal,
12u-girls.html,a,CPI California Polo Index Ranked. Respected. Earned.,index.html,brand,OK,,internal,
12u-girls.html,a,Home,index.html,,OK,,internal,
12u-girls.html,a,Rankings,rankings.html,,OK,,internal,
12u-girls.html,a,14U Boys,14u-boys.html,,OK,,internal,
12u-girls.html,a,Clubs,clubs.html,,OK,,internal,
12u-girls.html,a,Tournaments,tournaments.html,,OK,,internal,
12u-girls.html,a,Methodology,methodology.html,,OK,,internal,
14u-boys.html,a,CPI California Polo Index Ranked. Respected. Earned.,index.html,brand,OK,,internal,
14u-boys.html,a,Home,index.html,,OK,,internal,
14u-boys.html,a,Rankings,rankings.html,,OK,,internal,
14u-boys.html,a,14U Boys,14u-boys.html,,OK,,internal,
14u-boys.html,a,Clubs,clubs.html,,OK,,internal,
14u-boys.html,a,Tournaments,tournaments.html,,OK,,internal,
14u-boys.html,a,Methodology,methodology.html,,OK,,internal,
14u-girls.html,a,CPI California Polo Index Ranked. Respected. Earned.,index.html,brand,OK,,internal,
14u-girls.html,a,Home,index.html,,OK,,internal,
14u-girls.html,a,Rankings,rankings.html,,OK,,internal,
14u-girls.html,a,14U Boys,14u-boys.html,,OK,,internal,
14u-girls.html,a,Clubs,clubs.html,,OK,,internal,
14u-girls.html,a,Tournaments,tournaments.html,,OK,,internal,
14u-girls.html,a,Methodology,methodology.html,,OK,,internal,
16u-boys.html,a,CPI California Polo Index Ranked. Respected. Earned.,index.html,brand,OK,,internal,
16u-boys.html,a,Home,index.html,,OK,,internal,
16u-boys.html,a,Rankings,rankings.html,,OK,,internal,
16u-boys.html,a,14U Boys,14u-boys.html,,OK,,internal,
16u-boys.html,a,Clubs,clubs.html,,OK,,internal,
16u-boys.html,a,Tournaments,tournaments.html,,OK,,internal,
16u-boys.html,a,Methodology,methodology.html,,OK,,internal,
16u-girls.html,a,CPI California Polo Index Ranked. Respected. Earned.,index.html,brand,OK,,internal,
16u-girls.html,a,Home,index.html,,OK,,internal,
16u-girls.html,a,Rankings,rankings.html,,OK,,internal,
16u-girls.html,a,14U Boys,14u-boys.html,,OK,,internal,
16u-girls.html,a,Clubs,clubs.html,,OK,,internal,
16u-girls.html,a,Tournaments,tournaments.html,,OK,,internal,
16u-girls.html,a,Methodology,methodology.html,,OK,,internal,
18u-boys.html,a,CPI California Polo Index Ranked. Respected. Earned.,index.html,brand,OK,,internal,
18u-boys.html,a,Home,index.html,,OK,,internal,
18u-boys.html,a,Rankings,rankings.html,,OK,,internal,
18u-boys.html,a,14U Boys,14u-boys.html,,OK,,internal,
18u-boys.html,a,Clubs,clubs.html,,OK,,internal,
18u-boys.html,a,Tournaments,tournaments.html,,OK,,internal,
18u-boys.html,a,Methodology,methodology.html,,OK,,internal,
18u-girls.html,a,CPI California Polo Index Ranked. Respected. Earned.,index.html,brand,OK,,internal,
18u-girls.html,a,Home,index.html,,OK,,internal,
18u-girls.html,a,Rankings,rankings.html,,OK,,internal,
18u-girls.html,a,14U Boys,14u-boys.html,,OK,,internal,
18u-girls.html,a,Clubs,clubs.html,,OK,,internal,
18u-girls.html,a,Tournaments,tournaments.html,,OK,,internal,
18u-girls.html,a,Methodology,methodology.html,,OK,,internal,
club.html,a,CPI California Polo Index Ranked. Respected. Earned.,index.html,cpi-v8-brand,OK,,internal,
club.html,a,Home,index.html,,OK,,internal,
club.html,a,Rankings,rankings.html,,OK,,internal,
club.html,a,Clubs,clubs.html,,OK,,internal,
club.html,a,Tournaments,tournaments.html,,OK,,internal,
