group,rank,team,slug,club,club_slug,region,team_depth,team_depth_label,cpi,movement,games_tracked,latest_tournament,latest_record,ranking_flags,manual_review_note,issue_types,recommended_action,same_group_possible_duplicate_matches,same_club_other_teams_in_group,quiksilver_old_rank,quiksilver_new_rank,quiksilver_weight,logo,team_page,club_page,manual_decision,approved_canonical_team,approved_canonical_club,notes
12U Boys,1,Mission A,mission-a-12u-boys,Mission,mission,Orange County,1,primary/A-level,2160.0,0,33,Quiksilver Cup,1 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Mission B #46 (mission-b-12u-boys),Mission B #46 depth=2,,,,assets/logos/canonical/mission.webp,team.html?team=mission-a-12u-boys,club.html?club=mission,,,,
12U Boys,2,Stanford Red,stanford-red,Stanford,stanford,Peninsula / San Francisco,1,primary/A-level,2025.5,0,26,Quiksilver Cup,5 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Stanford Black #71 (stanford-black),Stanford Black #71 depth=2,,,,assets/logos/canonical/stanford.webp,team.html?team=stanford-red,club.html?club=stanford,,,,
12U Boys,3,SD Dons A,sd-dons-a-12u-boys,SD Dons,sd-dons,San Diego,1,primary/A-level,1974.7,1,5,Quiksilver Cup,2 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,SD Dons B #37 (sd-dons-b-12u-boys); SD Dons Black #57 (sd-dons-black); SD Dons Gold #64 (sd-dons-gold),SD Dons B #37 depth=2; SD Dons Black #57 depth=1; SD Dons Gold #64 depth=1,,,,assets/logos/canonical/sd-dons.webp,team.html?team=sd-dons-a-12u-boys,club.html?club=sd-dons,,,,
12U Boys,4,Greenwich,greenwich,Greenwich,greenwich,Out of State,1,primary/A-level,1899.2,-1,6,San Diego County Cup,6-0,manual_priority_out_of_region_elite_result|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Greenwich White #42 (greenwich-white),Greenwich White #42 depth=1,,,,assets/logos/canonical/greenwich.webp,team.html?team=greenwich,club.html?club=greenwich,,,,
12U Boys,5,Vanguard,vanguard,Vanguard,vanguard,Orange County,1,primary/A-level,1894.0,0,11,Quiksilver Cup,8 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/vanguard.webp,team.html?team=vanguard,club.html?club=vanguard,,,,
12U Boys,6,CC United,cc-united-12u-boys,CC United,cc-united,East Bay,1,primary/A-level,1879.9,0,24,Futures Super Finals,3-3,manual_review_cc_united_same_team_merge,Merged CC United A and CC United Black as the same 12U Boys team.,manual_review_note_present|possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,CC United Blue #48 (cc-united-blue),CC United Blue #48 depth=2,,,,assets/logos/canonical/cc-united.webp,team.html?team=cc-united-12u-boys,club.html?club=cc-united,,,,
12U Boys,7,North Irvine Black,north-irvine-black,North Irvine,north-irvine,Orange County,1,primary/A-level,1865.8,1,27,Quiksilver Cup,7 of 16,manual_review_adjusted_below_head_to_head_greenwich|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,North Irvine White #82 (north-irvine-white),North Irvine White #82 depth=1,,,,assets/logos/canonical/north-irvine.webp,team.html?team=north-irvine-black,club.html?club=north-irvine,,,,
12U Boys,8,San Jose Express Blue,san-jose-express-blue,SJ Express,sj-express,Peninsula / San Francisco,1,primary/A-level,1856.5,-1,22,Futures Super Finals,4-2,manual_review_adjusted_below_head_to_head_greenwich|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/sj-express.webp,team.html?team=san-jose-express-blue,club.html?club=sj-express,,,,
12U Boys,9,San Clemente,san-clemente-12u-boys,San Clemente,san-clemente,Orange County,1,primary/A-level,1770.7,0,32,Quiksilver Cup,4 of 16,manual_review_san_clemente_profile_split|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Merged San Clemente A and San Clemente Black as the same 12U Boys team.,manual_review_note_present|possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,San Clemente Red #58 (san-clemente-red-12u-boys),San Clemente Red #58 depth=2,,,,assets/logos/canonical/san-clemente.webp,team.html?team=san-clemente-12u-boys,club.html?club=san-clemente,,,,
12U Boys,10,CDM,cdm,CDM,cdm,Orange County,1,primary/A-level,1764.0,4,22,Quiksilver Cup,3 of 16,manual_review_same_team_alias_merge|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Merged CDM and CDM as same primary 12U Boys team.,manual_review_note_present|possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,CDM White #84 (cdm-white),CDM White #84 depth=1,,,,assets/logos/canonical/cdm.webp,team.html?team=cdm,club.html?club=cdm,,,,
