group,rank,current_team,current_slug,current_club,current_club_slug,issue_types,same_group_possible_duplicate_matches,same_club_other_teams_in_group,recommended_action,decision,canonical_team_name,canonical_team_slug,canonical_club,canonical_club_slug,merge_into_existing_slug,keep_separate,notes
12U Boys,1,Mission A,mission-a-12u-boys,Mission,mission,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Mission B #46 (mission-b-12u-boys),Mission B #46 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,2,Stanford Red,stanford-red,Stanford,stanford,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Stanford Black #71 (stanford-black),Stanford Black #71 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,3,SD Dons A,sd-dons-a-12u-boys,SD Dons,sd-dons,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,SD Dons B #37 (sd-dons-b-12u-boys); SD Dons Black #57 (sd-dons-black); SD Dons Gold #64 (sd-dons-gold),SD Dons B #37 depth=2; SD Dons Black #57 depth=1; SD Dons Gold #64 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,4,Greenwich,greenwich,Greenwich,greenwich,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Greenwich White #42 (greenwich-white),Greenwich White #42 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,6,CC United,cc-united-12u-boys,CC United,cc-united,manual_review_note_present|possible_duplicate_team_name|same_club_multiple_teams_in_group,CC United Blue #48 (cc-united-blue),CC United Blue #48 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,7,North Irvine Black,north-irvine-black,North Irvine,north-irvine,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,North Irvine White #82 (north-irvine-white),North Irvine White #82 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,9,San Clemente,san-clemente-12u-boys,San Clemente,san-clemente,manual_review_note_present|possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,San Clemente Red #58 (san-clemente-red-12u-boys),San Clemente Red #58 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,10,CDM,cdm,CDM,cdm,manual_review_note_present|possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,CDM White #84 (cdm-white),CDM White #84 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,16,La Jolla United,la-jolla-united,La Jolla United,la-jolla-united,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,La Jolla United Navy #73 (la-jolla-united-navy); La Jolla United Gold #75 (la-jolla-united-gold); La Jolla United B #83 (la-jolla-united-b-12u-boys),La Jolla United Navy #73 depth=1; La Jolla United Gold #75 depth=1; La Jolla United B #83 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,,,
12U Boys,18,680 A,680-a-12u-boys,680,680,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,680 Red #44 (680-red); 680 White #50 (680-white); 680 Blue #72 (680-blue),680 Red #44 depth=1; 680 White #50 depth=1; 680 Blue #72 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
