group,club_slug,club,teams_ranked_order,issue_types,manual_decision,notes
12U Boys,680,680,#18 680 A depth=1 cpi=1710.9 | #44 680 Red depth=1 cpi=1629.0 | #50 680 White depth=1 cpi=1615.0 | #72 680 Blue depth=2 cpi=1526.6,color_or_depth_names_present|duplicate_depth_values,,
12U Boys,cc-united,CC United,#6 CC United depth=1 cpi=1879.9 | #48 CC United Blue depth=2 cpi=1618.8,color_or_depth_names_present,,
12U Boys,cdm,CDM,#10 CDM depth=1 cpi=1764.0 | #84 CDM White depth=1 cpi=1472.6,color_or_depth_names_present|duplicate_depth_values,,
12U Boys,ciu,CIU,#65 CIU Black depth=1 cpi=1554.1 | #76 CIU Gold depth=1 cpi=1506.7,color_or_depth_names_present|duplicate_depth_values,,
12U Boys,foothill-club,Foothill Club,#31 Foothill Red depth=1 cpi=1667.6 | #74 Foothill Black depth=1 cpi=1520.0,color_or_depth_names_present|duplicate_depth_values,,
12U Boys,greenwich,Greenwich,#4 Greenwich depth=1 cpi=1899.2 | #42 Greenwich White depth=1 cpi=1630.3,color_or_depth_names_present|duplicate_depth_values,,
12U Boys,la-jolla-united,La Jolla United,#16 La Jolla United depth=1 cpi=1717.6 | #73 La Jolla United Navy depth=1 cpi=1522.1 | #75 La Jolla United Gold depth=1 cpi=1516.0 | #83 La Jolla United B depth=2 cpi=1472.7,color_or_depth_names_present|duplicate_depth_values,,
12U Boys,los-alamitos,Los Alamitos,#17 Los Alamitos depth=1 cpi=1715.5 | #66 Los Alamitos Opal depth=1 cpi=1550.3,duplicate_depth_values,,
12U Boys,mission,Mission,#1 Mission A depth=1 cpi=2160.0 | #46 Mission B depth=2 cpi=1621.4,color_or_depth_names_present,,
12U Boys,newport-beach,Newport Beach,#27 Newport Beach A depth=1 cpi=1676.9 | #40 Newport White depth=1 cpi=1637.7,color_or_depth_names_present|duplicate_depth_values,,
12U Boys,north-irvine,North Irvine,#7 North Irvine Black depth=1 cpi=1865.8 | #82 North Irvine White depth=1 cpi=1474.2,color_or_depth_names_present|duplicate_depth_values,,
12U Boys,orwp,ORWP,#21 ORWP A depth=1 cpi=1692.3 | #78 ORWP Red depth=1 cpi=1494.9,color_or_depth_names_present|duplicate_depth_values,,
12U Boys,san-clemente,San Clemente,#9 San Clemente depth=1 cpi=1770.7 | #58 San Clemente Red depth=2 cpi=1577.4,color_or_depth_names_present,,
12U Boys,sd-dons,SD Dons,#3 SD Dons A depth=1 cpi=1974.7 | #37 SD Dons B depth=2 cpi=1639.2 | #57 SD Dons Black depth=1 cpi=1582.4 | #64 SD Dons Gold depth=1 cpi=1555.3,color_or_depth_names_present|duplicate_depth_values,,
12U Boys,shaq,SHAQ,#45 SHAQ Blue depth=1 cpi=1622.5 | #61 SHAQ White depth=1 cpi=1562.6,color_or_depth_names_present|duplicate_depth_values,,
12U Boys,stanford,Stanford,#2 Stanford Red depth=1 cpi=2025.5 | #71 Stanford Black depth=2 cpi=1528.0,color_or_depth_names_present,,
12U Boys,trojan,Trojan,#24 Trojan Cardinal depth=1 cpi=1689.1 | #68 Trojan depth=1 cpi=1546.4,duplicate_depth_values,,
12U Boys,yolo,Yolo,#49 Yolo Black depth=1 cpi=1615.6 | #52 Yolo depth=1 cpi=1608.2,color_or_depth_names_present|duplicate_depth_values,,
12U Girls,back-bay,Back Bay,#5 Back Bay Navy depth=1 cpi=1929.6 | #27 Back Bay Black depth=2 cpi=1527.6,color_or_depth_names_present,,
12U Girls,lamorinda,Lamorinda,#3 Lamorinda A depth=1 cpi=1982.7 | #22 Lamorinda B depth=2 cpi=1576.8 | #34 Lamorinda C depth=3 cpi=1451.0,color_or_depth_names_present,,
12U Girls,newport-beach,Newport Beach,#1 Newport Beach A depth=1 cpi=2150.0 | #23 Newport Beach White depth=2 cpi=1570.2,color_or_depth_names_present,,
12U Girls,san-clemente,San Clemente,#4 San Clemente Red depth=1 cpi=1929.7 | #38 San Clemente Black depth=2 cpi=1360.0,color_or_depth_names_present,,
12U Girls,sbwpc,SBWPC,#15 SBWPC A depth=1 cpi=1743.4 | #32 SBWPC B depth=2 cpi=1486.0,color_or_depth_names_present,,
12U Girls,stanford,Stanford,#8 Stanford A depth=1 cpi=1833.1 | #35 Stanford B depth=2 cpi=1429.3,color_or_depth_names_present,,
14U Boys,680,680,#30 680 A depth=1 cpi=1810.8 | #50 680 B depth=2 cpi=1677.9 | #76 680 C depth=3 cpi=1527.9,color_or_depth_names_present,,
14U Boys,american-river,American River,#52 American River A depth=1 cpi=1671.9 | #97 American River B depth=2 cpi=1474.3,color_or_depth_names_present,,
14U Boys,cc-united,CC United,#19 CC United A depth=1 cpi=1897.0 | #35 CC United B depth=2 cpi=1788.9 | #93 CC United C depth=3 cpi=1477.5,color_or_depth_names_present,,
14U Boys,diablo-alliance,Diablo Alliance,#23 Diablo Alliance A depth=1 cpi=1881.7 | #60 Diablo Alliance B depth=2 cpi=1601.1,color_or_depth_names_present,,
14U Boys,la-jolla-united,La Jolla United,#3 La Jolla United A depth=1 cpi=2068.0 | #41 La Jolla United B depth=2 cpi=1727.4,color_or_depth_names_present,,
14U Boys,lamorinda,Lamorinda,#15 Lamorinda A depth=1 cpi=1933.1 | #55 Lamorinda B depth=2 cpi=1653.8 | #103 Lamorinda C depth=3 cpi=1460.4,color_or_depth_names_present,,
14U Boys,mission,Mission,#2 Mission A depth=1 cpi=2076.3 | #22 Mission B depth=2 cpi=1886.3,color_or_depth_names_present,,
14U Boys,newport-beach,Newport Beach,#4 Newport Beach A depth=1 cpi=2037.7 | #34 Newport Beach B depth=2 cpi=1792.1,color_or_depth_names_present,,
14U Boys,norcal,NorCal,#1 NorCal A depth=1 cpi=2161.0 | #58 NorCal B depth=2 cpi=1618.7 | #80 NorCal C depth=3 cpi=1512.2,color_or_depth_names_present,,
14U Boys,north-irvine,North Irvine,#20 North Irvine A depth=1 cpi=1894.0 | #89 North Irvine B depth=2 cpi=1490.2,color_or_depth_names_present,,
