group,rank,team,slug,club,club_slug,region,logo
12U Boys,28,Santa Cruz,santa-cruz,Santa Cruz,santa-cruz,Central Coast,assets/logos/canonical/santa-cruz.webp
12U Boys,36,908,908-12u-boys,908,908,Central Coast,assets/logos/canonical/908.webp
12U Boys,65,CIU Black,ciu-black,Channel Islands United,ciu,Central Coast,assets/logos/canonical/ciu.webp
12U Boys,69,Santa Barbara,santa-barbara,Santa Barbara Water Polo Club,santa-barbara,Central Coast,assets/logos/canonical/santa-barbara.webp
12U Boys,76,CIU Gold,ciu-gold,Channel Islands United,ciu,Central Coast,assets/logos/canonical/ciu.webp
12U Girls,14,Arroyo Grande,arroyo-grande-12u-girls,Arroyo Grande,arroyo-grande,Central Coast,assets/logos/canonical/arroyo-grande.webp
12U Girls,15,SBWPC A,sbwpc-a-12u-girls,SBWPC,sbwpc,Central Coast,assets/logos/canonical/sbwpc.webp
12U Girls,31,CIU,ciu-12u-girls,Channel Islands United,ciu,Central Coast,assets/logos/canonical/ciu.webp
12U Girls,32,SBWPC B,sbwpc-b-12u-girls,SBWPC,sbwpc,Central Coast,assets/logos/canonical/sbwpc.webp
14U Boys,8,CIU A,ciu-a,Channel Islands United,ciu,Central Coast,assets/logos/canonical/ciu.webp
14U Boys,9,908,908,908,908,Central Coast,assets/logos/canonical/908.webp
14U Boys,36,Santa Barbara A,santa-barbara-a,Santa Barbara Water Polo Club,santa-barbara,Central Coast,assets/logos/canonical/santa-barbara.webp
14U Boys,79,Gold Coast A,gold-coast-a,Gold Coast,gold-coast,Central Coast,assets/logos/canonical/gold-coast.webp
14U Boys,90,Santa Cruz A,santa-cruz-a,Santa Cruz,santa-cruz,Central Coast,assets/logos/canonical/santa-cruz.webp
14U Girls,2,908,908-14u-girls,908,908,Central Coast,assets/logos/canonical/908.webp
14U Girls,7,SBWPC A,sbwpc-a-14u-girls,Santa Barbara Water Polo Club,santa-barbara,Central Coast,assets/logos/canonical/santa-barbara.webp
14U Girls,10,Santa Cruz,santa-cruz-14u-girls,Santa Cruz,santa-cruz,Central Coast,assets/logos/canonical/santa-cruz.webp
14U Girls,22,Arroyo Grande,arroyo-grande-14u-girls,Arroyo Grande,arroyo-grande,Central Coast,assets/logos/canonical/arroyo-grande.webp
14U Girls,45,Central Coast,central-coast-14u-girls,Central Coast,central-coast,Central Coast,assets/logos/canonical/central-coast.webp
14U Girls,46,Gold Coast,gold-coast-14u-girls,Gold Coast,gold-coast,Central Coast,assets/logos/canonical/gold-coast.webp
14U Girls,47,Seaside,seaside-14u-girls,Seaside,seaside,Central Coast,assets/logos/canonical/seaside.webp
14U Girls,58,SBWPC B,sbwpc-b-14u-girls,Santa Barbara Water Polo Club,santa-barbara,Central Coast,assets/logos/canonical/santa-barbara.webp
14U Girls,77,CCWP,ccwp-14u-girls,CCWP,ccwp,Central Coast,assets/logos/canonical/ccwp.webp
16U Boys,14,SBWPC A,sbwpc-a-16u-boys,SBWPC,sbwpc,Central Coast,assets/logos/canonical/sbwpc.webp
16U Boys,25,CIU Gold,ciu-gold-16u-boys,Channel Islands United,ciu,Central Coast,assets/logos/canonical/ciu.webp
16U Boys,55,Santa Cruz,santa-cruz-16u-boys,Santa Cruz,santa-cruz,Central Coast,assets/logos/canonical/santa-cruz.webp
16U Boys,62,CIU Blue,ciu-blue-16u-boys,Channel Islands United,ciu,Central Coast,assets/logos/canonical/ciu.webp
16U Girls,1,SBWPC A,sbwpc-a-16u-girls,SBWPC,sbwpc,Central Coast,assets/logos/canonical/sbwpc.webp
16U Girls,22,SBWPC B,sbwpc-b-16u-girls,SBWPC,sbwpc,Central Coast,assets/logos/canonical/sbwpc.webp
16U Girls,23,Legacy,legacy-16u-girls,Legacy,legacy,Central Coast,assets/logos/canonical/legacy.webp
16U Girls,24,CIU,ciu-16u-girls,Channel Islands United,ciu,Central Coast,assets/logos/canonical/ciu.webp
16U Girls,25,Arroyo Grande,arroyo-grande-16u-girls,Arroyo Grande,arroyogrande,Central Coast,assets/logos/canonical/arroyogrande.webp
18U Girls,2,SBWPC A,sbwpc-a-18u-girls,SBWPC,sbwpc,Central Coast,assets/logos/canonical/sbwpc.webp
18U Girls,10,Legacy,legacy-18u-girls,Legacy,legacy,Central Coast,assets/logos/canonical/legacy.webp
18U Girls,12,Santa Cruz,santa-cruz-18u-girls,Santa Cruz,santa-cruz,Central Coast,assets/logos/canonical/santa-cruz.webp
18U Girls,14,SBWPC B,sbwpc-b-18u-girls,SBWPC,sbwpc,Central Coast,assets/logos/canonical/sbwpc.webp
18U Girls,19,Seaside,seaside-18u-girls,Seaside,seaside,Central Coast,assets/logos/canonical/seaside.webp
18U Girls,29,SBWPC C,sbwpc-c-18u-girls,SBWPC,sbwpc,Central Coast,assets/logos/canonical/sbwpc.webp
14U Boys,42,Skip A,skip-a,Skip,skip,Central Valley,assets/logos/canonical/skip.webp
14U Boys,48,Kingsburg A,kingsburg-a,Kingsburg,kingsburg,Central Valley,assets/logos/canonical/kingsburg.webp
14U Boys,54,Clovis Red,clovis-red,Clovis Water Polo Club,clovis-red,Central Valley,assets/logos/canonical/clovis-red.webp
14U Boys,62,CVU A,cvu-a,CVU,cvu,Central Valley,assets/logos/canonical/cvu.webp
14U Girls,40,Clovis A,clovis-a-14u-girls,Clovis Water Polo Club,clovis-red,Central Valley,assets/logos/canonical/clovis-red.webp
14U Girls,42,Praetorian,praetorian-14u-girls,Praetorian,praetorian,Central Valley,assets/logos/canonical/praetorian.webp
14U Girls,43,Big Valley,big-valley-14u-girls,Big Valley,big-valley,Central Valley,assets/logos/canonical/big-valley.webp
14U Girls,73,Clovis B,clovis-b-14u-girls,Clovis Water Polo Club,clovis-red,Central Valley,assets/logos/canonical/clovis-red.webp
16U Boys,35,Monarch WPC,monarch-wpc-16u-boys,Monarch WPC,monarch-wpc,Central Valley,assets/logos/canonical/monarch-wpc.webp
16U Boys,65,Big Valley,big-valley-16u-boys,Big Valley,big-valley,Central Valley,assets/logos/canonical/big-valley.webp
16U Boys,70,Clovis,clovis-16u-boys,Clovis,clovis,Central Valley,assets/logos/canonical/clovis.webp
16U Girls,29,Bulldog,bulldog-16u-girls,Bulldog,bulldog,Central Valley,assets/logos/canonical/bulldog.webp
16U Girls,30,Clovis,clovis-16u-girls,Clovis,clovis,Central Valley,assets/logos/canonical/clovis.webp
18U Girls,21,Clovis,clovis-18u-girls,Clovis,clovis,Central Valley,assets/logos/canonical/clovis.webp
18U Girls,24,Bulldog,bulldog-18u-girls,Bulldog,bulldog,Central Valley,assets/logos/canonical/bulldog.webp
12U Boys,6,CC United,cc-united-12u-boys,CC United,cc-united,East Bay,assets/logos/canonical/cc-united.webp
12U Boys,18,680 A,680-a-12u-boys,680 Water Polo,680,East Bay,assets/logos/canonical/680.webp
12U Boys,20,Lamorinda A,lamorinda-a-12u-boys,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
12U Boys,44,680 Red,680-red,680 Water Polo,680,East Bay,assets/logos/canonical/680.webp
12U Boys,48,CC United Blue,cc-united-blue,CC United,cc-united,East Bay,assets/logos/canonical/cc-united.webp
12U Boys,49,Yolo Black,yolo-black,Yolo,yolo,East Bay,assets/logos/canonical/yolo.webp
12U Boys,50,680 White,680-white,680 Water Polo,680,East Bay,assets/logos/canonical/680.webp
12U Boys,52,Yolo,yolo,Yolo,yolo,East Bay,assets/logos/canonical/yolo.webp
12U Boys,70,Diablo Alliance A,diablo-alliance-a-12u-boys,Diablo Alliance,diablo-alliance,East Bay,assets/logos/canonical/diablo-alliance.webp
12U Boys,72,680 Blue,680-blue,680 Water Polo,680,East Bay,assets/logos/canonical/680.webp
12U Girls,3,Lamorinda A,lamorinda-a-12u-girls,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
12U Girls,6,680 Red,680-red-12u-girls,680 Water Polo,680,East Bay,assets/logos/canonical/680.webp
12U Girls,22,Lamorinda B,lamorinda-b-12u-girls,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
12U Girls,33,Diablo Alliance A,diablo-alliance-a-12u-girls,Diablo Alliance,diablo-alliance,East Bay,assets/logos/canonical/diablo-alliance.webp
12U Girls,34,Lamorinda C,lamorinda-c-12u-girls,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
14U Boys,16,Lamorinda A,lamorinda-a,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
14U Boys,19,CC United A,cc-united-a,CC United,cc-united,East Bay,assets/logos/canonical/cc-united.webp
14U Boys,22,Diablo Alliance A,diablo-alliance-a,Diablo Alliance,diablo-alliance,East Bay,assets/logos/canonical/diablo-alliance.webp
14U Boys,30,680 A,680-a,680 Water Polo,680,East Bay,assets/logos/canonical/680.webp
14U Boys,35,CC United B,cc-united-b,CC United,cc-united,East Bay,assets/logos/canonical/cc-united.webp
14U Boys,49,Alameda A,alameda-a,Alameda Neptunes,alameda,East Bay,assets/logos/canonical/alameda.webp
14U Boys,50,680 B,680-b,680 Water Polo,680,East Bay,assets/logos/canonical/680.webp
14U Boys,55,Lamorinda B,lamorinda-b,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
14U Boys,60,Diablo Alliance B,diablo-alliance-b,Diablo Alliance,diablo-alliance,East Bay,assets/logos/canonical/diablo-alliance.webp
14U Boys,76,680 C,680-c,680 Water Polo,680,East Bay,assets/logos/canonical/680.webp
14U Boys,93,CC United C,cc-united-c,CC United,cc-united,East Bay,assets/logos/canonical/cc-united.webp
14U Boys,99,Triton Gold,triton-gold,Triton Gold,triton-gold,East Bay,assets/logos/canonical/triton-gold.webp
14U Boys,103,Lamorinda C,lamorinda-c,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
14U Boys,106,Tri-Valley Tritons A,tri-valley-tritons-a,Tri-Valley Tritons,tri-valley-tritons,East Bay,assets/logos/canonical/tri-valley-tritons.webp
14U Girls,4,Lamorinda A,lamorinda-a-14u-girls,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
14U Girls,6,Diablo Alliance A,diablo-alliance-a-14u-girls,Diablo Alliance,diablo-alliance,East Bay,assets/logos/canonical/diablo-alliance.webp
14U Girls,15,CC United,cc-united-14u-girls,CC United,cc-united,East Bay,assets/logos/canonical/cc-united.webp
14U Girls,29,680 Red,680-red-14u-girls,680 Water Polo,680,East Bay,assets/logos/canonical/680.webp
14U Girls,35,Lamorinda B,lamorinda-b-14u-girls,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
14U Girls,63,Lamorinda C,lamorinda-c-14u-girls,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
16U Boys,6,Berkeley WPC,berkeley-wpc-16u-boys,Berkeley WPC,berkeley-wpc,East Bay,assets/logos/canonical/berkeley-wpc.webp
16U Boys,11,Lamorinda A,lamorinda-a-16u-boys,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
16U Boys,27,680 A,680-a-16u-boys,680 Water Polo,680,East Bay,assets/logos/canonical/680.webp
16U Boys,31,CC United,cc-united-16u-boys,CC United,cc-united,East Bay,assets/logos/canonical/cc-united.webp
16U Boys,42,CC United Blue,cc-united-blue-16u-boys,CC United,cc-united,East Bay,assets/logos/canonical/cc-united.webp
16U Girls,4,Meridian,meridian-16u-girls,Meridian,meridian,East Bay,assets/logos/canonical/meridian.webp
16U Girls,6,Diablo Alliance A,diablo-alliance-a-16u-girls,Diablo Alliance,diablo-alliance,East Bay,assets/logos/canonical/diablo-alliance.webp
16U Girls,16,Lamorinda A,lamorinda-a-16u-girls,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
16U Girls,33,Lamorinda B,lamorinda-b-16u-girls,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
18U Boys,2,CC United,cc-united-18u-boys,CC United,cc-united,East Bay,assets/logos/canonical/cc-united.webp
18U Boys,6,Lamorinda A,lamorinda-a-18u-boys,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
18U Boys,30,Diablo Alliance A,diablo-alliance-a-18u-boys,Diablo Alliance,diablo-alliance,East Bay,assets/logos/canonical/diablo-alliance.webp
18U Girls,5,Lamorinda A,lamorinda-a-18u-girls,Lamorinda Water Polo,lamorinda,East Bay,assets/logos/canonical/lamorinda.webp
12U Boys,11,Tsunami,tsunami-12u-boys,Rancho Tsunami,rancho-tsunami,Inland Empire,assets/logos/canonical/rancho-tsunami.webp
12U Boys,77,Pride,pride,Pride Water Polo,pride,Inland Empire,assets/logos/canonical/pride.webp
12U Boys,80,CHAWP,chawp,Chawp,chawp,Inland Empire,assets/logos/canonical/chawp.webp
12U Girls,18,Tsunami,tsunami-12u-girls,Rancho Tsunami Water Polo Club,rancho-tsunami,Inland Empire,assets/logos/canonical/rancho-tsunami.webp
12U Girls,20,CHAWP,chawp-12u-girls,Chawp,chawp,Inland Empire,assets/logos/canonical/chawp.webp
14U Boys,15,Rancho Tsunami A,rancho-tsunami-a,Rancho Tsunami Water Polo Club,rancho-tsunami,Inland Empire,assets/logos/canonical/rancho-tsunami.webp
14U Boys,26,Pride A,pride-a,Pride Water Polo,pride,Inland Empire,assets/logos/canonical/pride.webp
14U Boys,85,Pride B,pride-b,Pride Water Polo,pride,Inland Empire,assets/logos/canonical/pride.webp
14U Boys,92,Route 66 Aquatics A,route-66-aquatics-a,Route 66 Aquatics,route-66-aquatics,Inland Empire,assets/logos/canonical/route-66-aquatics.webp
14U Boys,104,Riverside A,riverside-a,Riverside,riverside,Inland Empire,assets/logos/canonical/riverside.webp
14U Girls,12,CHAWP Blue,chawp-blue-14u-girls,Chawp,chawp,Inland Empire,assets/logos/canonical/chawp.webp
16U Boys,1,Imperial,imperial-16u-boys,Imperial,imperial,Inland Empire,assets/logos/canonical/imperial.webp
16U Boys,43,CHAWP B,chawp-b-16u-boys,Chawp,chawp,Inland Empire,assets/logos/canonical/chawp.webp
16U Boys,66,CHAWP,chawp-16u-boys,Chawp,chawp,Inland Empire,assets/logos/canonical/chawp.webp
16U Boys,69,Tsunami,tsunami-16u-boys,Rancho Tsunami Water Polo Club,rancho-tsunami,Inland Empire,assets/logos/canonical/rancho-tsunami.webp
16U Girls,10,Norco,norco-16u-girls,Norco,norco,Inland Empire,assets/logos/canonical/norco.webp
16U Girls,14,Tsunami,tsunami-16u-girls,Rancho Tsunami Water Polo Club,rancho-tsunami,Inland Empire,assets/logos/canonical/rancho-tsunami.webp
16U Girls,18,CHAWP B,chawp-b-16u-girls,Chawp,chawp,Inland Empire,assets/logos/canonical/chawp.webp
18U Boys,4,Imperial,imperial-18u-boys,Imperial,imperial,Inland Empire,assets/logos/canonical/imperial.webp
18U Boys,14,Tsunami,tsunami-18u-boys,Rancho Tsunami Water Polo Club,rancho-tsunami,Inland Empire,assets/logos/canonical/rancho-tsunami.webp
18U Boys,16,Imperial B,imperial-b-18u-boys,Imperial,imperial,Inland Empire,assets/logos/canonical/imperial.webp
18U Boys,25,CHAWP B,chawp-b-18u-boys,Chawp,chawp,Inland Empire,assets/logos/canonical/chawp.webp
18U Boys,31,Route 66,route-66-18u-boys,Route 66,route-66,Inland Empire,assets/logos/canonical/route-66.webp
18U Boys,37,CHAWP,chawp-18u-boys,Chawp,chawp,Inland Empire,assets/logos/canonical/chawp.webp
18U Girls,16,CHAWP B,chawp-b-18u-girls,Chawp,chawp,Inland Empire,assets/logos/canonical/chawp.webp
18U Girls,18,Tsunami,tsunami-18u-girls,Rancho Tsunami Water Polo Club,rancho-tsunami,Inland Empire,assets/logos/canonical/rancho-tsunami.webp
18U Girls,28,CHAWP,chawp-18u-girls,Chawp,chawp,Inland Empire,assets/logos/canonical/chawp.webp
12U Boys,10,Rose Bowl,rose-bowl-12u-boys,Rose Bowl Water Polo Club,rose-bowl,Los Angeles,assets/logos/canonical/rose-bowl.webp
12U Boys,13,Temple City,temple-city,Temple City,temple-city,Los Angeles,assets/logos/canonical/temple-city.webp
12U Boys,21,ORWP A,orwp-a-12u-boys,ORWP,orwp,Los Angeles,assets/logos/canonical/orwp.webp
12U Boys,24,Trojan Cardinal,trojan-cardinal,Trojan,trojan,Los Angeles,assets/logos/canonical/trojan.webp
12U Boys,25,LA Premier,la-premier,LA Premier,la-premier,Los Angeles,assets/logos/canonical/la-premier.webp
12U Boys,32,Shore Aquatics,shore-aquatics,Shore Aquatics,shore-aquatics,Los Angeles,assets/logos/canonical/shore-aquatics.webp
12U Boys,33,SMAC Black,smac-black,Smac,smac,Los Angeles,assets/logos/canonical/smac.webp
12U Boys,35,Commerce,commerce,Commerce Water Polo,commerce,Los Angeles,assets/logos/canonical/commerce.webp
12U Boys,55,Whittier,whittier,Whittier,whittier,Los Angeles,assets/logos/canonical/whittier.webp
12U Boys,59,Palos Verdes,palos-verdes,PV WPC,pv-wpc,Los Angeles,assets/logos/canonical/pv-wpc.webp
12U Boys,63,PAC,pac,Pasadena AC,pasadena-ac,Los Angeles,assets/logos/canonical/pasadena-ac.webp
12U Boys,67,Lawpc,lawpc,Los Angeles Water Polo Club,lawpc,Los Angeles,assets/logos/canonical/lawpc.webp
12U Boys,68,Trojan,trojan,Trojan,trojan,Los Angeles,assets/logos/canonical/trojan.webp
12U Boys,78,ORWP Red,orwp-red,ORWP,orwp,Los Angeles,assets/logos/canonical/orwp.webp
