"Day 1","HOT! RESULTS","SUBMIT SCORES!","Quarter Lengths by Day","BRACKET BREAKER","","","","","","","","","","","","","","","","","","","","",""
"Thu, July 27","","","6-6-6-6","","","","","","","","","","","","","","","","","","","","","",""
"","","C","D","","F","","","","Teams","","","","","","","","","","","","","","","",""
"","","3-LA CITY UNITED","D1 (4)-CORONADO","","6-LOWPO","","","","(Seed-Team Name)","","","","","","","","","","","","","","","",""
"","","22-PRAETORIAN","D2(21)-RAIN CITY","","19-PHOENIX RENEGADES","","","","","","","","","","","","","","","","","","","",""
"","","27-INNIS ARDEN","D3(28)-VALLEY UNITED","","30-RIVERSIDE","","","","","","","","","","","","","","","","","","","",""
"","","44-SMAC","","","42-ELITE","","","","","","","","","","","","","","","","","","","",""
"","","I","J","","L","","","","","","","","","","","","","","","","","","","",""
"","","9-LOKAHI","10-CHULA VISTA PREMIER","","12-SHARKS","","","","","","","","","","","","","","","","","","","",""
"","","16-PRINCETON","15-A TOWN","","13-LONGHORN","","","","","","","","","","","","","","","","","","","",""
"","","33-YOLO B","34-WCAC UNITED","","36-SET","","","","","","","","","","","","","","","","","","","",""
"","","40-NORTHWEST","39-HIELAND","","37-BAINBRIDGE","","","","Team Travels","","","","","","","","","","","","","","","",""
"","","6 min Quarters","","","","","","","","","","","","","","","","","","","","","","",""
"Sat, July 18","","","","","","","","","","","12C","","","","","","","","","","","","","",""
"","","","GOLDEN WEST COLLEGE 2","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","GOLDEN WEST COLLEGE 2","1","3-LA CITY UNITED","23","44-SMAC","3","25","29","12C-001","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","GOLDEN WEST COLLEGE 2","5","22-PRAETORIAN","4","27-INNIS ARDEN","5","25","29","12C-005","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","GOLDEN WEST COLLEGE 2","9","A1(1)-YOLO A","22","A3(25)-NGEN","1","bracket","","12C-009","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","GOLDEN WEST COLLEGE 2","17","2-SACRAMENTO","19","45-NWC","6","41","45","12C-017","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","GOLDEN WEST COLLEGE 2","21","23-VIKING","10","26-PALOS VERDES","4","41","45","12C-021","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","GOLDEN WEST COLLEGE 2","25","W1-LA CITY UNITED","19","W5-INNIS ARDEN","3","pt_O1","50","12C-025","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","GOLDEN WEST COLLEGE 2","33","A2(24)-BIG VALLEY","0","A3(25)-NGEN","5","bracket","","12C-033","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","GOLDEN WEST COLLEGE 2","29","L1-SMAC","7","L5-PRAETORIAN","10","49","","12C-029","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","GOLDEN WEST COLLEGE 2","41","W17-SACRAMENTO","9","W21-VIKING","4","W-pt_N1","53","12C-041","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","GOLDEN WEST COLLEGE 2","45","L17-NWC","","L21-PALOS VERDES","","57","","12C-045","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","GOLDEN WEST COLLEGE 2","37","A1(1)-YOLO A","5","A2(24)-BIG VALLEY","0","bracket","","12C-037","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","GOLDEN WEST COLLEGE 2","49","2nd_D","","W29-PRAETORIAN","","pt_R3","","12C-049","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","GOLDEN WEST COLLEGE 2","57","2nd_A-NGEN","","W45","","pt_U3","","12C-057","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","GOLDEN WEST COLLEGE 2","53","L41-VIKING","5","3rd_A-BIG VALLEY","0","pt_T3","","12C-053","","","","","","","","","","","","","",""
"","","","LA HABRA HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","LA HABRA HS","4","10-CHULA VISTA PREMIER","11","39-HIELAND","5","28","32","12C-004","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","LA HABRA HS","8","15-A TOWN","13","34-WCAC UNITED","5","28","32","12C-008","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","LA HABRA HS","12","11-TRILOGY","22","38-MESA","8","36","40","12C-012","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","LA HABRA HS","16","14-CENTRAL VALLEY UNITED","9","35-CARMEL","3","36","40","12C-016","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","LA HABRA HS","20","12-SHARKS","19","37-BAINBRIDGE","5","44","48","12C-020","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","LA HABRA HS","24","13-LONGHORN","15","36-SET","2","44","48","12C-024","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","LA HABRA HS","28","W4-CHULA VISTA PREMIER","9","W8-A TOWN","2","pt_N3","51","12C-028","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","LA HABRA HS","32","L4-HIELAND","10","L8-WCAC UNITED","2","52","","12C-032","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","Group","LA HABRA HS","36","W12-TRILOGY","","W16-CENTRAL VALLEY UNITED","","pt_O3","60","12C-036","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","LA HABRA HS","40","L12-MESA","","L16-CARMEL","","56","","12C-040","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","LA HABRA HS","44","W20-SHARKS","","W24-LONGHORN","","pt_P3","56","12C-044","","","","","","","","","","","","","",""
"18-Jul","4:10 PM","Group","LA HABRA HS","48","L20-BAINBRIDGE","","L24-SET","","60","","12C-048","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","LA HABRA HS","52","2nd_G","","W32-HIELAND","","pt_T2","","12C-052","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","LA HABRA HS","56","L44","","W40","","pt_R1","","12C-056","","","","","","","","","","","","","",""
"18-Jul","7:30 PM","2-3 cross","LA HABRA HS","60","L36-NSD STARS","","W48","","pt_S1","","12C-060","","","","","","","","","","","","","",""
"","","","PORTOLA HS 2","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","bracket","PORTOLA HS 2","3","G1(7)-ALAMEDA","16","G3(31)-MV POLO","2","bracket","","12C-003","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","PORTOLA HS 2","11","8-TITANS","7","41-PROSPER","4","35","39","12C-011","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","PORTOLA HS 2","15","17-PUGET SOUND","3","32-MARIN","16","35","39","12C-015","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","PORTOLA HS 2","19","9-LOKAHI","22","40-NORTHWEST","3","43","47","12C-019","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","bracket","PORTOLA HS 2","27","G2(18)-KEARNS","21","G3(31)-MV POLO","2","bracket","","12C-027","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","PORTOLA HS 2","23","16-PRINCETON","13","33-YOLO B","8","43","47","12C-023","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","PORTOLA HS 2","35","W11-TITANS","6","W15-MARIN","15","pt_M2","59","12C-035","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","PORTOLA HS 2","39","L11-PROSPER","5","L15-PUGET SOUND","11","55","","12C-039","","","","","","","","","","","","","",""
"18-Jul","1:40 PM","bracket","PORTOLA HS 2","31","G1(7)-ALAMEDA","","G2(18)-KEARNS","","bracket","","12C-031","","","","","","","","","","","","","",""
"18-Jul","2:30 PM","Group","PORTOLA HS 2","43","W19-LOKAHI","","W23-PRINCETON","","pt_M3","55","12C-043","","","","","","","","","","","","","",""
"18-Jul","3:20 PM","Group","PORTOLA HS 2","47","L19-NORTHWEST","","L23-YOLO B","","59","","12C-047","","","","","","","","","","","","","",""
"18-Jul","5:00 PM","2-3 cross","PORTOLA HS 2","51","L28-A TOWN","","3rd_G","","pt_T1","","12C-051","","","","","","","","","","","","","",""
"18-Jul","5:50 PM","2-3 cross","PORTOLA HS 2","55","L43","","W39-PUGET SOUND","","pt_U1","","12C-055","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","2-3 cross","PORTOLA HS 2","59","L35-TITANS","","W47","","pt_U2","","12C-059","","","","","","","","","","","","","",""
"","","","TRABUCO HILLS HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","bracket","TRABUCO HILLS HS","2","D1 (4)-CORONADO","14","D3(28)-VALLEY UNITED","5","bracket","","12C-002","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","TRABUCO HILLS HS","10","5-VNITED","18","43-AQUATEX","5","34","38","12C-010","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","TRABUCO HILLS HS","14","20-WEST VALLEY","6","29-NSD STARS","8","34","38","12C-014","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","TRABUCO HILLS HS","18","6-LOWPO","15","42-ELITE","10","42","46","12C-018","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","bracket","TRABUCO HILLS HS","6","D2(21)-RAIN CITY","13","D3(28)-VALLEY UNITED","17","bracket","","12C-006","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","TRABUCO HILLS HS","22","19-PHOENIX RENEGADES","7","30-RIVERSIDE","11","42","46","12C-022","","","","","","","","","","","","","",""
"18-Jul","12:00 PM","Group","TRABUCO HILLS HS","34","W10-VNITED","14","W14-NSD STARS","13","pt_P2","58","12C-034","","","","","","","","","","","","","",""
"18-Jul","12:50 PM","Group","TRABUCO HILLS HS","38","L10-AQUATEX","4","L14-WEST VALLEY","7","54","","12C-038","","","","","","","","","","","","","",""
