"","HOT! RESULTS ","SUBMIT SCORES! ","Quarter Lengths by Day 6-6-7-7","","BRACKET BREAKER ","","","","","","","","","","","","","","","","","","","",""
"","","24","Championship Platinum","24","","","","","","","","","","","","","","","","","","","","",""
"Thu, July 25","","15","Championship Gold","15","","","","","","","","","","","","","","","","","","","","",""
"","","","Seeds","","","","","","","","","","","","","","","","","","","","","",""
"","","C","D","","F","","","","","","","","","","","","","","","","","","","",""
"","","C1(3)-PALOS VERDES","D1(4)-SET","","6-SAN JOSE EXPRESS BLUE","","","","","","","","","","","","","","","","","","","",""
"","","C2(22)-PRAETORIAN","D2(21)-ECA","","19-FOOTHILL RED","","","","","","","","","","","","","","","","","","","",""
"","","C3(27)-NORTH IRVINE","D3(28)-STANFORD C","","30-CLOVIS B","","","","","","","","","","","","","","","","","","","",""
"","","","","","39-CHULA VISTA PREMIER","","","","","","","","","","","","","","","","","","","",""
"","","I","J","","L","","","","","","","","","","","","","","","","","","","",""
"","","I1(9)-SANTA BARBARA WPC B","J1(10)-PAC PREMIER","","12-PATRIOT RED","","","","","","","","","","","","","","","","","","","",""
"","","I2(16)-SD SHORES WHITE","J2(15)-NORCAL","","13-SHARKS","","","","","","","","","","","","","","","","","","","",""
"","","I3(33)-CT PREMIER","J3(34)-SAN JOSE EXPRESS GOLD","","36-FOOTHILL BLACK","","","","","","","","","","","","","","","","","","","",""
"","","","","","37-WCAC UNITED","","Team Travels","","","","","","","","","","","","","","","","","",""
"Sat, July 18","","","","","","","","","","","14GX","","","","","","","","","","","","","",""
"","","","GARDEN GROVE HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","","GMID","","","","","","","","","","","","","",""
"18-Jul","7:00 AM","Group","GARDEN GROVE HS","3","G1(7)-SEASIDE","18","G3(31)-TURUL","5","bracket ","","14GX-003","","","","","","","","","","","","","",""
"18-Jul","7:50 AM","Group","GARDEN GROVE HS","7","I1(9)-SANTA BARBARA WPC B","14","I3(33)-CT PREMIER","7","bracket ","","14GX-007","","","","","","","","","","","","","",""
"18-Jul","8:40 AM","Group","GARDEN GROVE HS","11","8-VIKING","18","38-CHAWP BLUE","1","31","43","14GX-011","","","","","","","","","","","","","",""
"18-Jul","9:30 AM","Group","GARDEN GROVE HS","15","17-NEWPORT BEACH WHITE","21","32-TROJAN","0","31","43","14GX-015","","","","","","","","","","","","","",""
"18-Jul","10:20 AM","Group","GARDEN GROVE HS","19","G2(18)-GOLD COAST","19","G3(31)-TURUL","0","bracket ","","14GX-019","","","","","","","","","","","","","",""
"18-Jul","11:10 AM","Group","GARDEN GROVE HS","23","I2(16)-SD SHORES WHITE","8.3","I3(33)-CT PREMIER","8.4","bracket ","","14GX-023","","","","","","","","","","","","","",""
