DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
4-Oct,7:00 AM,BECKMAN HS 2,10B01,C2-908 YELLOW,20,C3-NBWP WHITE,4,C bracket,10U_BOYS
4-Oct,7:50 AM,BECKMAN HS 2,10B02,B1-SOCAL,8,B3-SAN CLEMENTE RED,14,B bracket,10U_BOYS
4-Oct,8:40 AM,BECKMAN HS 2,10B03,A2-STANFORD RED,10,A3-CDM,7,A bracket,10U_BOYS
4-Oct,11:10 AM,BECKMAN HS 2,10B04,C1-CCU BLACK,15,C3-NBWP WHITE,6,C bracket,10U_BOYS
4-Oct,12:00 PM,BECKMAN HS 2,10B05,B1-SOCAL,9,B2-ORWP,4,B bracket,10U_BOYS
4-Oct,12:50 PM,BECKMAN HS 2,10B06,A1-DEL MAR BLUE,16,A3-CDM,10,A bracket,10U_BOYS
4-Oct,3:20 PM,BECKMAN HS 2,10B07,C1-CCU BLACK,7,C2-908 YELLOW,17,C bracket,10U_BOYS
4-Oct,4:10 PM,BECKMAN HS 2,10B08,B2-ORWP,7,B3-SAN CLEMENTE RED,11,B bracket,10U_BOYS
4-Oct,5:00 PM,BECKMAN HS 2,10B09,A1-DEL MAR BLUE,14,A2-STANFORD RED,2,A bracket,10U_BOYS
5-Oct,8:40 AM,BECKMAN HS 2,10B10,D1(3rdA)-CDM,6,D3(3rdC)-NBWP WHITE,9,D bracket (7th-9th),10U_BOYS
5-Oct,9:30 AM,BECKMAN HS 2,10B11,E1(2ndA)-STANFORD RED,5,E3(2ndC)-CCU BLACK,14,E bracket (4th-6th),10U_BOYS
5-Oct,10:20 AM,BECKMAN HS 2,10B12,F1(1stA)-DEL MAR BLUE,13,F3(1stC)-908 YELLOW,8,F bracket (1st-3rd),10U_BOYS
5-Oct,11:10 AM,BECKMAN HS 2,10B13,E2(2ndB)-SOCAL,8,E3(2ndC)-CCU BLACK,15,E bracket (4th-6th),10U_BOYS
5-Oct,12:00 PM,BECKMAN HS 2,10B14,D2(3rdB)-ORWP,10,D3(3rdC)-NBWP WHITE,5,D bracket (7th-9th),10U_BOYS
5-Oct,1:40 PM,WOOLLETT FAR LEFT,10B15,F2(1stB)-SAN CLEMENTE RED,7,F3(1stC)-908 YELLOW,11,F bracket (1st-3rd),10U_BOYS
5-Oct,2:30 PM,BECKMAN HS 2,10B16,D1(3rdA)-CDM,5,D2(3rdB)-ORWP,18,D bracket (7th-9th),10U_BOYS
5-Oct,5:00 PM,BECKMAN HS 2,10B17,E1(2ndA)-STANFORD RED,8,E2(2ndB)-SOCAL,7,E bracket (4th-6th),10U_BOYS
5-Oct,5:00 PM,WOOLLETT FAR LEFT,10B18,F1(1stA)-DEL MAR BLUE,15,F2(1stB)-SAN CLEMENTE RED,7,F bracket (1st-3rd),10U_BOYS
