DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
4-Oct,7:00 AM,WOOLLETT FAR LEFT,10Cptau01,C2-TSUNAMI,3,C3-ORANGE COUNTY WPC,14,C bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,7:50 AM,WOOLLETT FAR LEFT,10Cptau02,B1-NORTH IRVINE BLACK COED,17,B3-LAMORINDA,11,B bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,8:40 AM,WOOLLETT FAR LEFT,10Cptau03,A2-SOUTH COAST RED,8,A3-LONG BEACH VIKING,14,A bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,11:10 AM,WOOLLETT FAR LEFT,10Cptau04,C1-LA JOLLA UNITED,9,C3-ORANGE COUNTY WPC,18,C bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,12:00 PM,WOOLLETT FAR LEFT,10Cptau05,B1-NORTH IRVINE BLACK COED,17,B2-680 RED,2,B bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,12:50 PM,WOOLLETT FAR LEFT,10Cptau06,A1-NBWP BLUE COED,13,A3-LONG BEACH VIKING,2,A bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,3:20 PM,WOOLLETT FAR LEFT,10Cptau07,C1-LA JOLLA UNITED,14,C2-TSUNAMI,2,C bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,4:10 PM,WOOLLETT FAR LEFT,10Cptau08,B2-680 RED,13.1,B3-LAMORINDA,13.3,B bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,5:00 PM,WOOLLETT FAR LEFT,10Cptau09,A1-NBWP BLUE COED,13,A2-SOUTH COAST RED,2,A bracket,10U_COED_PLATINUM_&_GOLD
5-Oct,8:40 AM,WOOLLETT FAR LEFT,10Cptau10,D1(3rdA)-SOUTH COAST RED,16,D3(3rdC)-TSUNAMI,9,D bracket (7th-9th),10U_COED_PLATINUM_&_GOLD
5-Oct,9:30 AM,WOOLLETT FAR LEFT,10Cptau11,E1(2ndA)-LONG BEACH VIKING,12,E3(2ndC)-LA JOLLA UNITED,7,E bracket (4th-6th),10U_COED_PLATINUM_&_GOLD
5-Oct,10:20 AM,WOOLLETT FAR LEFT,10Cptau12,F1(1stA)-NBWP BLUE COED,17,F3(1stC)-ORANGE COUNTY WPC,4,F bracket (1st-3rd),10U_COED_PLATINUM_&_GOLD
5-Oct,12:50 PM,BECKMAN HS 2,10Cptau13,E2(2ndB)-LAMORINDA,9,E3(2ndC)-LA JOLLA UNITED,3,E bracket (4th-6th),10U_COED_PLATINUM_&_GOLD
5-Oct,12:50 PM,WOOLLETT FAR LEFT,10Cptau15,F2(1stB)-NORTH IRVINE BLACK COED,8,F3(1stC)-ORANGE COUNTY WPC,10,F bracket (1st-3rd),10U_COED_PLATINUM_&_GOLD
5-Oct,1:40 PM,BECKMAN HS 2,10Cptau14,D2(3rdB)-680 RED,17,D3(3rdC)-TSUNAMI,1,D bracket (7th-9th),10U_COED_PLATINUM_&_GOLD
5-Oct,3:20 PM,WOOLLETT FAR LEFT,10Cptau17,E1(2ndA)-LONG BEACH VIKING,10,E2(2ndB)-LAMORINDA,13,E bracket (4th-6th),10U_COED_PLATINUM_&_GOLD
5-Oct,4:10 PM,BECKMAN HS 2,10Cptau16,D1(3rdA)-SOUTH COAST RED,5,D2(3rdB)-680 RED,16,D bracket (7th-9th),10U_COED_PLATINUM_&_GOLD
5-Oct,4:10 PM,WOOLLETT FAR LEFT,10Cptau18,F1(1stA)-NBWP BLUE COED,15,F2(1stB)-NORTH IRVINE BLACK COED,2,F bracket (1st-3rd),10U_COED_PLATINUM_&_GOLD
