DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
4-Oct,9:30 AM,WOOLLETT FAR LEFT,10Cagg01,A1-ROSE BOWL RED COED,13,A4-PORT STREETS POLO COED,7,"bracket, A1/A4",10U_COED_SILVER_&_GIRLS
4-Oct,9:30 AM,BECKMAN HS 2,10Cagg02,A2-PATRIOT RED COED,2,A3-LAGUNA BEACH COED,6,"bracket, A2/A3",10U_COED_SILVER_&_GIRLS
4-Oct,10:20 AM,WOOLLETT FAR LEFT,10Cagg03,B2-NBWP GIRLS,0,B3-DEL MAR GIRLS,15,"bracket, B2/B3 Girls 1st-3rd",10U_COED_SILVER_&_GIRLS
4-Oct,10:20 AM,BECKMAN HS 2,10Cagg04,B1-VANGUARD BLUE COED,3,B4-SOCAL GIRLS,15,"bracket, B1/B4",10U_COED_SILVER_&_GIRLS
4-Oct,1:40 PM,WOOLLETT FAR LEFT,10Cagg05,A1-ROSE BOWL RED COED,12,A3-LAGUNA BEACH COED,7,"bracket, A1/A3",10U_COED_SILVER_&_GIRLS
4-Oct,1:40 PM,BECKMAN HS 2,10Cagg06,A2-PATRIOT RED COED,8,A4-PORT STREETS POLO COED,10,"bracket, A2/A4",10U_COED_SILVER_&_GIRLS
4-Oct,2:30 PM,WOOLLETT FAR LEFT,10Cagg07,B1-VANGUARD BLUE COED,2,B3-DEL MAR GIRLS,17,"bracket, B1/B3",10U_COED_SILVER_&_GIRLS
4-Oct,2:30 PM,BECKMAN HS 2,10Cagg08,B2-NBWP GIRLS,1,B4-SOCAL GIRLS,9,"bracket, B2/B4 Girls 1st-3rd",10U_COED_SILVER_&_GIRLS
5-Oct,7:00 AM,WOOLLETT FAR LEFT,10Cagg09,A3-LAGUNA BEACH COED,8,A4-PORT STREETS POLO COED,12,"bracket, A3/A4",10U_COED_SILVER_&_GIRLS
5-Oct,7:00 AM,BECKMAN HS 2,10Cagg10,B3-DEL MAR GIRLS,6,B4-SOCAL GIRLS,4,"bracket, B3/B4  Girls 1st-3rd",10U_COED_SILVER_&_GIRLS
5-Oct,7:50 AM,WOOLLETT FAR LEFT,10Cagg11,A1-ROSE BOWL RED COED,11,A2-PATRIOT RED COED,6,"bracket, A1/A2",10U_COED_SILVER_&_GIRLS
5-Oct,7:50 AM,BECKMAN HS 2,10Cagg12,B1-VANGUARD BLUE COED,11,B2-NBWP GIRLS,4,"bracket, B1/B2",10U_COED_SILVER_&_GIRLS
5-Oct,11:10 AM,WOOLLETT FAR LEFT,10Cagg13,2ndA-PORT STREETS POLO COED,5,2ndB-SOCAL GIRLS,12,3rd,10U_COED_SILVER_&_GIRLS
5-Oct,12:00 PM,WOOLLETT FAR LEFT,10Cagg14,1stA-ROSE BOWL RED COED,8,1stB-DEL MAR GIRLS,13,1st,10U_COED_SILVER_&_GIRLS
5-Oct,2:30 PM,WOOLLETT FAR LEFT,10Cagg16,3rdA-LAGUNA BEACH COED,11,3rdB-VANGUARD BLUE COED,9,5th,10U_COED_SILVER_&_GIRLS
5-Oct,3:20 PM,BECKMAN HS 2,10Cagg15,4thA-PATRIOT RED COED,9,4thB-NBWP GIRLS,4,7th,10U_COED_SILVER_&_GIRLS
