DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
4-Oct,7:00 AM,WOOLLETT FAR RIGHT,12Bpt01,A1-VANGUARD BLUE,18,A3-SAN CLEMENTE RED,11,"A bracket A1,A3",12U_BOYS_PLATINUM
4-Oct,7:50 AM,WOOLLETT FAR RIGHT,12Bpt02,B1-CCU BLACK,11,B3-NORTH IRVINE BLACK,6,"B bracket B1,B3",12U_BOYS_PLATINUM
4-Oct,8:40 AM,WOOLLETT FAR RIGHT,12Bpt03,C2-MISSION WPC A,15,C3-LA JOLLA UNITED NAVY,3,"C bracket C2,C3",12U_BOYS_PLATINUM
4-Oct,9:30 AM,WOOLLETT FAR RIGHT,12Bpt06,A1-VANGUARD BLUE,9,A2-STANFORD RED,7,"A bracket A1,A2",12U_BOYS_PLATINUM
4-Oct,10:20 AM,WOOLLETT FAR RIGHT,12Bpt04,D1-SD SHORES BLACK,10,D4-CDM,12,"D bracket D1,D4",12U_BOYS_PLATINUM
4-Oct,11:10 AM,WOOLLETT FAR RIGHT,12Bpt05,D2-SOCAL BLACK,10,D3-680 RED,4,"D bracket D2,D3",12U_BOYS_PLATINUM
4-Oct,11:40 AM,TUSTIN HS 2,12Bpt07,A2-STANFORD RED,13,A3-SAN CLEMENTE RED,9,"A bracket A2,A3",12U_BOYS_PLATINUM
4-Oct,12:30 PM,TUSTIN HS 2,12Bpt10,B1-CCU BLACK,13,B2-PATRIOT NAVY,8,"B bracket B1,B2",12U_BOYS_PLATINUM
4-Oct,12:50 PM,WOOLLETT FAR RIGHT,12Bpt08,C1-ORWP,7,C2-MISSION WPC A,12,"C bracket C1,C2",12U_BOYS_PLATINUM
4-Oct,1:40 PM,WOOLLETT FAR RIGHT,12Bpt09,D1-SD SHORES BLACK,11,D3-680 RED,7,"D bracket D1,D3",12U_BOYS_PLATINUM
4-Oct,3:00 PM,TUSTIN HS 2,12Bpt11,D2-SOCAL BLACK,12,D4-CDM,8,"D bracket D2,D4",12U_BOYS_PLATINUM
4-Oct,3:20 PM,WOOLLETT FAR RIGHT,12Bpt12,B2-PATRIOT NAVY,9,B3-NORTH IRVINE BLACK,10,"B bracket B2,B3",12U_BOYS_PLATINUM
4-Oct,4:10 PM,WOOLLETT FAR RIGHT,12Bpt13,C1-ORWP,10,C3-LA JOLLA UNITED NAVY,2,"C bracket C1,C3",12U_BOYS_PLATINUM
5-Oct,7:00 AM,WOOLLETT FAR RIGHT,12Bpt14,D3-680 RED,6.2,D4-CDM,6.3,"D bracket D3,D4",12U_BOYS_PLATINUM
5-Oct,7:50 AM,WOOLLETT FAR RIGHT,12Bpt15,D1-SD SHORES BLACK,5,D2-SOCAL BLACK,14,"D bracket D1,D2",12U_BOYS_PLATINUM
5-Oct,8:40 AM,WOOLLETT FAR RIGHT,12Bpt16,3rdB-PATRIOT NAVY,11,3rdC-LA JOLLA UNITED NAVY,4,9-13th 3B/3C,12U_BOYS_PLATINUM
5-Oct,9:30 AM,WOOLLETT FAR RIGHT,12Bpt22,2ndB-NORTH IRVINE BLACK,6,2ndC-ORWP,9,5-8 semi 2B/2C,12U_BOYS_PLATINUM
5-Oct,10:20 AM,WOOLLETT FAR RIGHT,12Bpt17,3rdA-SAN CLEMENTE RED,10,3rdD-SD SHORES BLACK,7,9-13th 3A/3D,12U_BOYS_PLATINUM
5-Oct,11:10 AM,WOOLLETT FAR RIGHT,12Bpt23,2ndA-STANFORD RED,10,2ndD-CDM,7,5-8 semi 2A/2D,12U_BOYS_PLATINUM
5-Oct,12:00 PM,WOOLLETT FAR RIGHT,12Bpt20,1stB-CCU BLACK,4,1stC-MISSION WPC A,10,1-4 semi 1B/1C,12U_BOYS_PLATINUM
5-Oct,12:50 PM,WOOLLETT FAR RIGHT,12Bpt21,1stA-VANGUARD BLUE,10,1stD-SOCAL BLACK,9,1-4 semi 1A/1D,12U_BOYS_PLATINUM
5-Oct,1:40 PM,TUSTIN HS 2,12Bpt18,3rdA-SAN CLEMENTE RED,13,3rdC-LA JOLLA UNITED NAVY,6,9-13th 3A/3C,12U_BOYS_PLATINUM
5-Oct,1:40 PM,WOOLLETT FAR RIGHT,12Bpt27,L#22-NORTH IRVINE BLACK,4.5,L#23-CDM,4.6,7th,12U_BOYS_PLATINUM
5-Oct,2:30 PM,TUSTIN HS 2,12Bpt19,4thD-680 RED,6,3rdB-PATRIOT NAVY,10,9-13th 4D/3B,12U_BOYS_PLATINUM
5-Oct,2:30 PM,WOOLLETT FAR RIGHT,12Bpt26,W#22-ORWP,6,W#23-STANFORD RED,14,5th,12U_BOYS_PLATINUM
5-Oct,3:20 PM,WOOLLETT FAR RIGHT,12Bpt24,L#20-CCU BLACK,12,L#21-SOCAL BLACK,10,3rd,12U_BOYS_PLATINUM
5-Oct,4:10 PM,WOOLLETT FAR RIGHT,12Bpt25,W#20-MISSION WPC A,7,W#21-VANGUARD BLUE,6,1st,12U_BOYS_PLATINUM
