DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
4-Oct,8:00 AM,ESTANCIA HS 2,12Bag01,B1-MVPOLO,2,B2-MISSION WPC B,14,B bracket,12U_BOYS_SILVER
4-Oct,8:50 AM,ESTANCIA HS 2,12Bag02,D1-LAGUNA BEACH,11,D3-CC UNITED WHITE,5,D bracket,12U_BOYS_SILVER
4-Oct,9:40 AM,ESTANCIA HS 2,12Bag03,A1-SHORE AQUATICS,18,A2-LAMORINDA B,8,A bracket,12U_BOYS_SILVER
4-Oct,10:30 AM,ESTANCIA HS 2,12Bag04,C1-DIABLO ALLIANCE RED,22,C3-ORANGE COUNTY WPC RED,4,C bracket,12U_BOYS_SILVER
4-Oct,11:20 AM,ESTANCIA HS 2,12Bag05,B2-MISSION WPC B,14,B3-680 BLUE,3,B bracket,12U_BOYS_SILVER
4-Oct,12:10 PM,ESTANCIA HS 2,12Bag06,D2-TITANS WP,13,D3-CC UNITED WHITE,12,D bracket,12U_BOYS_SILVER
4-Oct,1:00 PM,ESTANCIA HS 2,12Bag07,A2-LAMORINDA B,7,A3-NORTH IRVINE RED,17,A bracket,12U_BOYS_SILVER
4-Oct,1:50 PM,ESTANCIA HS 2,12Bag08,C2-SOCAL GOLD,11.3,C3-ORANGE COUNTY WPC RED,11.2,C bracket,12U_BOYS_SILVER
4-Oct,2:40 PM,ESTANCIA HS 2,12Bag09,B1-MVPOLO,6,B3-680 BLUE,17,B bracket,12U_BOYS_SILVER
4-Oct,3:30 PM,ESTANCIA HS 2,12Bag11,D1-LAGUNA BEACH,13,D2-TITANS WP,7,D bracket,12U_BOYS_SILVER
4-Oct,4:20 PM,ESTANCIA HS 2,12Bag10,A1-SHORE AQUATICS,6,A3-NORTH IRVINE RED,11,A bracket,12U_BOYS_SILVER
4-Oct,5:10 PM,ESTANCIA HS 2,12Bag12,C1-DIABLO ALLIANCE RED,21,C2-SOCAL GOLD,4,C bracket,12U_BOYS_SILVER
5-Oct,7:00 AM,BECKMAN HS 1,12Bag13,1stA-NORTH IRVINE RED,5,1stD-LAGUNA BEACH,12,1-4 semi,12U_BOYS_SILVER
5-Oct,7:50 AM,BECKMAN HS 1,12Bag14,1stB-MISSION WPC B,6,1stC-DIABLO ALLIANCE RED,5,1-4 semi,12U_BOYS_SILVER
5-Oct,8:40 AM,BECKMAN HS 1,12Bag15,2ndA-SHORE AQUATICS,14,2ndD-TITANS WP,16,5-8 semi,12U_BOYS_SILVER
5-Oct,8:40 AM,TUSTIN HS 2,12Bag21,3rdA-LAMORINDA B,4,3rdD-CC UNITED WHITE,15,9-12 semi,12U_BOYS_SILVER
5-Oct,9:30 AM,BECKMAN HS 1,12Bag16,2ndB-680 BLUE,13,2ndC-SOCAL GOLD,3,5-8 semi,12U_BOYS_SILVER
5-Oct,9:30 AM,TUSTIN HS 2,12Bag22,3rdB-MVPOLO,17,3rdC-ORANGE COUNTY WPC RED,11,9-12 semi,12U_BOYS_SILVER
5-Oct,10:20 AM,BECKMAN HS 1,12Bag17,L#13-NORTH IRVINE RED,3,L#14-DIABLO ALLIANCE RED,21,3rd,12U_BOYS_SILVER
5-Oct,11:10 AM,BECKMAN HS 1,12Bag18,W#13-LAGUNA BEACH,8,W#14-MISSION WPC B,3,1st,12U_BOYS_SILVER
5-Oct,12:00 PM,BECKMAN HS 1,12Bag19,W#15-TITANS WP,11,W#16-680 BLUE,8,5th,12U_BOYS_SILVER
5-Oct,12:50 PM,BECKMAN HS 1,12Bag20,L#15-SHORE AQUATICS,16,L#16-SOCAL GOLD,8,7th,12U_BOYS_SILVER
5-Oct,1:40 PM,BECKMAN HS 1,12Bag23,W#21-CC UNITED WHITE,21,W#22-MVPOLO,6,9th,12U_BOYS_SILVER
5-Oct,2:30 PM,BECKMAN HS 1,12Bag24,L#21-LAMORINDA B,10,L#22-ORANGE COUNTY WPC RED,7,11th,12U_BOYS_SILVER
