DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
4-Oct,8:00 AM,COSTA MESA HS 2,12C01,A2-PALOS VERDES,6,A5-PATRIOT NAVY 10,11,A bracket 2/5,12U_COED
4-Oct,8:50 AM,COSTA MESA HS 2,12C02,A1-TSUNAMI,4,A3-LONG BEACH VIKING,23,A bracket 1/3,12U_COED
4-Oct,11:20 AM,COSTA MESA HS 2,12C03,A2-PALOS VERDES,6,A4-LA CITY UNITED WATER POLO,17,A bracket 2/4,12U_COED
4-Oct,1:00 PM,COSTA MESA HS 2,12C04,A3-LONG BEACH VIKING,2,A5-PATRIOT NAVY 10,14,A bracket 3/5,12U_COED
4-Oct,1:50 PM,COSTA MESA HS 2,12C05,A1-TSUNAMI,3,A4-LA CITY UNITED WATER POLO,13,A bracket 1/4,12U_COED
5-Oct,8:00 AM,COSTA MESA HS 2,12C06,A2-PALOS VERDES,11,A3-LONG BEACH VIKING,5,A bracket 2/3,12U_COED
5-Oct,8:50 AM,COSTA MESA HS 2,12C07,A4-LA CITY UNITED WATER POLO,16,A5-PATRIOT NAVY 10,6,A bracket 4/5,12U_COED
5-Oct,11:20 AM,COSTA MESA HS 2,12C08,A1-TSUNAMI,3,A2-PALOS VERDES,21,A bracket 1/2,12U_COED
5-Oct,12:10 PM,COSTA MESA HS 2,12C09,A3-LONG BEACH VIKING,1,A4-LA CITY UNITED WATER POLO,13,A bracket 3/4,12U_COED
5-Oct,2:40 PM,COSTA MESA HS 2,12C10,A1-TSUNAMI,0,A5-PATRIOT NAVY 10,19,A bracket 1/5,12U_COED
