DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
4-Oct,9:40 AM,COSTA MESA HS 2,12Gpt01,A1-BACK BAY,14,A4-LAMORINDA B,6,"bracket, A1/A4",12U_GIRLS_PLATINUM
4-Oct,10:30 AM,COSTA MESA HS 2,12Gpt02,A2-DEL MAR BLUE,12,A3-SHORE AQUATICS,4,"bracket, A2/A3",12U_GIRLS_PLATINUM
4-Oct,12:00 PM,WOOLLETT FAR RIGHT,12Gpt04,B1-LAMORINDA A,13,B4-NORTH IRVINE,2,"bracket, B1/B4",12U_GIRLS_PLATINUM
4-Oct,12:10 PM,COSTA MESA HS 2,12Gpt03,B2-SD SHORES BLACK,2,B3-SAN CLEMENTE RED,14,"bracket, B2/B3",12U_GIRLS_PLATINUM
4-Oct,2:30 PM,WOOLLETT FAR RIGHT,12Gpt08,B2-SD SHORES BLACK,11,B4-NORTH IRVINE,4,"bracket, B2/B4",12U_GIRLS_PLATINUM
4-Oct,3:30 PM,COSTA MESA HS 2,12Gpt05,A1-BACK BAY,13,A3-SHORE AQUATICS,8,"bracket, A1/A3",12U_GIRLS_PLATINUM
4-Oct,4:20 PM,COSTA MESA HS 2,12Gpt06,A2-DEL MAR BLUE,12,A4-LAMORINDA B,4,"bracket, A2/A4",12U_GIRLS_PLATINUM
4-Oct,5:10 PM,COSTA MESA HS 2,12Gpt07,B1-LAMORINDA A,11,B3-SAN CLEMENTE RED,15,"bracket, B1/B3",12U_GIRLS_PLATINUM
5-Oct,9:40 AM,COSTA MESA HS 2,12Gpt09,A3-SHORE AQUATICS,5,A4-LAMORINDA B,7,"bracket, A3/A4",12U_GIRLS_PLATINUM
5-Oct,10:30 AM,COSTA MESA HS 2,12Gpt10,B3-SAN CLEMENTE RED,16,B4-NORTH IRVINE,1,"bracket, B3/B4",12U_GIRLS_PLATINUM
5-Oct,1:00 PM,COSTA MESA HS 2,12Gpt11,B1-LAMORINDA A,9,B2-SD SHORES BLACK,6,"bracket, B1/B2",12U_GIRLS_PLATINUM
5-Oct,1:50 PM,COSTA MESA HS 2,12Gpt12,A1-BACK BAY,3,A2-DEL MAR BLUE,5,"bracket, A1/A2",12U_GIRLS_PLATINUM
5-Oct,3:20 PM,BECKMAN HS 1,12Gpt15,4thA-SHORE AQUATICS,13,4thB-NORTH IRVINE,5,7th,12U_GIRLS_PLATINUM
5-Oct,3:20 PM,TUSTIN HS 2,12Gpt16,3rdA-LAMORINDA B,12,3rdB-SD SHORES BLACK,3,5th,12U_GIRLS_PLATINUM
5-Oct,3:30 PM,COSTA MESA HS 2,12Gpt13,2ndA-BACK BAY,13,2ndB-LAMORINDA A,10,3rd,12U_GIRLS_PLATINUM
5-Oct,4:20 PM,COSTA MESA HS 2,12Gpt14,1stA-DEL MAR BLUE,12,1stB-SAN CLEMENTE RED,9,1st,12U_GIRLS_PLATINUM
