DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
4-Oct,8:50 AM,EL TORO HS,14Gau01,D1-HONOLULU WATER POLO,13,D3-NORTH IRVINE,3,D bracket,14U_GIRLS_GOLD
4-Oct,9:40 AM,EL TORO HS,14Gau02,B1-LA JOLLA UNITED,7,B2-PALOS VERDES BLACK,8,B bracket,14U_GIRLS_GOLD
4-Oct,10:30 AM,EL TORO HS,14Gau03,A1-SOCAL,3,A2-SOUTH COAST RED,18,A bracket,14U_GIRLS_GOLD
4-Oct,11:20 AM,EL TORO HS,14Gau04,C1-SET,3,C3-PAC ORANGE,6,C bracket,14U_GIRLS_GOLD
4-Oct,12:10 PM,EL TORO HS,14Gau05,D1-HONOLULU WATER POLO,9,D2-LONG BEACH VIKING,5,D bracket,14U_GIRLS_GOLD
4-Oct,12:30 PM,TUSTIN HS 1,14Gau06,B1-LA JOLLA UNITED,12,B3-CC UNITED BLUE,4,B bracket,14U_GIRLS_GOLD
4-Oct,1:00 PM,EL TORO HS,14Gau07,A2-SOUTH COAST RED,16,A3-SOUTH BAY UNITED,4,A bracket,14U_GIRLS_GOLD
4-Oct,1:50 PM,EL TORO HS,14Gau08,C2-FOOTHILL RED,4,C3-PAC ORANGE,6,C bracket,14U_GIRLS_GOLD
4-Oct,2:40 PM,EL TORO HS,14Gau09,D2-LONG BEACH VIKING,12,D3-NORTH IRVINE,7,D bracket,14U_GIRLS_GOLD
4-Oct,3:30 PM,EL TORO HS,14Gau11,B2-PALOS VERDES BLACK,14,B3-CC UNITED BLUE,3,B bracket,14U_GIRLS_GOLD
4-Oct,3:50 PM,TUSTIN HS 1,14Gau10,A1-SOCAL,3,A3-SOUTH BAY UNITED,11,A bracket,14U_GIRLS_GOLD
4-Oct,4:20 PM,EL TORO HS,14Gau12,C1-SET,8,C2-FOOTHILL RED,4,C bracket,14U_GIRLS_GOLD
5-Oct,8:50 AM,EL TORO HS,14Gau13,1stA-SOUTH COAST RED,7,1stD-HONOLULU WATER POLO,9,1-4 semi,14U_GIRLS_GOLD
5-Oct,9:40 AM,EL TORO HS,14Gau14,1stB-PALOS VERDES BLACK,13,1stC-PAC ORANGE,5,1-4 semi,14U_GIRLS_GOLD
5-Oct,10:30 AM,EL TORO HS,14Gau15,2ndA-SOUTH BAY UNITED,11,2ndD-LONG BEACH VIKING,12,5-8 semi,14U_GIRLS_GOLD
5-Oct,11:20 AM,EL TORO HS,14Gau16,2ndB-LA JOLLA UNITED,7,2ndC-SET,5,5-8 semi,14U_GIRLS_GOLD
5-Oct,12:10 PM,EL TORO HS,14Gau17,L#13-SOUTH COAST RED,8,L#14-PAC ORANGE,5,3rd,14U_GIRLS_GOLD
5-Oct,1:00 PM,EL TORO HS,14Gau18,W#13-HONOLULU WATER POLO,5,W#14-PALOS VERDES BLACK,7,1st,14U_GIRLS_GOLD
5-Oct,1:50 PM,EL TORO HS,14Gau21,3rdA-SOCAL,1,3rdD-NORTH IRVINE,9,9-12 semi,14U_GIRLS_GOLD
5-Oct,2:40 PM,EL TORO HS,14Gau22,3rdB-CC UNITED BLUE,1,3rdC-FOOTHILL RED,11,9-12 semi,14U_GIRLS_GOLD
5-Oct,3:30 PM,EL TORO HS,14Gau19,W#15-LONG BEACH VIKING,13,W#16-LA JOLLA UNITED,6,5th,14U_GIRLS_GOLD
5-Oct,4:20 PM,EL TORO HS,14Gau20,L#15-SOUTH BAY UNITED,11,L#16-SET,4,7th,14U_GIRLS_GOLD
5-Oct,4:20 PM,COSTA MESA HS 1,14Gau23,W#21-NORTH IRVINE,7,W#22-FOOTHILL RED,8,9th,14U_GIRLS_GOLD
5-Oct,5:10 PM,COSTA MESA HS 1,14Gau24,L#21-SOCAL,3,L#22-CC UNITED BLUE,4,11th,14U_GIRLS_GOLD
