DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
4-Oct,8:00 AM,WESTMINSTER HS,HSGab01,A2-SET,22,A4-CHARGERS,2,"bracket, A2/A4 HSGA 1st-4th",HS_GIRLS_A_&_B
4-Oct,9:00 AM,WESTMINSTER HS,HSGab03,B2-MISSION JV,17,B4-SFV 16,4,"bracket, B2/B4 HSG B 1st-4th",HS_GIRLS_A_&_B
4-Oct,10:00 AM,WESTMINSTER HS,HSGab02,A2-SET,11,A3-SOUTH COAST,9,"bracket, A2/A3 HSGA 1st-4th",HS_GIRLS_A_&_B
4-Oct,11:00 AM,WESTMINSTER HS,HSGab04,A1-CHANNEL ISLANDS UNITED GOLD,13,A4-CHARGERS,0,"bracket, A1/A4 HSGA 1st-4th",HS_GIRLS_A_&_B
4-Oct,12:00 PM,WESTMINSTER HS,HSGab05,B1-LA JOLLA UNITED 16 GOLD,8,B4-SFV 16,6,"bracket, B1/B4 HSG B 1st-4th",HS_GIRLS_A_&_B
4-Oct,1:00 PM,WESTMINSTER HS,HSGab07,B2-MISSION JV,7,B3-TSUNAMI 16,12,"bracket, B2/B3 HSG B 1st-4th",HS_GIRLS_A_&_B
4-Oct,2:00 PM,WESTMINSTER HS,HSGab06,A1-CHANNEL ISLANDS UNITED GOLD,12,A3-SOUTH COAST,4,"bracket, A1/A3 HSGA 1st-4th",HS_GIRLS_A_&_B
4-Oct,3:00 PM,WESTMINSTER HS,HSGab08,B1-LA JOLLA UNITED 16 GOLD,4,B3-TSUNAMI 16,14,"bracket, B1/B3 HSG B 1st-4th",HS_GIRLS_A_&_B
5-Oct,8:00 AM,WESTMINSTER HS,HSGab09,A3-SOUTH COAST,17,A4-CHARGERS,1,"bracket, A3/A4 HSGA 1st-4th",HS_GIRLS_A_&_B
5-Oct,9:00 AM,WESTMINSTER HS,HSGab10,B3-TSUNAMI 16,10,B4-SFV 16,5,"bracket, B3/B4 HSG B 1st-4th",HS_GIRLS_A_&_B
5-Oct,10:00 AM,WESTMINSTER HS,HSGab11,B1-LA JOLLA UNITED 16 GOLD,8,B2-MISSION JV,18,"bracket, B1/B2 HSG B 1st-4th",HS_GIRLS_A_&_B
5-Oct,11:00 AM,WESTMINSTER HS,HSGab12,A1-CHANNEL ISLANDS UNITED GOLD,13,A2-SET,9,"bracket, A1/A2 HSGA 1st-4th",HS_GIRLS_A_&_B
5-Oct,12:00 PM,WESTMINSTER HS,HSGab13,4thA-CHARGERS,4,4thB-SFV 16,7,cross,HS_GIRLS_A_&_B
5-Oct,1:00 PM,WESTMINSTER HS,HSGab14,3rdA-SOUTH COAST,10,3rdB-LA JOLLA UNITED 16 GOLD,2,cross,HS_GIRLS_A_&_B
5-Oct,2:00 PM,WESTMINSTER HS,HSGab15,2ndA-SET,12,2ndB-MISSION JV,4,cross,HS_GIRLS_A_&_B
5-Oct,3:00 PM,WESTMINSTER HS,HSGab16,1stA-CHANNEL ISLANDS UNITED GOLD,14,1stB-TSUNAMI 16,5,cross,HS_GIRLS_A_&_B
