"12U BOYS D1 HOT! RESULTS BRACKETS A A1-MISSION A A2-SAN JOSE EXPRESS A3-908 SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-VANGUARD B2-CCU A B3-RANCHO TSUNAMI B","64 GAMES SUBMIT SCORES LOGIN C C1-SD DONS A C2-NORTH IRVINE C3-PATRIOT A C","24+22+18 TICKETS D D1-STANFORD A D2-SOCAL D3-NEWPORT BEACH A D","6 minute quarters OFFICIAL MERCHANDISE E E1-SAN DIEGO SHORES E2-LA JOLLA UNITED E3-DAVIS E","CUSTOM SUITS F F1-SAN CLEMENTE A F2-SD DONS B F3-SANTA BARBARA F","G G1-LAMORINDA A G2-CDM G3-LA PREMIER G","H H1-680 A H2-TEMPLE CITY H3-ROSE BOWL H","","","","","","","","","","","","","","","","","",""
"","","3","4","13","14","15","16","","","","","","","","","","","","","","","","","",""
"","","6","5","20","19","18","17","","","","","","","","","","","","","","","","","",""
"","","11","12","21","22","23","24","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","WOOLLETT FAR RIGHT","12BD101","A1-MISSION A","9","A3-908","6","A bracket A1,A3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","8:55 AM","WOOLLETT FAR RIGHT","12BD103","D1-STANFORD A","10","D3-NEWPORT BEACH A","5","D bracket D1,D3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","9:50 AM","WOOLLETT FAR RIGHT","12BD105","B1-VANGUARD","11","B3-RANCHO TSUNAMI","5","B bracket B1,B3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","10:45 AM","WOOLLETT FAR RIGHT","12BD107","C1-SD DONS A","17","C3-PATRIOT A","5","C bracket C1,C3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","11:40 AM","WOOLLETT FAR RIGHT","12BD109","A2-SAN JOSE EXPRESS","16","A3-908","8","A bracket A2,A3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","12:35 PM","WOOLLETT FAR RIGHT","12BD111","D2-SOCAL","3","D3-NEWPORT BEACH A","7","D bracket D2,D3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","1:30 PM","WOOLLETT FAR RIGHT","12BD113","B2-CCU A","5","B3-RANCHO TSUNAMI","13","B bracket B2,B3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","2:25 PM","WOOLLETT FAR RIGHT","12BD115","C2-NORTH IRVINE","16","C3-PATRIOT A","8","C bracket C2,C3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","3:20 PM","WOOLLETT FAR RIGHT","12BD117","A1-MISSION A","12","A2-SAN JOSE EXPRESS","7","A bracket A1,A2","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","4:15 PM","WOOLLETT FAR RIGHT","12BD119","D1-STANFORD A","17","D2-SOCAL","4","D bracket D1,D2","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","5:10 PM","WOOLLETT FAR RIGHT","12BD121","B1-VANGUARD","10","B2-CCU A","4","B bracket B1,B2","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","6:05 PM","WOOLLETT FAR RIGHT","12BD123","C1-SD DONS A","11.4","C2-NORTH IRVINE","11.2","C bracket C1,C2","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","ALISO NIGUEL HS","12BD102","E1-SAN DIEGO SHORES","10","E3-DAVIS","8","E bracket E1,E3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","8:55 AM","ALISO NIGUEL HS","12BD104","H1-680 A","6.1","H3-ROSE BOWL","6.3","H bracket H1,H3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","9:50 AM","ALISO NIGUEL HS","12BD106","F1-SAN CLEMENTE A","9","F3-SANTA BARBARA","7","F bracket F1,F3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","10:45 AM","ALISO NIGUEL HS","12BD108","G1-LAMORINDA A","12","G3-LA PREMIER","10","G bracket G1,G3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","11:40 AM","ALISO NIGUEL HS","12BD110","E2-LA JOLLA UNITED","9","E3-DAVIS","5","E bracket E2,E3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","12:35 PM","ALISO NIGUEL HS","12BD112","H2-TEMPLE CITY","5","H3-ROSE BOWL","10","H bracket H2,H3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","1:30 PM","ALISO NIGUEL HS","12BD114","F2-SD DONS B","8","F3-SANTA BARBARA","7","F bracket F2,F3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","2:25 PM","ALISO NIGUEL HS","12BD116","G2-CDM","13","G3-LA PREMIER","8","G bracket G2,G3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","3:20 PM","ALISO NIGUEL HS","12BD118","E1-SAN DIEGO SHORES","8","E2-LA JOLLA UNITED","7","E bracket E1,E2","12U_BOYS_D1","","","","","","","","","","","","","","","",""
