"14U BOYS D1 HOT! RESULTS BRACKETS A A1-PATRIOT A A2-VANGUARD A A3-CIU SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-LA JOLLA UNITED A B2-NEWPORT BEACH A B3-LAMORINDA B","64 GAMES SUBMIT SCORES LOGIN C C1-SD DONS C2-OVAC C3-NORCAL A C","24+22+18 TICKETS D D1-LA PREMIER D2-MISSION A D3-SAN DIEGO SHORES D","7 minute quarters OFFICIAL MERCHANDISE E E1-908 E2-STANFORD A E3-SAN CLEMENTE E","CUSTOM SUITS F F1-COMMERCE F2-SOUTH COAST RED F3-DIABLO ALLIANCE A F","G G1-NORTH IRVINE A G2-SOCAL G3-DAVIS G","H H1-CDM H2-CCU A H3-PEGASUS H","","","","","","","","","","","","","","","","","",""
"","","3","4","13","14","15","16","","","","","","","","","","","","","","","","","",""
"","","6","5","20","19","18","17","","","","","","","","","","","","","","","","","",""
"","","11","12","21","22","23","24","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","BECKMAN HS","14BD101","A1-PATRIOT A","8","A3-CIU","15","A bracket A1,A3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","BECKMAN HS","14BD103","D1-LA PREMIER","11","D3-SAN DIEGO SHORES","2","D bracket D1,D3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","BECKMAN HS","14BD105","B1-LA JOLLA UNITED A","22","B3-LAMORINDA","6","B bracket B1,B3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","BECKMAN HS","14BD107","C1-SD DONS","3","C3-NORCAL A","5","C bracket C1,C3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","BECKMAN HS","14BD109","A2-VANGUARD A","10","A3-CIU","19","A bracket A2,A3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","BECKMAN HS","14BD111","D2-MISSION A","12","D3-SAN DIEGO SHORES","10","D bracket D2,D3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","BECKMAN HS","14BD113","B2-NEWPORT BEACH A","12","B3-LAMORINDA","11","B bracket B2,B3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","BECKMAN HS","14BD115","C2-OVAC","7","C3-NORCAL A","14","C bracket C2,C3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","BECKMAN HS","14BD117","A1-PATRIOT A","10.3","A2-VANGUARD A","10.2","A bracket A1,A2","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","5:00 PM","BECKMAN HS","14BD119","D1-LA PREMIER","7","D2-MISSION A","9","D bracket D1,D2","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","6:00 PM","BECKMAN HS","14BD121","B1-LA JOLLA UNITED A","16","B2-NEWPORT BEACH A","11","B bracket B1,B2","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","7:00 PM","BECKMAN HS","14BD123","C1-SD DONS","11","C2-OVAC","7","C bracket C1,C2","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","CORONA DEL MAR HS","14BD102","E1-908","16","E3-SAN CLEMENTE","7","E bracket E1,E3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","CORONA DEL MAR HS","14BD104","H1-CDM","9","H3-PEGASUS","5","H bracket H1,H3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","CORONA DEL MAR HS","14BD106","F1-COMMERCE","15","F3-DIABLO ALLIANCE A","12","F bracket F1,F3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","CORONA DEL MAR HS","14BD108","G1-NORTH IRVINE A","12","G3-DAVIS","7","G bracket G1,G3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","CORONA DEL MAR HS","14BD110","E2-STANFORD A","16","E3-SAN CLEMENTE","9","E bracket E2,E3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","CORONA DEL MAR HS","14BD112","H2-CCU A","14","H3-PEGASUS","10","H bracket H2,H3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","CORONA DEL MAR HS","14BD114","F2-SOUTH COAST RED","14","F3-DIABLO ALLIANCE A","10","F bracket F2,F3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","CORONA DEL MAR HS","14BD116","G2-SOCAL","6","G3-DAVIS","8","G bracket G2,G3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","CORONA DEL MAR HS","14BD118","E1-908","15","E2-STANFORD A","10","E bracket E1,E2","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","5:00 PM","CORONA DEL MAR HS","14BD120","H1-CDM","8","H2-CCU A","11","H bracket H1,H2","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","6:00 PM","CORONA DEL MAR HS","14BD122","F1-COMMERCE","11","F2-SOUTH COAST RED","8","F bracket F1,F2","14U_BOYS_D1","","","","","","","","","","","","","","","",""
