"14U BOYS D2 HOT! RESULTS BRACKETS A A1-MISSION B A2-TROJAN A3-DEVILS GATE SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-RANCHO TSUNAMI B2-ROSE BOWL B3-STANFORD B B","60 GAMES SUBMIT SCORES LOGIN C C1-SHORE AQUATICS C2-BACK BAY C3-SAN JOSE EXPRESS C","24+24+12 TICKETS D D1-PRIDE D2-NEWPORT BEACH B D3-AMERICAN RIVER A D","7 minute quarters OFFICIAL MERCHANDISE E E1-TEMPLE CITY E2-LOS ALAMITOS E3-SAN FRANCISCO E","CUSTOM SUITS F F1-PATRIOT B F2-FOOTHILL CLUB F3-CLOVIS RED F","G G1-LA JOLLA UNITED B G2-680 A G3-NORTHWEST G","H H1-SANTA BARBARA H2-CCU B H3-KINGSBURG H","","","","","","","","","","","","","","","","","",""
"","","3","4","5","6","7","8","","","","","","","","","","","","","","","","","",""
"","","14","13","12","11","10","9","","","","","","","","","","","","","","","","","",""
"","","19","20","21","22","23","24","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","LA SERNA HS","14BD201","A1-MISSION B","7","A3-DEVILS GATE","9","A bracket A1,A3","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","LA SERNA HS","14BD203","D1-PRIDE","16","D3-AMERICAN RIVER A","4","D bracket D1,D3","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","LA SERNA HS","14BD205","E1-TEMPLE CITY","16","E3-SAN FRANCISCO","3","E bracket E1,E3","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","LA SERNA HS","14BD207","H1-SANTA BARBARA","16","H3-KINGSBURG","14","H bracket H1,H3","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","LA SERNA HS","14BD209","A2-TROJAN","4","A3-DEVILS GATE","16","A bracket A2,A3","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","LA SERNA HS","14BD211","D2-NEWPORT BEACH B","10","D3-AMERICAN RIVER A","5","D bracket D2,D3","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","LA SERNA HS","14BD213","E2-LOS ALAMITOS","9","E3-SAN FRANCISCO","3","E bracket E2,E3","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","LA SERNA HS","14BD215","H2-CCU B","10","H3-KINGSBURG","8","H bracket H2,H3","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","LA SERNA HS","14BD217","A1-MISSION B","14","A2-TROJAN","5","A bracket A1,A2","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","5:00 PM","LA SERNA HS","14BD219","D1-PRIDE","10","D2-NEWPORT BEACH B","4","D bracket D1,D2","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","6:00 PM","LA SERNA HS","14BD221","E1-TEMPLE CITY","7","E2-LOS ALAMITOS","6","E bracket E1,E2","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","7:00 PM","LA SERNA HS","14BD223","H1-SANTA BARBARA","15.2","H2-CCU B","15.3","H bracket H1,H2","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","SONORA HS","14BD202","B1-RANCHO TSUNAMI","20","B3-STANFORD B","6","B bracket B1,B3","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","SONORA HS","14BD204","C1-SHORE AQUATICS","13","C3-SAN JOSE EXPRESS","6","C bracket C1,C3","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","SONORA HS","14BD206","F1-PATRIOT B","9","F3-CLOVIS RED","10","F bracket F1,F3","14U_BOYS_D2","","","","","","","","","","","","","","","",""
