"16U BOYS D1 HOT! RESULTS BRACKETS A A1-BERKELEY A2-PATRIOT A A3-680 A SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-MISSION B2-LAMORINDA B3-NEWPORT BEACH A B","64 GAMES SUBMIT SCORES LOGIN C C1-STANFORD A C2-LA PREMIER C3-AMERICAN RIVER A C","24+22+18 TICKETS D D1-LA JOLLA UNITED D2-CCU A D3-SAN DIEGO SHORES A D","7 minute quarters OFFICIAL MERCHANDISE E E1-CLOVIS E2-IMPERIAL E3-SANTA BARBARA E","CUSTOM SUITS F F1-VANGUARD A F2-SD DONS F3-CARLSBAD F","G G1-SJ FOUNDATION G2-THUNDER G3-TROJAN CARDINAL G","H H1-CIU H2-GREENWICH H3-SAND CANYON A H","","","","","","","","","","","","","","","","","",""
"","","3","4","13","14","15","16","","","","","","","","","","","","","","","","","",""
"","","6","5","20","19","18","17","","","","","","","","","","","","","","","","","",""
"","","11","12","21","22","23","24","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","JSERRA CHS","16BD101","B1-MISSION","9","B3-NEWPORT BEACH A","8","B bracket B1,B3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","JSERRA CHS","16BD103","C1-STANFORD A","12","C3-AMERICAN RIVER A","6","C bracket C1,C3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","JSERRA CHS","16BD105","D1-LA JOLLA UNITED","7","D3-SAN DIEGO SHORES A","10","D bracket D1,D3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","JSERRA CHS","16BD107","A1-BERKELEY","14","A3-680 A","7","A bracket A1,A3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","JSERRA CHS","16BD109","B2-LAMORINDA","9","B3-NEWPORT BEACH A","8","B bracket B2,B3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","JSERRA CHS","16BD111","C2-LA PREMIER","11","C3-AMERICAN RIVER A","4","C bracket C2,C3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","JSERRA CHS","16BD113","D2-CCU A","11","D3-SAN DIEGO SHORES A","13","D bracket D2,D3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","JSERRA CHS","16BD115","A2-PATRIOT A","13","A3-680 A","7","A bracket A2,A3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","JSERRA CHS","16BD117","B1-MISSION","20","B2-LAMORINDA","6","B bracket B1,B2","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","5:00 PM","JSERRA CHS","16BD119","C1-STANFORD A","13","C2-LA PREMIER","10","C bracket C1,C2","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","6:00 PM","JSERRA CHS","16BD121","D1-LA JOLLA UNITED","13","D2-CCU A","6","D bracket D1,D2","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","7:00 PM","JSERRA CHS","16BD123","A1-BERKELEY","11.5","A2-PATRIOT A","11.4","A bracket A1,A2","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","WOOLLETT NEAR RIGHT","16BD102","H1-CIU","14","H3-SAND CANYON A","8","H bracket H1,H3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","WOOLLETT NEAR RIGHT","16BD104","E1-CLOVIS","4","E3-SANTA BARBARA","10","E bracket E1,E3","16U_BOYS_D1","4","","1","G1","8,12","","7,6","-3","2nd H2H","","","","","","",""
"26-Jun","10:00 AM","WOOLLETT NEAR RIGHT","16BD106","G1-SJ FOUNDATION","8","G3-TROJAN CARDINAL","12","G bracket G1,G3","16U_BOYS_D1","1","4","","G2","","10,8","6,7","+1","3rd H2H","","","","","","",""
"26-Jun","11:00 AM","WOOLLETT NEAR RIGHT","16BD108","F1-VANGUARD A","7","F3-CARLSBAD","5","F bracket F1,F3","16U_BOYS_D1","","1","4","G3","12,8","8,10","","+2","1st","","","","","","",""
"26-Jun","12:00 PM","WOOLLETT NEAR RIGHT","16BD110","H2-GREENWICH","12.3","H3-SAND CANYON A","12.2","H bracket H2,H3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","WOOLLETT NEAR RIGHT","16BD112","E2-IMPERIAL","9","E3-SANTA BARBARA","4","E bracket E2,E3","16U_BOYS_D1","1","","4","F1","7,5","","9,13","-2","2nd H2H","","","","","","",""
"26-Jun","2:00 PM","WOOLLETT NEAR RIGHT","16BD114","G2-THUNDER","10","G3-TROJAN CARDINAL","8","G bracket G2,G3","16U_BOYS_D1","4","1","","F2","","4,5","13,9","+3","1st","","","","","","",""
"26-Jun","3:00 PM","WOOLLETT NEAR RIGHT","16BD116","F2-SD DONS","4","F3-CARLSBAD","5","F bracket F2,F3","16U_BOYS_D1","","4","1","F3","5,7","5,4","","-1","3rd H2H","","","","","","",""
"26-Jun","4:00 PM","WOOLLETT NEAR RIGHT","16BD118","H1-CIU","9","H2-GREENWICH","8","H bracket H1,H2","16U_BOYS_D1","","","","","","","","","","","","","","","",""
