"16U BOYS D2 HOT! RESULTS BRACKETS A A1-CT PREMIER A2-DAVIS A A3-SAN CLEMENTE SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-NORTHWEST B2-NEWPORT BEACH B B3-CAL REPUBLIC B","60 GAMES SUBMIT SCORES LOGIN C C1-AETOS C2-STANFORD B C3-CLOVIS RED C","24+24+12 TICKETS D D1-PEGASUS D2-DIABLO ALLIANCE A D3-CVU D","7 minute quarters OFFICIAL MERCHANDISE E E1-CCU B E2-SOUTH COAST RED E3-CENTRAL COAST E","CUSTOM SUITS F F1-SHAQ F2-ROSE BOWL F3-TROJAN GOLD F","G G1-NORCAL G2-COMMERCE G3-FOOTHILL CLUB A G","H H1-OVAC A H2-SAN JOSE EXPRESS A H3-SAN MATEO H","","","","","","","","","","","","","","","","","",""
"","","3","4","5","6","7","8","","","","","","","","","","","","","","","","","",""
"","","14","13","12","11","10","9","","","","","","","","","","","","","","","","","",""
"","","19","20","21","22","23","24","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","CAPISTRANO VALLEY HS","16BD201","A1-CT PREMIER","9","A3-SAN CLEMENTE","15","A bracket A1,A3","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","CAPISTRANO VALLEY HS","16BD203","D1-PEGASUS","14","D3-CVU","6","D bracket D1,D3","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","CAPISTRANO VALLEY HS","16BD205","E1-CCU B","6","E3-CENTRAL COAST","7","E bracket E1,E3","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","CAPISTRANO VALLEY HS","16BD207","H1-OVAC A","17","H3-SAN MATEO","2","H bracket H1,H3","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","CAPISTRANO VALLEY HS","16BD209","A2-DAVIS A","9","A3-SAN CLEMENTE","16","A bracket A2,A3","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","CAPISTRANO VALLEY HS","16BD211","D2-DIABLO ALLIANCE A","17","D3-CVU","10","D bracket D2,D3","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","CAPISTRANO VALLEY HS","16BD213","E2-SOUTH COAST RED","8","E3-CENTRAL COAST","10","E bracket E2,E3","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","CAPISTRANO VALLEY HS","16BD215","H2-SAN JOSE EXPRESS A","8","H3-SAN MATEO","10","H bracket H2,H3","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","CAPISTRANO VALLEY HS","16BD217","A1-CT PREMIER","19","A2-DAVIS A","17","A bracket A1,A2","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","5:00 PM","CAPISTRANO VALLEY HS","16BD219","D1-PEGASUS","4","D2-DIABLO ALLIANCE A","8","D bracket D1,D2","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","6:00 PM","CAPISTRANO VALLEY HS","16BD221","E1-CCU B","5","E2-SOUTH COAST RED","15","E bracket E1,E2","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","7:00 PM","CAPISTRANO VALLEY HS","16BD223","H1-OVAC A","14","H2-SAN JOSE EXPRESS A","9","H bracket H1,H2","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","CHAPMAN UNIVERSITY","16BD202","B1-NORTHWEST","9","B3-CAL REPUBLIC","4","B bracket B1,B3","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","CHAPMAN UNIVERSITY","16BD204","C1-AETOS","11","C3-CLOVIS RED","8","C bracket C1,C3","16U_BOYS_D2","","","","","","","","","","","","","","","",""
