"16U BOYS D3 HOT! RESULTS A","30 TEAMS GOOGLE SCHEDULES LIVE STREAMS B","75 GAMES SUBMIT SCORES LOGIN C","30+30+15 TICKETS D","7 minute quarters OFFICIAL MERCHANDISE E","CUSTOM SUITS F","G","H","","","","","","","","","","","","","","","","","",""
"","","3","4","5","6","7","8","","","","","","","","","","","","","","","","","",""
"","","14","13","12","11","10","9","","","","","","","","","","","","","","","","","",""
"","","19","20","21","22","23","24","","","","","","","","","","","","","","","","","",""
"","","30","29","28","27","26","25","","","","","","","","","","","","","","","","","",""
"","","C","D","E","","G","","","","","","","","","","","","","","","","","","",""
"","","C1-VANGUARD B","D1-CARMEL","E1-BACK BAY","","G1-AMERICAN RIVER B","","","","","","","","","","","","","","","","","","",""
"","","C2-DEVILS GATE","D2-SUPREME","E2-SOVA","","G2-TEMPLE CITY A","","","","","","","","","","","","","","","","","","",""
"","","C3-OLYMPUS","D3-680 B","E3-ROUTE 66","","G3-RANCHO TSUNAMI","","","","","","","","","","","","","","","","","","",""
"","","C4-PATRIOT RED","D4-THUNDER B","E4-DAVIS B","","G4-OVAC B","","","","","","","","","","","","","","","","","","",""
"","","M (17th-24th)","N (25th-30th)","P (25th-30th)","","","","","","","","","","","","","","","","","","","","",""
"","","M1(3rdA)(17)-SAN JOSE EXPRESS B","N1(4thH)(25)-FOOTHILL CLUB B","P1(4thG)(26)-OVAC B","","","","","","","","","","","","","","","","","","","","",""
"","","M2(3rdB)(18)-CMAC","N2(4thE)(28)-SOVA","P2(4thF)(27)-SAN FRANCISCO","","","","","","","","","","","","","","","","","","","","",""
"","","M3(3rdC)(19)-DEVILS GATE","N3(4thD)(29)-680 B","P3(4thC)(30)-PATRIOT RED","","","","","","","","","","","","","","","","","","","","",""
"","","M4(3rdD)(20)-CARMEL","","","","","","","","","","","","","","","","","","","","","","",""
"","","M5(3rdE)(21)-DAVIS B","","","","","","","","","","","","","","","","","","","","","","",""
"","","M6(3rdF)(22)-BIG VALLEY","","","","","","","","","","","","","","","","","","","","","","",""
"","","M7(3rdG)(23)-RANCHO TSUNAMI","","","","","","","","","","","","","","","","","","","","","","",""
"","","M8(3rdH)(24)-TEMPLE CITY B","","","","","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME ID","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","BUENA PARK HS","16BD301","D1-CARMEL","9","D4-THUNDER B","11","W/L D1,D4","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","BUENA PARK HS","16BD304","D2-SUPREME","13","D3-680 B","6","W/L D2,D3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","BUENA PARK HS","16BD307","A2-MID PEN","9","A3-SAN JOSE EXPRESS B","8","A bracket A2,A3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","BUENA PARK HS","16BD310","E1-BACK BAY","11","E4-DAVIS B","7","W/L E1/E4","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","BUENA PARK HS","16BD313","E2-SOVA","3","E3-ROUTE 66","14","W/L E2/E3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","BUENA PARK HS","16BD316","A1-ASPHALT GREEN","17","A3-SAN JOSE EXPRESS B","3","A bracket A1,A3","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","BUENA PARK HS","16BD319","W#D1/D4-THUNDER B","7","W#D2/D3-SUPREME","11","1st/2ndD","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","BUENA PARK HS","16BD322","L#E1/E4-DAVIS B","13","L#E2/E3-SOVA","5","3rd/4thE","16U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","BUENA PARK HS","16BD325","A1-ASPHALT GREEN","18","A2-MID PEN","5","A bracket A1,A2","16U_BOYS_D3","","","","","","","","","","","","","","","",""
