"18U BOYS D1 HOT! RESULTS BRACKETS A A1-STANFORD A A2-CIU A3-SD DONS SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-SAN DIEGO SHORES B2-ATHERTON B3-SHAQ B","64 GAMES SUBMIT SCORES LOGIN C C1-LAMORINDA C2-TROJAN CARDINAL A C3-AETOS C","24+22+18 TICKETS D D1-LA JOLLA UNITED A D2-CCU A D3-NEWPORT BEACH D","7 minute quarters OFFICIAL MERCHANDISE E E1-LA PREMIER E2-SAN JOSE EXPRESS E3-SAN FRANCISCO E","CUSTOM SUITS F F1-IMPERIAL F2-DIABLO ALLIANCE F3-SOUTH COAST F","G G1-CLOVIS G2-NORTH IRVINE G3-SAND CANYON G","H H1-NORCAL H2-GREENWICH H3-AMERICAN RIVER H","","","","","","","","","","","","","","","","","",""
"","","3","4","13","14","15","16","","","","","","","","","","","","","","","","","",""
"","","6","5","20","19","18","17","","","","","","","","","","","","","","","","","",""
"","","11","12","21","22","23","24","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","NEWPORT HARBOR HS","18BD101","B1-SAN DIEGO SHORES","15","B3-SHAQ","12","B bracket B1,B3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","NEWPORT HARBOR HS","18BD103","C1-LAMORINDA","14","C3-AETOS","12","C bracket C1,C3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","NEWPORT HARBOR HS","18BD105","D1-LA JOLLA UNITED A","7","D3-NEWPORT BEACH","16","D bracket D1,D3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","NEWPORT HARBOR HS","18BD107","A1-STANFORD A","10.4","A3-SD DONS","10.1","A bracket A1,A3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","NEWPORT HARBOR HS","18BD109","B2-ATHERTON","13","B3-SHAQ","10","B bracket B2,B3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","NEWPORT HARBOR HS","18BD111","C2-TROJAN CARDINAL A","9","C3-AETOS","14","C bracket C2,C3","18U_BOYS_D1","2","4","C1","6","1st","","","","","","","","","","",""
"26-Jun","2:00 PM","NEWPORT HARBOR HS","18BD113","D2-CCU A","10","D3-NEWPORT BEACH","9","D bracket D2,D3","18U_BOYS_D1","3","1","C2","4","3rd","","","","","","","","","","",""
"26-Jun","3:00 PM","NEWPORT HARBOR HS","18BD115","A2-CIU","11","A3-SD DONS","17","A bracket A2,A3","18U_BOYS_D1","4","1","C3","5","2nd","","","","","","","","","","",""
"26-Jun","4:00 PM","NEWPORT HARBOR HS","18BD117","B1-SAN DIEGO SHORES","8","B2-ATHERTON","11","B bracket B1,B2","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","5:00 PM","NEWPORT HARBOR HS","18BD119","C1-LAMORINDA","9.3","C2-TROJAN CARDINAL A","9.4","C bracket C1,C2","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","6:00 PM","NEWPORT HARBOR HS","18BD121","D1-LA JOLLA UNITED A","13","D2-CCU A","17","D bracket D1,D2","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","7:00 PM","NEWPORT HARBOR HS","18BD123","A1-STANFORD A","13","A2-CIU","7","A bracket A1,A2","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","BAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","WOOLLETT LEFT","18BD102","G1-CLOVIS","10.2","G3-SAND CANYON","10.4","G bracket G1,G3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","WOOLLETT LEFT","18BD104","E1-LA PREMIER","13","E3-SAN FRANCISCO","2","E bracket E1,E3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","WOOLLETT LEFT","18BD106","H1-NORCAL","11","H3-AMERICAN RIVER","3","H bracket H1,H3","18U_BOYS_D1","4","2","G1","6","1st","","","","","","","","","","",""
"26-Jun","11:00 AM","WOOLLETT LEFT","18BD108","F1-IMPERIAL","8","F3-SOUTH COAST","7","F bracket F1,F3","18U_BOYS_D1","1","4","G2","5","2nd","","","","","","","","","","",""
"26-Jun","12:00 PM","WOOLLETT LEFT","18BD110","G2-NORTH IRVINE","15","G3-SAND CANYON","10","G bracket G2,G3","18U_BOYS_D1","1","3","G3","4","3rd","","","","","","","","","","",""
"26-Jun","1:00 PM","WOOLLETT LEFT","18BD112","E2-SAN JOSE EXPRESS","7","E3-SAN FRANCISCO","14","E bracket E2,E3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","WOOLLETT LEFT","18BD114","H2-GREENWICH","12","H3-AMERICAN RIVER","6","H bracket H2,H3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","WOOLLETT LEFT","18BD116","F2-DIABLO ALLIANCE","15","F3-SOUTH COAST","12","F bracket F2,F3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","WOOLLETT LEFT","18BD118","G1-CLOVIS","14","G2-NORTH IRVINE","13","G bracket G1,G2","18U_BOYS_D1","","","","","","","","","","","","","","","",""
