"18U BOYS D2 HOT! RESULTS BRACKETS A A1-SANTA CRUZ A2-THUNDER A3-ORWP SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-CT PREMIER B2-MISSION B3-CENTRAL COAST B","60 GAMES SUBMIT SCORES LOGIN C C1-FOOTHILL CLUB A C2-CLOVIS RED C3-BIG VALLEY C","24+24+12 TICKETS D D1-ALAMEDA D2-SET D3-ROSE BOWL D","7 minute quarters OFFICIAL MERCHANDISE E E1-OLYMPUS E2-FARALLON E3-TSM E","CUSTOM SUITS F F1-SJ FOUNDATION F2-RAIN CITY F3-VANGUARD A F","G G1-PEGASUS G2-CARLSBAD G3-COMMERCE G","H H1-SUPREME H2-CVU H3-LONGHORN ORANGE H","","","","","","","","","","","","","","","","","",""
"","","3","4","5","6","7","8","","","","","","","","","","","","","","","","","",""
"","","14","13","12","11","10","9","","","","","","","","","","","","","","","","","",""
"","","19","20","21","22","23","24","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","WESTMINSTER HS","18BD201","A1-SANTA CRUZ","12","A3-ORWP","11","A bracket A1,A3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","WESTMINSTER HS","18BD203","D1-ALAMEDA","13","D3-ROSE BOWL","9","D bracket D1,D3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","WESTMINSTER HS","18BD205","E1-OLYMPUS","12","E3-TSM","7","E bracket E1,E3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","WESTMINSTER HS","18BD207","H1-SUPREME","6","H3-LONGHORN ORANGE","8","H bracket H1,H3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","WESTMINSTER HS","18BD209","A2-THUNDER","11","A3-ORWP","12","A bracket A2,A3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","WESTMINSTER HS","18BD211","D2-SET","12","D3-ROSE BOWL","7","D bracket D2,D3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","WESTMINSTER HS","18BD213","E2-FARALLON","11","E3-TSM","14","E bracket E2,E3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","WESTMINSTER HS","18BD215","H2-CVU","7","H3-LONGHORN ORANGE","13","H bracket H2,H3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","WESTMINSTER HS","18BD217","A1-SANTA CRUZ","13","A2-THUNDER","5","A bracket A1,A2","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","5:00 PM","WESTMINSTER HS","18BD219","D1-ALAMEDA","10","D2-SET","18","D bracket D1,D2","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","6:00 PM","WESTMINSTER HS","18BD221","E1-OLYMPUS","17","E2-FARALLON","5","E bracket E1,E2","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","7:00 PM","WESTMINSTER HS","18BD223","H1-SUPREME","9","H2-CVU","7","H bracket H1,H2","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","MARINA HS","18BD202","B1-CT PREMIER","17","B3-CENTRAL COAST","8","B bracket B1,B3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","MARINA HS","18BD204","C1-FOOTHILL CLUB A","17","C3-BIG VALLEY","9","C bracket C1,C3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","MARINA HS","18BD206","F1-SJ FOUNDATION","8","F3-VANGUARD A","10","F bracket F1,F3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","MARINA HS","18BD208","G1-PEGASUS","12","G3-COMMERCE","13","G bracket G1,G3","18U_BOYS_D2","","","","","","","","","","","","","","","",""
