DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
19-Jun,8:00 AM,YORBA LINDA HS,18GD201,A1-SKIP,14,A3-NORTH IRVINE,8,"A bracket A1,A3",18U_GIRLS_D2
19-Jun,8:00 AM,LA SERNA HS,18GD210,B1-RANCHO TSUNAMI,11,B3-LA JOLLA UNITED B,4,"B bracket B1,B3",18U_GIRLS_D2
19-Jun,9:00 AM,YORBA LINDA HS,18GD202,D1-FOOTHILL CLUB,10,D3-SACRAMENTO,5,"D bracket D1,D3",18U_GIRLS_D2
19-Jun,9:00 AM,LA SERNA HS,18GD211,C1-DAVIS,16,C3-LONGHORN,6,"C bracket C1,C3",18U_GIRLS_D2
19-Jun,10:00 AM,YORBA LINDA HS,18GD203,E1-SHAQ,17,E3-HYDRA,4,"E bracket E1,E3",18U_GIRLS_D2
19-Jun,10:00 AM,LA SERNA HS,18GD212,F1-SOUTH COAST,15,F3-SAND CANYON,1,"F bracket F1,F3",18U_GIRLS_D2
19-Jun,11:00 AM,YORBA LINDA HS,18GD204,A2-COLORADO UNITED,18,A3-NORTH IRVINE,8,"A bracket A2,A3",18U_GIRLS_D2
19-Jun,11:00 AM,LA SERNA HS,18GD213,B2-AMERICAN RIVER,4,B3-LA JOLLA UNITED B,9,"B bracket B2,B3",18U_GIRLS_D2
19-Jun,12:00 PM,YORBA LINDA HS,18GD205,D2-NORCAL,13,D3-SACRAMENTO,10,"D bracket D2,D3",18U_GIRLS_D2
19-Jun,12:00 PM,LA SERNA HS,18GD214,C2-PATRIOT,10,C3-LONGHORN,6,"C bracket C2,C3",18U_GIRLS_D2
19-Jun,1:00 PM,YORBA LINDA HS,18GD206,E2-LB VIKING B,17,E3-HYDRA,3,"E bracket E2,E3",18U_GIRLS_D2
19-Jun,1:00 PM,LA SERNA HS,18GD215,F2-BIG VALLEY,26,F3-SAND CANYON,3,"F bracket F2,F3",18U_GIRLS_D2
19-Jun,2:00 PM,YORBA LINDA HS,18GD207,A1-SKIP,9.3,A2-COLORADO UNITED,9.1,"A bracket A1,A2",18U_GIRLS_D2
19-Jun,2:00 PM,LA SERNA HS,18GD216,B1-RANCHO TSUNAMI,13,B2-AMERICAN RIVER,4,"B bracket B1,B2",18U_GIRLS_D2
19-Jun,3:00 PM,YORBA LINDA HS,18GD208,D1-FOOTHILL CLUB,12,D2-NORCAL,8,"D bracket D1,D2",18U_GIRLS_D2
19-Jun,3:00 PM,LA SERNA HS,18GD217,C1-DAVIS,13,C2-PATRIOT,7,"C bracket C1,C2",18U_GIRLS_D2
19-Jun,4:00 PM,YORBA LINDA HS,18GD209,E1-SHAQ,9.4,E2-LB VIKING B,9.5,"E bracket E1,E2",18U_GIRLS_D2
19-Jun,4:00 PM,LA SERNA HS,18GD218,F1-SOUTH COAST,14,F2-BIG VALLEY,10,"F bracket F1,F2",18U_GIRLS_D2
20-Jun,8:00 AM,YORBA LINDA HS,18GD219,G1(1stA)-SKIP,9,G3(1stE)-LB VIKING B,8,"G bracket G1,G3",18U_GIRLS_D2
20-Jun,8:00 AM,LA SERNA HS,18GD220,J1(2ndA)-COLORADO UNITED,10,J3(2ndE)-SHAQ,9,"J bracket J1,J3",18U_GIRLS_D2
20-Jun,9:00 AM,YORBA LINDA HS,18GD221,H1(1stB)-RANCHO TSUNAMI,17,H3(1stF)-SOUTH COAST,6,"H bracket H1,H3",18U_GIRLS_D2
20-Jun,9:00 AM,LA SERNA HS,18GD222,K1(2ndB)-LA JOLLA UNITED B,11,K3(2ndF)-BIG VALLEY,13,"K bracket K1,K3",18U_GIRLS_D2
20-Jun,10:00 AM,YORBA LINDA HS,18GD223,L1(3rdA)-NORTH IRVINE,6,L3(3rdE)-HYDRA,13,"L bracket L1,L3",18U_GIRLS_D2
20-Jun,10:00 AM,LA SERNA HS,18GD224,M1(3rdB)-AMERICAN RIVER,19,M3(3rdF)-SAND CANYON,2,"M bracket M1,M3",18U_GIRLS_D2
20-Jun,11:00 AM,YORBA LINDA HS,18GD225,G2(1stD)-FOOTHILL CLUB,12,G3(1stE)-LB VIKING B,8,"G bracket G2,G3",18U_GIRLS_D2
20-Jun,11:00 AM,LA SERNA HS,18GD226,J2(2ndD)-NORCAL,11,J3(2ndE)-SHAQ,12,"J bracket J2,J3",18U_GIRLS_D2
20-Jun,12:00 PM,YORBA LINDA HS,18GD227,H2(1stC)-DAVIS,15,H3(1stF)-SOUTH COAST,4,"H bracket H2,H3",18U_GIRLS_D2
20-Jun,12:00 PM,LA SERNA HS,18GD228,K2(2ndC)-PATRIOT,9,K3(2ndF)-BIG VALLEY,11,"K bracket K2,K3",18U_GIRLS_D2
20-Jun,1:00 PM,YORBA LINDA HS,18GD229,L2(3rdD)-SACRAMENTO,14,L3(3rdE)-HYDRA,7,"L bracket L2,L3",18U_GIRLS_D2
