"DATE","LOCATION","TIME","WHITE TEAM","S","DARK TEAM","S","COMMENTS","","2026 USCC 10 COED","WINS","LOSES",""
"6/20/2026","GRANITE HILLS HS #2","8:00 AM","COMMMERCE BLACK","15","SD SHORES","8","","","COMMMERCE BLACK","5","0",""
"6/20/2026","GRANITE HILLS HS #2","8:45 AM"," ECA","11","CHAWP","18","","","CV PREMIER","4","2",""
"6/20/2026","GRANITE HILLS HS #2","9:30 AM","CV PREMIER","13","ROSE BOWL","8","","","ROSE BOWL","4","2",""
"6/20/2026","GRANITE HILLS HS #2","10:15 AM","COMMMERCE BLACK","18","SBWPC ","11","","","SBWPC ","4","2",""
"6/20/2026","GRANITE HILLS HS #2","11:00 AM","CHAWP","13","SD SHORES","7","","","CHAWP","2","4",""
"6/20/2026","GRANITE HILLS HS #2","11:45 AM"," ECA","2","ROSE BOWL","14","","","SD SHORES","1","5",""
"6/20/2026","GRANITE HILLS HS #2","12:30 PM","CV PREMIER","20","SBWPC ","21","",""," ECA","0","6",""
"6/20/2026","GRANITE HILLS HS #2","1:15 PM"," ECA","3","COMMMERCE BLACK","17","","","","","",""
"6/20/2026","GRANITE HILLS HS #2","2:00 PM","CV PREMIER","15","SD SHORES","7","","","","","",""
"6/20/2026","GRANITE HILLS HS #2","2:45 PM","CHAWP","10","SBWPC ","14","","","","","",""
"6/20/2026","GRANITE HILLS HS #2","3:30 PM","ROSE BOWL","12","SD SHORES","6","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","",""
"6/21/2026","GRANITE HILLS HS #2","8:00 AM","ROSE BOWL","13","SBWPC ","8","","","","","",""
"6/21/2026","GRANITE HILLS HS #2","8:45 AM","CHAWP","3","CV PREMIER","11","","","","","",""
"6/21/2026","GRANITE HILLS HS #2","9:30 AM","COMMMERCE BLACK","12","ROSE BOWL","7","","","","","",""
"6/21/2026","GRANITE HILLS HS #2","10:15 AM"," ECA","4","SBWPC ","14","","","","","",""
"6/21/2026","GRANITE HILLS HS #2","11:00 AM","CHAWP","2","COMMMERCE BLACK","17","","","","","",""
"6/21/2026","GRANITE HILLS HS #2","11:45 AM"," ECA","","CV PREMIER","","","","","","",""
"6/21/2026","GRANITE HILLS HS #2","12:30 PM","SD SHORES","12","SBWPC ","13","","","","","",""
"6/21/2026","GRANITE HILLS HS #2","1:15 PM","CHAWP","1","ROSE BOWL","5","","","","","",""
"6/21/2026","GRANITE HILLS HS #2","2:00 PM","COMMMERCE BLACK","10","CV PREMIER","8","","","","","",""
"6/21/2026","GRANITE HILLS HS #2","2:45 PM"," ECA","","SD SHORES","","","","","","",""
