"DATE","LOCATION","TIME","WHITE TEAM","S","DARK TEAM","S","COMMENTS","","2026 USCC 12 GIRLS","","",""
"6/26/2026","TEMESCAL CANYON HS","12:30 PM","B1 -  LAMORINDA","13","B4 -  ROSE BOWL","2","","","A","B","C",""
"6/26/2026","TEMESCAL CANYON HS","1:20 PM","B2 - TSUNAMI","9","B3 - DIABLO","4","","","A1 - NEWPORT","B1 -  LAMORINDA","C1 - DEL MAR",""
"6/26/2026","TEMESCAL CANYON HS","2:10 PM","A2 - STANFORD","4","A3 - SD SHORES","0","","","A2 - STANFORD","B2 - TSUNAMI","C2 - COMMERCE",""
"6/26/2026","TEMESCAL CANYON HS","3:00 PM","A1 - NEWPORT","13","A4 - 908","3","","","A3 - SD SHORES","B3 - DIABLO","C3 - CHAWP",""
"6/26/2026","TEMESCAL CANYON HS","3:50 PM","B1 -  LAMORINDA","13","B3 - DIABLO","0","","","A4 - 908","B4 -  ROSE BOWL","",""
"6/26/2026","TEMESCAL CANYON HS","4:40 PM","B2 - TSUNAMI","7","B4 -  ROSE BOWL","11","","","","","",""
"6/26/2026","TEMESCAL CANYON HS","5:30 PM","C1 - DEL MAR","11","C3 - CHAWP","3","","","","","",""
"6/26/2026","TEMESCAL CANYON HS","6:20 PM","A1 - NEWPORT","14","A3 - SD SHORES","2","","","D","E ","F",""
"6/26/2026","TEMESCAL CANYON HS","7:10 PM","A2 - STANFORD","7","A4 - 908","2","","","D1 -1st A - NEWPORT","E1 -1st B - LAMORINDA","F1 - 1st C -  DEL MAR",""
"6/26/2026","TEMESCAL CANYON HS","8:00 PM","C2 - COMMERCE","14","C3 - CHAWP","7","","","D2 - 2nd B - ROSE BOWL","E2 - 2nd C - COMMERCE","F2 -2nd A - STANFORD",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","",""
"6/27/2026","TEMESCAL CANYON HS","8:00 AM","A3 - SD SHORES","2","A4 - 908","8","","","G 9-13 RR","","",""
"6/27/2026","TEMESCAL CANYON HS","8:50 AM","A1 - NEWPORT","11","A2 - STANFORD","6","","","G1- 3rd A - 908","","",""
"6/27/2026","TEMESCAL CANYON HS","9:40 AM","C1 - DEL MAR","","C2 - COMMERCE","7","","","G2 - 3rd B - TSUNAMI","","",""
"6/27/2026","TEMESCAL CANYON HS","10:30 AM","B1 -  LAMORINDA","16","B2 - TSUNAMI","2","","","G3 - 3rd C - CHAWP","","",""
"6/27/2026","TEMESCAL CANYON HS","11:20 AM","B3 - DIABLO","3","B4 -  ROSE BOWL","9","","","G4 - 4th A - SD SHORES","","",""
"6/27/2026","TEMESCAL CANYON HS","12:10 PM","F1 - 1st C -  DEL MAR","8","F2 -2nd A - STANFORD","6","","","G5 - 4th B - DIABLO","","",""
"6/27/2026","TEMESCAL CANYON HS","1:00 PM","G3 - 3rd C - CHAWP","5","G4 - 4th A - SD SHORES","10","","","","","",""
"6/27/2026","TEMESCAL CANYON HS","1:50 PM","D1 -1st A - NEWPORT","15","D2 - 2nd B - ROSE BOWL","4","","","","","",""
"6/27/2026","TEMESCAL CANYON HS","2:40 PM","G1- 3rd A - 908","9","G5 - 4th B - DIABLO","1","","","H 1-3 RR","J  4-6 RR","",""
"6/27/2026","TEMESCAL CANYON HS","3:30 PM","E1 -1st B - LAMORINDA","14","E2 - 2nd C - COMMERCE","7","","","H1 - 1st D - NEWPORT","J1 - 2nd D -ROSE BOWL","",""
"6/20/2026","TEMESCAL CANYON HS","4:20 PM","G2 - 3rd B - TSUNAMI","7","G3 - 3rd C - CHAWP","8","","","H2 - 1st E -  LAMORINDA","J2 - 2nd E -  COMMERCE","",""
"","","","","","","","","","H3 - 1st F -  DEL MAR","J3 - 2nd F - STANFORD","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","",""
"6/28/2026","TEMESCAL CANYON HS","8:00 AM","G1- 3rd A - 908","5","G4 - 4th A - SD SHORES","4","","","","","",""
"6/28/2026","TEMESCAL CANYON HS","8:50 AM","G3 - 3rd C - CHAWP","","G5 - 4th B - DIABLO","","SHOOT OUT","","","","",""
"6/28/2026","TEMESCAL CANYON HS","9:40 AM","J1 - 2nd D -ROSE BOWL","6","J3 - 2nd F - STANFORD","13","4-6 RR","","","","",""
"6/28/2026","TEMESCAL CANYON HS","10:30 AM","H1 - 1st D - NEWPORT","13","H3 - 1st F -  DEL MAR","7","1-3 RR","","","","",""
"6/28/2026","TEMESCAL CANYON HS","11:20 AM","G1- 3rd A - 908","","G2 - 3rd B - TSUNAMI","","","","","","",""
"6/28/2026","TEMESCAL CANYON HS","12:10 PM","G4 - 4th A - SD SHORES","","G5 - 4th B - DIABLO","0","","","","","",""
"6/28/2026","TEMESCAL CANYON HS","1:00 PM","J2 - 2nd E -  COMMERCE","7","J3 - 2nd F - STANFORD","","4-6 RR","","","","",""
"6/28/2026","TEMESCAL CANYON HS","1:50 PM","H2 - 1st E -  LAMORINDA","","H3 - 1st F -  DEL MAR","","1-3 RR","","","","",""
"6/28/2026","TEMESCAL CANYON HS","2:40 PM","G2 - 3rd B - TSUNAMI","","G4 - 4th A - SD SHORES","","","","","","",""
"6/28/2026","TEMESCAL CANYON HS","3:30 PM","J1 - 2nd D -ROSE BOWL","","J2 - 2nd E -  COMMERCE","","4-6 RR","","","","",""
"6/28/2026","TEMESCAL CANYON HS","4:20 PM","H1 - 1st D - NEWPORT","","H2 - 1st E -  LAMORINDA","12","1-3 RR","","","","",""
