"DATE","LOCATION","TIME","WHITE TEAM","S","DARK TEAM","S","COMMENTS","","","","","","","","","",""
"6/26/2026","TUSTIN HS","1:30 PM","H1 - MISSION","16","H4 - SD SHORES GOLD","6","GAME #7","","","","","","","","","",""
"6/26/2026","TUSTIN HS","2:30 PM","H2 - GREENICH","8","H3 - SOCAL GOLD","2","GAME #8","","","","","","","","","",""
"6/26/2026","TUSTIN HS","3:30 PM","G1 - SD SHORES BLACK","16","G4 - DIABLO B","3","GAME #5","","","","","","","","","",""
"6/26/2026","TUSTIN HS","4:30 PM","G2 - SBWPC B","12","G3 - COMMERCE","3","GAME #6","","","","","","","","","",""
"6/26/2026","TUSTIN HS","5:30 PM","WIN #7 - MISSION","13","WIN #8 - GREENICH","16","1/2 H","","","","","","","","","",""
"6/26/2026","TUSTIN HS","6:30 PM","LOSE #5 - DIABLO B","16","LOSE #6 - COMMERCE","3","3/4 G","","","","","","","","","",""
"6/26/2026","TUSTIN HS","7:30 PM","WIN #5 - SD SHORES BLACK","4","WIN #6 - SBWPC B","5","1/2 G","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/26/2026","FOOTHILL HS","4:00 PM","E2 - 680","11","E3 - LA JOLLA A","5","GAME #1","","","","","","","","","",""
"6/26/2026","FOOTHILL HS","5:00 PM","E1 - SOCAL BLACK","19","E4 - CHAWP BLUE","1","GAME #2","","","","","","","","","",""
"6/26/2026","FOOTHILL HS","6:00 PM","LOSE #9 - SEASIDE","10","LOSE #10- LA JOLLA B","3","3/4 F","","","","","","","","","",""
"6/26/2026","FOOTHILL HS","7:00 PM","LOSE #1 - LA JOLLA A","15","LOSE #2 - CHAWP BLUE","2","3/4 E","","","","","","","","","",""
"6/26/2026","FOOTHILL HS","8:00 PM","WIN #1 - 680","4","WIN #2 - SOCAL BLACK","13","1/2 E","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","2026  USCC   18 GIRLS","","","","","","","",""
"6/26/2026","EL MODENA HS","5:00 PM","LOSE #7 - SD SHORES GOLD","5","LOSE #8- SOCAL GOLD","10","3/4 H","","A","B","C","D","E","F","G","H",""
"","","","","","","","","","A1 - SBWPC A","B1 - NEWPORT","C1 - REGENCY","D1 - LAMORINDA","E1 - SOCAL BLACK","F1 - DIABLO A","G1 - SD SHORES","H1 - MISSION",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","A2 - TSUNAMI","B2 - ROSE BOWL","C2 -  STANFORD","D2 - CHAWP WHITE","E2 - 680","F2 - USA CADET","G2 - SBWPC B","H2 - GREENICH",""
"6/26/2026","FULLERTON COLLEGE","8:00 AM","C1 - REGENCY","17","C3 - MID VALLEY","7","","","A3 - CLOVIS","B3 - BULLDOG","C3 - MID VALLEY","D3 - DAVIS","E3 - LA JOLLA A","F3 - SEASIDE","G3 - COMMERCE","H3 - SOCAL GOLD",""
"6/26/2026","FULLERTON COLLEGE","8:55 AM","B1 - NEWPORT","17","B3 - BULLDOG","2","","","","","","D4 - SBWPC C","E4 - CHAWP BLUE","F4 - LA JOLLA B","G4 - DIABLO B","H4 - SD SHORES GOLD",""
"6/26/2026","FULLERTON COLLEGE","9:50 AM","A2 - TSUNAMI","6","A3 - CLOVIS","14","","","","","","","","","","",""
"6/26/2026","FULLERTON COLLEGE","10:45 AM","C1 - REGENCY","16","C2 -  STANFORD","11","","","","","","","","","","",""
"6/26/2026","FULLERTON COLLEGE","11:40 AM","B1 - NEWPORT","21","B2 - ROSE BOWL","9","","","I","J","K","L","M","N","O","P",""
"6/26/2026","FULLERTON COLLEGE","12:35 PM","A1 - SBWPC A","16","A2 - TSUNAMI","5","","","I1(1stA) -  SBWPC A","J1(1stB) -NEWPORT","K1(1stC) - REGENCY","L1(1stD) - LAMORINDA","M1(1stF) - DIABLO A","N1(1stE) - SOCAL BLACK","O1(1stG) - SBWPC B","P1(1stH) - GREENICH",""
"6/26/2026","FULLERTON COLLEGE","1:30 PM","F2 - USA CADET","16","F3 - SEASIDE","3","GAME #9","","I2(2ndB) -ROSE BOWL","J2(2ndA) - CLOVIS","K2(2ndD) - CHAWP WHITE","L2(2ndC) -STANFORD","M2(2ndE) - 680","N2(2ndF) - USA CADET","G2(2ndH) -MISSION","P2(2ndG) - SD SHORES BLACK",""
"6/26/2026","FULLERTON COLLEGE","2:25 PM","F1 - DIABLO A","19","F4 - LA JOLLA B","2","GAME #10","","","","","","","","","",""
"6/26/2026","FULLERTON COLLEGE","3:20 PM","C2 -  STANFORD","16","C3 - MID VALLEY","12","","","","","","","","","","",""
