Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,
"Thu, July 30",,,5-5-5-5,,,,,,,,,
,,,Seeds,,,,,,,,,
A,,,,,Team Travels,,,,,,,
A1(1)-PEGASUS,,,,,,,,,,,,
A2(2)-ALAMO,,,,,,,,,,,,
A3(3)-MAVERICKS,,,,,,,,,,,,
A4(4)-ZILLA,,,,,,,,,,,,
A5(5)-PAC,,,,,,,,,,,,
A6(6)- PEGASUS RED,,,KAHUNA EVENTS,,,,,,,,,
,,,BRACKET BREAKER PROGRAM,,,,,,,,,
,,,CLICK HERE,,,,,,,<---points | scores--->,,
,total points,,,,,,,,,A,,
,0,,,,,,,,,A1(1)-PEGASUS,,
,0,,,,,,,,,A2(2)-ALAMO,,
,0,,,,,,,,,A3(3)-MAVERICKS,,
,0,,,,,,,,,A4(4)-ZILLA,,
,0,,,,,,,,,A5(5)-PAC,,
,0,,,,,,,,,A6(6)- PEGASUS RED,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,GARLAND ISD 3,,,,,,,,10C,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,X=recorded above
30-Jul,10:00 AM,"Bracket A1,A6",GARLAND ISD 3,1,A1(1)-PEGASUS,,A6(6)- PEGASUS RED,,,,10C-001,
30-Jul,10:50 AM,"Bracket A2,A5",GARLAND ISD 3,2,A2(2)-ALAMO,,A5(5)-PAC,,,,10C-002,
30-Jul,11:40 AM,"Bracket A3,A4",GARLAND ISD 3,3,A3(3)-MAVERICKS,,A4(4)-ZILLA,,,,10C-003,
,,,,,,,,,,,,
30-Jul,1:20 PM,"Bracket A1,A2",GARLAND ISD 3,4,A1(1)-PEGASUS,,A2(2)-ALAMO,,,,10C-004,
30-Jul,2:10 PM,"Bracket A3,A6",GARLAND ISD 3,5,A3(3)-MAVERICKS,,A6(6)- PEGASUS RED,,,,10C-005,
30-Jul,3:00 PM,"Bracket A4,A5",GARLAND ISD 3,6,A4(4)-ZILLA,,A5(5)-PAC,,,,10C-006,
,,,,,,,,,,,,
,,,,,,,,,,,,
Day 2,,,,,,,,,,,,
"Fri, July 31",,,,,,,,,,,,
,,,GARLAND ISD 3,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,
31-Jul,10:00 AM,"Bracket A1,A5",GARLAND ISD 3,7,A1(1)-PEGASUS,,A5(5)-PAC,,,,10C-007,
31-Jul,10:50 AM,"Bracket A2,A3",GARLAND ISD 3,8,A2(2)-ALAMO,,A3(3)-MAVERICKS,,,,10C-008,
31-Jul,11:40 AM,"Bracket A4,A6",GARLAND ISD 3,9,A4(4)-ZILLA,,A6(6)- PEGASUS RED,,,,10C-009,
,,,,,,,,,,,,
31-Jul,1:20 PM,"Bracket A1,A3",GARLAND ISD 3,10,A1(1)-PEGASUS,,A3(3)-MAVERICKS,,,,10C-010,
31-Jul,2:10 PM,"Bracket A2,A4",GARLAND ISD 3,11,A2(2)-ALAMO,,A4(4)-ZILLA,,,,10C-011,
31-Jul,3:00 PM,"Bracket A5,A6",GARLAND ISD 3,12,A5(5)-PAC,,A6(6)- PEGASUS RED,,,,10C-012,
,,,,,,,,,,,,
Day 3,,,,,,,,,,,,
"Sat, August 1",,,,,,,,,,,,
,,,GARLAND ISD 3,,,,,,,,pt,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,
1-Aug,10:00 AM,"Bracket A1,A4",GARLAND ISD 3,13,A1(1)-PEGASUS,,A4(4)-ZILLA,,,,10C-013,
1-Aug,10:50 AM,"Bracket A2,A6",GARLAND ISD 3,14,A2(2)-ALAMO,,A6(6)- PEGASUS RED,,,,10C-014,
1-Aug,11:40 AM,"Bracket A3,A5",GARLAND ISD 3,15,A3(3)-MAVERICKS,,A5(5)-PAC,,,,10C-015,
,,,,,,,,,,,,
1-Aug,1:20 PM,play to semi,GARLAND ISD 3,16,3rdA-,,6thA-,,19,20,10C-016,
1-Aug,2:10 PM,play to semi,GARLAND ISD 3,17,4thA-,,5thA-,,18,20,10C-017,
,,,,,,,,,,,,
Day 4,,,,,,,,,,,,
"Sun, August 2",,,,,,,,,,,,
,,,GARLAND ISD 3,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,
2-Aug,7:30 AM,1-4 semi,GARLAND ISD 3,18,1stA-,,W#17,,22,21,10C-018,
2-Aug,8:30 AM,1-4 semi,GARLAND ISD 3,19,2ndA-,,W#16,,22,21,10C-019,
2-Aug,9:30 AM,5th,GARLAND ISD 3,20,L#17,,L#16,,5th,6th,10C-020,
,,,,,,,,,,,,
2-Aug,11:30 AM,3rd,GARLAND ISD 3,21,L#18,,L#19,,3rd,4th,10C-021,
2-Aug,12:30 PM,1st,GARLAND ISD 3,22,W#18,,W#19,,1st,2nd,10C-022,
,,,,,,,,,,,,
pt_Place,,,,,,,,,,,,
1st,W#22,,,,,,,,,,,
2nd,L#22,,,,,,,,,,,
3rd,W#21,,,,,,,,,,,
4th,L#21,,,,,,,,,,,
5th,W#20,,,,,,,,,,,
6th,L#20,,,,,,,,,,,
