Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,,
"Thu, July 30",,,6-6-6-6,,,,,,,,,,,
,,,Seeds,,,2 v 3,crosses,,,,,,,
A RR,B RR,C RR,"D 1/4,2/3, W L","E 1/4,2/3, W L","F 1/4,2/3, W L",8,18,,,,,,,
A1(1)-GLADIATORS,B1(2)-PEAK POLO,C1(3)-SLAP,D1(4)-HOUSTON HYDRA,E1(5)-RISE,F1(6)-ALAMO,7,16,,,,,,,
A2(12)-KRAKEN SATX POSEIDON,B2(11)-STORM TYPHOONS,C2(10)-FLEET,D2(9)-SWIM RVA,E2(8)-808,F2(7)-TEAM ORLANDO,9,17,,,,,,,
A3(13)-ZILLA,B3(14)-SOUTHLAKE,C3(15)-VIPER PIGEON BLUE,D3(16)-THUNDER,E3(17)-VIPER PIGEON RED,F3(18)-HOUSTON HYDRA WHITE,,,,,,,,,
,,,D4(21)-PAC,E4(20)-KRAKEN SATX NEPTUNE,F4(19)-PEGASUS RED,,,,,,,,,
,,,,,,,,,,,12C,,,
ABD,,,DALLAS JESUIT,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
30-Jul,7:30 AM,Group D1/4,DALLAS JESUIT,1,D1(4)-HOUSTON HYDRA,,D4(21)-PAC,,20,18,12C-001,,,
30-Jul,8:20 AM,Group D2/3,DALLAS JESUIT,3,D2(9)-SWIM RVA,,D3(16)-THUNDER,,20,18,12C-003,,,
30-Jul,9:10 AM,"Group RR A1,A3",DALLAS JESUIT,5,A1(1)-GLADIATORS,,A3(13)-ZILLA,,,,12C-005,,,
30-Jul,10:00 AM,"Group RR B1,B3",DALLAS JESUIT,7,B1(2)-PEAK POLO,,B3(14)-SOUTHLAKE,,,,12C-007,,,
30-Jul,10:50 AM,"Group RR C1,C3",DALLAS JESUIT,9,C1(3)-SLAP,,C3(15)-VIPER PIGEON BLUE,,,,12C-009,,,
30-Jul,11:40 AM,3rd/4thE,DALLAS JESUIT,10,L#E1/E4,,L#E2/E3,,24,au_M4,12C-010,,,
30-Jul,12:30 PM,1st/2ndE,DALLAS JESUIT,12,W#E1/E4,,W#E2/E3,,pt_P2,23,12C-012,,,
30-Jul,1:20 PM,"Group RR A2,A3",DALLAS JESUIT,11,A2(12)-KRAKEN SATX POSEIDON,,A3(13)-ZILLA,,,,12C-011,,,
30-Jul,2:10 PM,"Group RR B2,B3",DALLAS JESUIT,13,B2(11)-STORM TYPHOONS,,B3(14)-SOUTHLAKE,,,,12C-013,,,
30-Jul,3:00 PM,"Group RR C2,C3",DALLAS JESUIT,15,C2(10)-FLEET,,C3(15)-VIPER PIGEON BLUE,,,,12C-015,,,
30-Jul,3:50 PM,"Group RR A1,A2",DALLAS JESUIT,17,A1(1)-GLADIATORS,,A2(12)-KRAKEN SATX POSEIDON,,,,12C-017,,,
30-Jul,4:40 PM,"Group RR B1,B2",DALLAS JESUIT,19,B1(2)-PEAK POLO,,B2(11)-STORM TYPHOONS,,,,12C-019,,,
30-Jul,5:30 PM,"Group RR C1,C2",DALLAS JESUIT,21,C1(3)-SLAP,,C2(10)-FLEET,,,,12C-021,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CEF,,,LEWISVILLE ISD WESTSIDE 3,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
30-Jul,7:30 AM,Group E1/4,LEWISVILLE ISD WESTSIDE 3,2,E1(5)-RISE,,E4(20)-KRAKEN SATX NEPTUNE,,12,10,12C-002,,,
30-Jul,8:20 AM,Group E2/3,LEWISVILLE ISD WESTSIDE 3,4,E2(8)-808,,E3(17)-VIPER PIGEON RED,,12,10,12C-004,,,
30-Jul,9:10 AM,Group F1/4,LEWISVILLE ISD WESTSIDE 3,6,F1(6)-ALAMO,,F4(19)-PEGASUS RED,,16,14,12C-006,,,
30-Jul,10:00 AM,Group F2/3,LEWISVILLE ISD WESTSIDE 3,8,F2(7)-TEAM ORLANDO,,F3(18)-HOUSTON HYDRA WHITE,,16,14,12C-008,,,
30-Jul,10:50 AM,3rd/4thD,LEWISVILLE ISD WESTSIDE 3,18,L#D1/D4,,L#D2/D3,,22,au_M5,12C-018,,,
30-Jul,11:40 AM,1st/2ndD,LEWISVILLE ISD WESTSIDE 3,20,W#D1/D4,,W#D2/D3,,pt_P1,24,12C-020,,,
30-Jul,12:30 PM,3rd/4thF,LEWISVILLE ISD WESTSIDE 3,14,L#F1/F4,,L#F2/F3,,23,au_N4,12C-014,,,
30-Jul,1:20 PM,1st/2ndF,LEWISVILLE ISD WESTSIDE 3,16,W#F1/F4,,W#F2/F3,,pt_O2,22,12C-016,,,
,,,,,,,,,,,,,,
30-Jul,3:00 PM,2D v 3E cross,LEWISVILLE ISD WESTSIDE 3,24,2ndD,,3rdE,,pt_O3,au_M3,12C-024,,,
30-Jul,3:50 PM,2E v 3F cross,LEWISVILLE ISD WESTSIDE 3,23,2ndE,,3rdF,,pt_N2,au_N3,12C-023,,,
30-Jul,4:40 PM,2F v 3D cross,LEWISVILLE ISD WESTSIDE 3,22,2ndF,,3rdD,,pt_M2,au_M2,12C-022,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,pt_M,pt_N,pt_O,pt_P,,,,,,,,,,
1,pt_M1(1stA)-,pt_N1(1stB)-,pt_O1(1stC)-,pt_P1(1stD)(W20),1,2,3,4,,,,,,
2,pt_M2(W22),pt_N2(W23),pt_O2(1stF)(W16),pt_P2(1stE)(W12),8,7,6,5,,,,,,
3,pt_M3(2ndB)-,pt_N3(2ndC)-,pt_O3(W24),pt_P3(2ndA)-,9,10,11,12,,,,,,
,,,,,,,,,,,,,,
,Gold,,,,,,,,,,,,,
,au_M,au_N,,,KAHUNA EVENTS,,,,,,,,,
1,au_M1(3rdA)-,au_N1(3rdB)-,13,14,BRACKET BREAKER PROGRAM,,,,,,,,,
2,au_M2(L22),au_N2(3rdC)-,16,15,CLICK HERE,,,,,,,,,
3,au_M3(L24),au_N3(L23),17,18,,,,,,,,,,
4,au_M4(4thE)(L10),au_N4(4thF)(L14),20,19,,,,,,,,,,
5,au_M5(4thD)(L18),,21,,,,,,,,,,,
,,,,,,,,,,,,,,
Day 2,,,,,,,,,,,,,,
"Fri, July 31",,,,,,,,,,,,,,
,,,DALLAS JESUIT,,,,,,,,pt_,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
31-Jul,7:30 AM,RR M2/M3,DALLAS JESUIT,25,pt_M2(W22), ,pt_M3(2ndB)-,,,,12C-025,,pt_RR M2/M3,
31-Jul,8:20 AM,RR N2/N3,DALLAS JESUIT,27,pt_N2(W23), ,pt_N3(2ndC)-,,,,12C-027,,pt_RR N2/N3,
31-Jul,9:10 AM,RR O2/O3,DALLAS JESUIT,29,pt_O2(1stF)(W16), ,pt_O3(W24),,,,12C-029,,pt_RR O2/O3,
31-Jul,10:00 AM,RR P2/P3,DALLAS JESUIT,31,pt_P2(1stE)(W12), ,pt_P3(2ndA)-,,,,12C-031,,pt_RR P2/P3,
31-Jul,10:50 AM,RR M1/M3,DALLAS JESUIT,33,pt_M1(1stA)-, ,pt_M3(2ndB)-,,,,12C-033,,pt_RR M1/M3,
31-Jul,11:40 AM,RR N1/N3,DALLAS JESUIT,35,pt_N1(1stB)-, ,pt_N3(2ndC)-,,,,12C-035,,pt_RR N1/N3,
31-Jul,12:30 PM,RR O1/O3,DALLAS JESUIT,37,pt_O1(1stC)-, ,pt_O3(W24),,,,12C-037,,pt_RR O1/O3,
31-Jul,1:20 PM,RR P1/P3,DALLAS JESUIT,39,pt_P1(1stD)(W20), ,pt_P3(2ndA)-,,,,12C-039,,pt_RR P1/P3,
31-Jul,2:10 PM,RR M1/M2,DALLAS JESUIT,41,pt_M1(1stA)-, ,pt_M2(W22),,,,12C-041,,pt_RR M1/M2,
31-Jul,3:00 PM,RR N1/N2,DALLAS JESUIT,43,pt_N1(1stB)-, ,pt_N2(W23),,,,12C-043,,pt_RR N1/N2,
,,,,,,,,,,,,,,
31-Jul,4:40 PM,RR O1/O2,DALLAS JESUIT,45,pt_O1(1stC)-, ,pt_O2(1stF)(W16),,,,12C-045,,pt_RR O1/O2,
31-Jul,5:30 PM,RR P1/P2,DALLAS JESUIT,47,pt_P1(1stD)(W20), ,pt_P2(1stE)(W12),,,,12C-047,,pt_RR P1/P2,
,,,,,,,,,,,,,,
,,,LEWISVILLE ISD WESTSIDE 3,,,,,,,,au_,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,X=recorded below
31-Jul,7:30 AM,RR M1/M3,LEWISVILLE ISD WESTSIDE 3,26,au_M1(3rdA)-, ,au_M3(L24),,,,12C-026,,au_RR M1/M3,
31-Jul,8:20 AM,RR M2/M4,LEWISVILLE ISD WESTSIDE 3,28,au_M2(L22), ,au_M4(4thE)(L10),,,,12C-028,,au_RR M2/M4,
31-Jul,9:10 AM,RR N1/N4,LEWISVILLE ISD WESTSIDE 3,30,au_N1(3rdB)-, ,au_N4(4thF)(L14),,,,12C-030,,au_RR N1/N4,
31-Jul,10:00 AM,RR N2/N3,LEWISVILLE ISD WESTSIDE 3,32,au_N2(3rdC)-, ,au_N3(L23),,,,12C-032,,au_RR N2/N3,
,,,,,,,,,,,,,,
31-Jul,11:40 AM,RR M3/M5,LEWISVILLE ISD WESTSIDE 3,34,au_M3(L24), ,au_M5(4thD)(L18),,,,12C-034,,au_RR M3/M5,
31-Jul,12:30 PM,RR M1/M4,LEWISVILLE ISD WESTSIDE 3,36,au_M1(3rdA)-, ,au_M4(4thE)(L10),,,,12C-036,,au_RR M1/M4,
31-Jul,1:20 PM,RR N1/N3,LEWISVILLE ISD WESTSIDE 3,38,au_N1(3rdB)-, ,au_N3(L23),,,,12C-038,,au_RR N1/N3,
31-Jul,2:10 PM,RR N2/N4,LEWISVILLE ISD WESTSIDE 3,40,au_N2(3rdC)-, ,au_N4(4thF)(L14),,,,12C-040,,au_RR N2/N4,
31-Jul,3:00 PM,RR M2/M5,LEWISVILLE ISD WESTSIDE 3,42,au_M2(L22), ,au_M5(4thD)(L18),,,,12C-042,,au_RR M2/M5,
,,,,,,,,,,,,,,
Day 3,,,,,,,,,,,,,,
"Sat, August 1",,,,,,,,,,,,,,
,,,DALLAS JESUIT,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
1-Aug,7:30 AM,5-8 v 9-12,DALLAS JESUIT,49,2nd pt_P-,,3rd pt_O-,,59,64,12C-049,,pt_5-8 v 9-12,
1-Aug,8:20 AM,5-8 v 9-12,DALLAS JESUIT,51,2nd pt_M-,,3rd pt_N-,,59,64,12C-051,,pt_5-8 v 9-12,
1-Aug,9:10 AM,5-8 v 9-12,DALLAS JESUIT,53,2nd pt_O-,,3rd pt_P-,,63,65,12C-053,,pt_5-8 v 9-12,
1-Aug,10:00 AM,5-8 v 9-12,DALLAS JESUIT,55,2nd pt_N-,,3rd pt_M-,,63,65,12C-055,,pt_5-8 v 9-12,
1-Aug,10:50 AM,1-2 v 3-4,DALLAS JESUIT,57,1st pt_N-,,1st pt_O-,,77,67,12C-057,,pt_1-2 v 3-4,
1-Aug,11:40 AM,5-6 v 7-8,DALLAS JESUIT,59,W49,,W51,,67,79,12C-059,,pt_5-6 v 7-8,
1-Aug,12:30 PM,1-2 v 3-4,DALLAS JESUIT,61,1st pt_M-,,1st pt_P-,,75,70,12C-061,,pt_1-2 v 3-4,
1-Aug,1:20 PM,5-6 v 7-8,DALLAS JESUIT,63,W53,,W55,,69,79,12C-063,,pt_5-6 v 7-8,
1-Aug,2:10 PM,9-12 semi,DALLAS JESUIT,64,L51,,L49,,73,71,12C-064,,pt_9-12 semi,
1-Aug,3:00 PM,9-12 semi,DALLAS JESUIT,65,L55,,L53,,73,71,12C-065,,pt_9-12 semi,
1-Aug,3:50 PM,qtr final,DALLAS JESUIT,67,L57,,W59,,75,81,12C-067,,pt_qtr final,
