Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,,,,,,,,,,,,
"Thu, July 30",,,6-6-7-7,,,,,,,,,,,,,,,,,,,,,
,,,Seeds,,,,,,,,,,,,,,,,,,,,,
A,B,C,D,,KAHUNA EVENTS,,,,,,,,,,,,,,,,,,,
A1(1)-GLADIATORS,B1(2)-TEAM ORLANDO,C1(3)-HOUSTON HYDRA,D1(4)-CHICAGO PARKS DISTRICT,,BRACKET BREAKER PROGRAM,,,,,,,,,,,,,,,,,,,
A2(16)-VP HILL COUNTRY,B2(15)-NORTHEAST ELITE,C2(14)-WEST SUBURBAN,D2(13)-SIERRA NEVADA,,CLICK HERE,,,,,,,,,,,,,,,,,,,
A3(17)-BCWP,B3(18)-VP HTOWN,C3(19)-Z TOWN,D3(20)-FLEET,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E,F,G,H,,,,,,,,,,,,,,,,,,,,,
E1(5)-ALAMO,F1(6)-NORCO,G1(7)-MIAMI WOLVERINES,H1(8)-ROCKY MOUNTAIN WARRIORS,,,,,,,,,,,,,,,,,,,,,
E2(12)-SLAP,F2(11)-RISE,G2(10)-PEAK POLO,H2(9)-ORLANO THUNDER,,,,,,,,,,,,,,,,,,,,,
E3(21)-DISTRICT BLOSSOMS,F3(22)-STORM MONSOONS,G3(23)-KRAKEN SATX,H3(24)-DAISY,,,,,,,,,,,,,,,,,,,,,
,,G4(26)-PEGASUS RED,H4(25)-LONGHORN WHITE,,,,,,,,14B,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,LEWISVILLE ISD EASTSIDE 1,,A B H,,,,,,,,,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,,,,,,,,,,,
30-Jul,7:30 AM,"A bracket A1,A3",LEWISVILLE ISD EASTSIDE 1,1,A1(1)-GLADIATORS,,A3(17)-BCWP,,,,14B-001,,,,,,,,,,,,,
30-Jul,8:20 AM,"B bracket B1,B3",LEWISVILLE ISD EASTSIDE 1,2,B1(2)-TEAM ORLANDO,,B3(18)-VP HTOWN,,,,14B-002,,,,,,,,,,,,,
30-Jul,9:10 AM,W/L H1/H4,LEWISVILLE ISD EASTSIDE 1,5,H1(8)-ROCKY MOUNTAIN WARRIORS,,H4(25)-LONGHORN WHITE,,25,21,14B-005,,,,,,,,,,,,,
30-Jul,10:00 AM,W/L H2/H3,LEWISVILLE ISD EASTSIDE 1,9,H2(9)-ORLANO THUNDER,,H3(24)-DAISY,,25,21,14B-009,,,,,,,,,,,,,
30-Jul,10:50 AM,"A bracket A2,A3",LEWISVILLE ISD EASTSIDE 1,13,A2(16)-VP HILL COUNTRY,,A3(17)-BCWP,,,,14B-013,,,,,,,,,,,,,
30-Jul,11:40 AM,"B bracket B2,B3",LEWISVILLE ISD EASTSIDE 1,14,B2(15)-NORTHEAST ELITE,,B3(18)-VP HTOWN,,,,14B-014,,,,,,,,,,,,,
30-Jul,12:30 PM,3rd/4thH,LEWISVILLE ISD EASTSIDE 1,21,L5,,L9,,41,P5,14B-021,,,,,,,,,,,,,
30-Jul,1:20 PM,1st/2ndH,LEWISVILLE ISD EASTSIDE 1,25,W5,,W9,,J2,45,14B-025,,,,,,,,,,,,,
