Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,
"Thu, July 30",,,6-6-7-7,,,,,,,,,
,,,Seeds,,,,,,,,,
A,,,,,Team Travels,,,,,,,
A1(1)-VIPER PIGEON,,,,,,,,,,,,
A2(2)-RISE,,,,,,,,,,,,
A3(3)-ST LOUIS LIONS,,,,,,,,,,,,
A4(4)-ORLANDO THUNDER,,,,,,,,,,,,
A5(5)-PEGASUS,,,,,,,,,,,,
A6(6)-HOUSTON HYDRA,,,KAHUNA EVENTS,,,,,,,,,
A7(7)-KRAKEN SATX,,,BRACKET BREAKER PROGRAM,,,,,,,,,
,,,CLICK HERE,,,,,,,<---points | scores--->,,
,total points,,,,,,,,,A,,
,0,,,,,,,,,A1(1)-VIPER PIGEON,,
,0,,,,,,,,,A2(2)-RISE,,
,0,,,,,,,,,A3(3)-ST LOUIS LIONS,,
,0,,,,,,,,,A4(4)-ORLANDO THUNDER,,
,0,,,,,,,,,A5(5)-PEGASUS,,
,0,,,,,,,,,A6(6)-HOUSTON HYDRA,,
,0,,,,,,,,,A7(7)-KRAKEN SATX,,
,,,,,,,,,,,,
,,,SMU 1,,,,,,,,14G,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,X=recorded above
30-Jul,9:10 AM,"Group A1,A7",SMU 1,1,A1(1)-VIPER PIGEON,,A7(7)-KRAKEN SATX,,,,14G-001,
30-Jul,10:00 AM,"Group A2,A6",SMU 1,2,A2(2)-RISE,,A6(6)-HOUSTON HYDRA,,,,14G-002,
30-Jul,10:50 AM,"Group A3,A5",SMU 1,3,A3(3)-ST LOUIS LIONS,,A5(5)-PEGASUS,,,,14G-003,
30-Jul,11:40 AM,"Group A1,A4",SMU 1,4,A1(1)-VIPER PIGEON,,A4(4)-ORLANDO THUNDER,,,,14G-004,
30-Jul,12:30 PM,"Group A2,A7",SMU 1,5,A2(2)-RISE,,A7(7)-KRAKEN SATX,,,,14G-005,
30-Jul,1:20 PM,"Group A3,A6",SMU 1,6,A3(3)-ST LOUIS LIONS,,A6(6)-HOUSTON HYDRA,,,,14G-006,
30-Jul,2:10 PM,"Group A4,A5",SMU 1,7,A4(4)-ORLANDO THUNDER,,A5(5)-PEGASUS,,,,14G-007,
,,,,,,,,,,,,
,,,,,,,,,,,,
Day 2,,,,,,,,,,,,
"Fri, July 31",,,,,,,,,,,,
,,,TWU,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,
31-Jul,9:00 AM,"Group A1,A2",TWU,8,A1(1)-VIPER PIGEON,,A2(2)-RISE,,,,14G-008,
31-Jul,9:50 AM,"Group A3,A7",TWU,9,A3(3)-ST LOUIS LIONS,,A7(7)-KRAKEN SATX,,,,14G-009,
31-Jul,10:40 AM,"Group A4,A6",TWU,10,A4(4)-ORLANDO THUNDER,,A6(6)-HOUSTON HYDRA,,,,14G-010,
31-Jul,11:30 AM,"Group A1,A5",TWU,11,A1(1)-VIPER PIGEON,,A5(5)-PEGASUS,,,,14G-011,
31-Jul,12:20 PM,"Group A2,A3",TWU,12,A2(2)-RISE,,A3(3)-ST LOUIS LIONS,,,,14G-012,
31-Jul,1:10 PM,"Group A4,A7",TWU,13,A4(4)-ORLANDO THUNDER,,A7(7)-KRAKEN SATX,,,,14G-013,
31-Jul,2:00 PM,"Group A5,A6",TWU,14,A5(5)-PEGASUS,,A6(6)-HOUSTON HYDRA,,,,14G-014,
,,,,,,,,,,,,
Day 3,,,,,,,,,,,,
"Sat, August 1",,,,,,,,,,,,
,,,TWU,,,,,,,,pt,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,
1-Aug,9:00 AM,"Group A1,A3",TWU,15,A1(1)-VIPER PIGEON,,A3(3)-ST LOUIS LIONS,,,,14G-015,
1-Aug,10:00 AM,"Group A5,A7",TWU,16,A5(5)-PEGASUS,,A7(7)-KRAKEN SATX,,,,14G-016,
1-Aug,11:00 AM,"Group A2,A4",TWU,17,A2(2)-RISE,,A4(4)-ORLANDO THUNDER,,,,14G-017,
1-Aug,12:00 PM,"Group A1,A6",TWU,18,A1(1)-VIPER PIGEON,,A6(6)-HOUSTON HYDRA,,,,14G-018,
1-Aug,1:00 PM,"Group A2,A5",TWU,19,A2(2)-RISE,,A5(5)-PEGASUS,,,,14G-019,
1-Aug,2:00 PM,"Group A3,A4",TWU,20,A3(3)-ST LOUIS LIONS,,A4(4)-ORLANDO THUNDER,,,,14G-020,
1-Aug,3:00 PM,"Group A6,A7",TWU,21,A6(6)-HOUSTON HYDRA,,A7(7)-KRAKEN SATX,,,,14G-021,
,,,,,,,,,,,,
Day 4,,,,,,,,,,,,
"Sun, August 2",,,,,,,,,,,,
,,,CARROL ISD 2,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,
2-Aug,10:00 AM,"7th, play to 5th",CARROL ISD 2,22,6thA-,,7thA-,,25,7th,14G-022,
,,,,,,,,,,,,
2-Aug,1:00 PM,5th,CARROL ISD 2,25,5thA-,,W22,,5th,6th,14G-025,
,,,,,,,,,,,,
,,,LEWISVILLE ISD EASTSIDE 1,,,,,,,,,
2-Aug,7:30 AM,1-4 semi,LEWISVILLE ISD EASTSIDE 1,23,1stA-,,4thA-,,27,26,14G-023,
,,,,,,,,,,,,
,,,LEWISVILLE ISD EASTSIDE 2,,,,,,,,,
2-Aug,7:30 AM,1-4 semi,LEWISVILLE ISD EASTSIDE 2,24,2ndA-,,3rdA-,,27,26,14G-024,
,,,,,,,,,,,,
,,,GARLAND ISD 2,,,,,,,,,
