Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,,
"Thu, July 30",,,6-6-7-7,,,,,,,,,,,
,,,Seeds,,,,,,,,,,,
A,B,C,D,,,,,,,,,,,
A1(1)-GLADIATORS GOLD,B1(2)-SOUTHSIDE,C1(3)-ROCKY MOUNTAIN WARRIORS,D1(4)-NEW HAVEN HYDRAS,,,,,,,,,,,
A2(16)-VIPER PIGEON BLUE,B2(15)-NARROWS,C2(14)-SLAP GOLD,D2(13)-HOUSTON HYDRA,,,,,,,,,,,
A3(17)-ZENITH ALL STARS,B3(18)-GLADIATORS BLACK,C3(19)-KRAKEN SATX,D3(20)-PAC,,,,,,,,,,,
,,,,,,,,,,,,,,
E,F,G,H,,,,,,,,,,,
E1(5)-WEST SUBURBAN,F1(6)-JUNGLE CAT,G1(7)-DYNAMO,H1(8)-ALAMO BLACK,KAHUNA EVENTS,,,,,,,,,,
E2(12)-LOWPO,F2(11)-CHICACO PARKS DISTRICT,G2(10)-STORM TORNADOES,H2(9)-BCWP,BRACKET BREAKER PROGRAM,,,,,,,,,,
E3(21)-ALAMO YELLOW,F3(22)-VIPER PIGEON BLACK,G3(23)-DAISY,H3(24)-LONGHORN,CLICK HERE,,,,,,,,,,
,,,H4(25)-LOWPO RED,,,,,,,,,,,
,,,,,,,,,,,16B,,,
,,,LEWISVILLE ISD WESTSIDE 1,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
30-Jul,7:30 AM,Group,LEWISVILLE ISD WESTSIDE 1,7,B1(2)-SOUTHSIDE,,B3(18)-GLADIATORS BLACK,,,,16B-007,,,
30-Jul,8:20 AM,Group,LEWISVILLE ISD WESTSIDE 1,9,G1(7)-DYNAMO,,G3(23)-DAISY,,,,16B-009,,,
30-Jul,9:10 AM,W/L H1/H4,LEWISVILLE ISD WESTSIDE 1,3,H1(8)-ALAMO BLACK,,H4(25)-LOWPO RED,,13,13A,16B-003,,,
30-Jul,10:00 AM,Group,LEWISVILLE ISD WESTSIDE 1,15,B2(15)-NARROWS,,B3(18)-GLADIATORS BLACK,,,,16B-015,,,
30-Jul,10:50 AM,Group,LEWISVILLE ISD WESTSIDE 1,17,G2(10)-STORM TORNADOES,,G3(23)-DAISY,,,,16B-017,,,
30-Jul,11:40 AM,1st/2ndH,LEWISVILLE ISD WESTSIDE 1,13,W3,,W5,,pt_M2,pt_O3,16B-013,1st/2ndH,,
30-Jul,12:30 PM,Group,LEWISVILLE ISD WESTSIDE 1,21,B1(2)-SOUTHSIDE,,B2(15)-NARROWS,,,,16B-021,,,
30-Jul,1:20 PM,Group,LEWISVILLE ISD WESTSIDE 1,23,G1(7)-DYNAMO,,G2(10)-STORM TORNADOES,,,,16B-023,,,
,,,,,,,,,,,,,,
