Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,
"Thu, July 30",,,6-6-7-7,,,,,,,,,,
,,,Seeds,,,,,,,,,,
,,,,,,,,,,,,,
A,B,C,D,E,F,,KAHUNA EVENTS,,,,,,
A1(1)-SEA MONSTERS PREMIER,B1(2)-HOUSTON HYDRA,C1(3)-NEW HAVEN HYDRAS,D1(4)-VIPER PIGEONS,E1(5)-SLAP,F1(6)-KRAKEN,,BRACKET BREAKER PROGRAM,,,,,,
A2(12)-ALAMO,B2(11)-ZOO,C2(10)-SOUTHLAKE,D2(9)-ST LOUIS LIONS,E2(8)-STORM TSUNAMIS,F2(7)-PEGASUS,,CLICK HERE,,,,,,
A3(13)-KRAKEN SATX,B3(14)-BCWP,C3(15)-FLEET,D3(16)-STORM CYCLONES,E3(17)-LONGHORN WHITE,F3(18)-ZENITH ALL STARS,,,,,,,,
,,,,,,,,,,,18G,,
,,,CARROL ISD 1,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
30-Jul,8:00 AM,"A bracket A1,A3",CARROL ISD 1,1,A1(1)-SEA MONSTERS PREMIER,,A3(13)-KRAKEN SATX,,RR,RR,18G-001,,
30-Jul,8:50 AM,"F bracket F1,F3",CARROL ISD 1,2,F1(6)-KRAKEN,,F3(18)-ZENITH ALL STARS,,RR,RR,18G-002,,
30-Jul,9:40 AM,"C bracket C1,C3",CARROL ISD 1,5,C1(3)-NEW HAVEN HYDRAS,,C3(15)-FLEET,,RR,RR,18G-005,,
30-Jul,10:30 AM,"A bracket A2,A3",CARROL ISD 1,7,A2(12)-ALAMO,,A3(13)-KRAKEN SATX,,RR,RR,18G-007,,
30-Jul,11:20 AM,"F bracket F2,F3",CARROL ISD 1,8,F2(7)-PEGASUS,,F3(18)-ZENITH ALL STARS,,RR,RR,18G-008,,
30-Jul,12:10 PM,"C bracket C2,C3",CARROL ISD 1,11,C2(10)-SOUTHLAKE,,C3(15)-FLEET,,RR,RR,18G-011,,
30-Jul,1:00 PM,"A bracket A1,A2",CARROL ISD 1,13,A1(1)-SEA MONSTERS PREMIER,,A2(12)-ALAMO,,RR,RR,18G-013,,
30-Jul,1:50 PM,"F bracket F1,F2",CARROL ISD 1,14,F1(6)-KRAKEN,,F2(7)-PEGASUS,,RR,RR,18G-014,,
30-Jul,2:40 PM," C bracket C1,C2",CARROL ISD 1,17,C1(3)-NEW HAVEN HYDRAS,,C2(10)-SOUTHLAKE,,RR,RR,18G-017,,
30-Jul,3:30 PM,Cross 2A/3B,CARROL ISD 1,19,2nd_A,,3rd_B,,pt_P3,pt_R1,18G-019,,
30-Jul,4:20 PM,Cross 2F/3E,CARROL ISD 1,20,2nd_F,,3rd_E,,pt_N2,pt_S3,18G-020,,
30-Jul,5:10 PM,Cross 2C/3D,CARROL ISD 1,23,2nd_C,,3rd_D,,pt_N3,pt_S2,18G-023,,
,,,,,,,,,,,,,
