Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
18-Jul,7:00 AM,Group,UC IRVINE 1,1,3-908,,46-ELITE,,25,29,14G-001
18-Jul,7:50 AM,Group,UC IRVINE 1,5,22-STANFORD B,,27-ARROYO GRANDE,,25,29,14G-005
18-Jul,8:40 AM,Group,UC IRVINE 1,9,1-NEWPORT BEACH BLUE,,48-TOPAZ TSUNAMI,,33,37,14G-009
18-Jul,9:30 AM,Group,UC IRVINE 1,13,24-LAMORINDA B,,25-SAN CLEMENTE BLACK,,33,37,14G-013
18-Jul,10:20 AM,Group,UC IRVINE 1,17,2-SAN CLEMENTE RED,,47-NORTHWEST,,41,45,14G-017
18-Jul,11:10 AM,Group,UC IRVINE 1,21,23-INNIA ARDEN,,26-SHAQ,,41,45,14G-021
18-Jul,12:00 PM,Group,UC IRVINE 1,25,W1,,W5,,pt_O1,50,14G-025
18-Jul,12:50 PM,Group,UC IRVINE 1,29,L1,,L5,,49,au_S3,14G-029
18-Jul,1:40 PM,Group,UC IRVINE 1,33,W9,,W13,,pt_M1,57,14G-033
18-Jul,2:30 PM,Group,UC IRVINE 1,37,L9,,L13,,53,au_U3,14G-037
18-Jul,3:20 PM,Group,UC IRVINE 1,41,W17,,W21,,pt_N1,53,14G-041
18-Jul,4:10 PM,Group,UC IRVINE 1,45,L17,,L21,,57,au_T3,14G-045
18-Jul,5:50 PM,2-3 cross,UC IRVINE 1,49,L26,,W29,,pt_R3,au_O1,14G-049
18-Jul,6:40 PM,2-3 cross,UC IRVINE 1,53,L41,,W37,,pt_T3,au_M1,14G-053
18-Jul,7:30 PM,2-3 cross,UC IRVINE 1,57,L33,,W45,,pt_U3,au_N1,14G-057
18-Jul,7:00 AM,Group,UC IRVINE 2,2,4-DIABLO ALLIANCE A,,45-SOUTHSIDE,,26,30,14G-002
18-Jul,7:50 AM,Group,UC IRVINE 2,6,21-CDM,,28-CLOVIS A,,26,30,14G-006
18-Jul,8:40 AM,Group,UC IRVINE 2,10,5-LAMORINDA A,,44-CENTRAL COAST,,34,38,14G-010
18-Jul,9:30 AM,Group,UC IRVINE 2,14,20-SD DONS,,29-SD SHORES GOLD,,34,38,14G-014
18-Jul,10:20 AM,Group,UC IRVINE 2,18,6-STANFORD A,,43-CHICAGO PARK,,42,46,14G-018
18-Jul,11:10 AM,Group,UC IRVINE 2,22,19-LAGUNA BEACH,,30-MAVERICKS,,42,46,14G-022
18-Jul,12:00 PM,Group,UC IRVINE 2,26,W2,,W6,,pt_P1,49,14G-026
18-Jul,12:50 PM,Group,UC IRVINE 2,30,L2,,L6,,50,au_R3,14G-030
18-Jul,1:40 PM,Group,UC IRVINE 2,34,W10,,W14,,pt_P2,58,14G-034
18-Jul,2:30 PM,Group,UC IRVINE 2,38,L10,,L14,,54,au_R2,14G-038
18-Jul,3:20 PM,Group,UC IRVINE 2,42,W18,,W22,,pt_O2,54,14G-042
18-Jul,4:10 PM,Group,UC IRVINE 2,46,L18,,L22,,58,au_S2,14G-046
18-Jul,5:50 PM,2-3 cross,UC IRVINE 2,50,L25,,W30,,pt_S3,au_P1,14G-050
18-Jul,6:40 PM,2-3 cross,UC IRVINE 2,54,L42,,W38,,pt_S2,au_P2,14G-054
18-Jul,7:30 PM,2-3 cross,UC IRVINE 2,58,L34,,W46,,pt_R2,au_O2,14G-058
18-Jul,7:00 AM,Group,SADDLEBACK COLLEGE 1,3,9-SANTA BARBARA WPC A,,40-HONOLULU A,,27,31,14G-003
18-Jul,7:50 AM,Group,SADDLEBACK COLLEGE 1,7,16-DAVIS,,33-BROOKLYN HUSTLE,,27,31,14G-007
18-Jul,8:40 AM,Group,SADDLEBACK COLLEGE 1,11,7-SANTA CRUZ,,42-PUNAHOU,,35,39,14G-011
18-Jul,9:30 AM,Group,SADDLEBACK COLLEGE 1,15,18-SOUTH COAST RED,,31-BIG VALLEY,,35,39,14G-015
18-Jul,10:20 AM,Group,SADDLEBACK COLLEGE 1,19,8-GREENWICH,,41-NORCO,,43,47,14G-019
18-Jul,11:10 AM,Group,SADDLEBACK COLLEGE 1,23,17-CC UNITED,,32-TEMPLE CITY,,43,47,14G-023
18-Jul,12:00 PM,Group,SADDLEBACK COLLEGE 1,27,W3,,W7,,pt_M3,52,14G-027
18-Jul,12:50 PM,Group,SADDLEBACK COLLEGE 1,31,L3,,L7,,51,au_U1,14G-031
18-Jul,1:40 PM,Group,SADDLEBACK COLLEGE 1,35,W11,,W15,,pt_N2,59,14G-035
18-Jul,2:30 PM,Group,SADDLEBACK COLLEGE 1,39,L11,,L15,,55,au_T2,14G-039
18-Jul,3:20 PM,Group,SADDLEBACK COLLEGE 1,43,W19,,W23,,pt_M2,55,14G-043
18-Jul,4:10 PM,Group,SADDLEBACK COLLEGE 1,47,L19,,L23,,59,au_U2,14G-047
18-Jul,5:50 PM,2-3 cross,SADDLEBACK COLLEGE 1,51,L28,,W31,,pt_T1,au_M3,14G-051
18-Jul,6:40 PM,2-3 cross,SADDLEBACK COLLEGE 1,55,L43,,W39,,pt_U2,au_N2,14G-055
18-Jul,7:30 PM,2-3 cross,SADDLEBACK COLLEGE 1,59,L35,,W47,,pt_T2,au_M2,14G-059
18-Jul,7:00 AM,Group,BUENA PARK HS,4,10-680 RED,,39-TEXAS THUNDER,,28,32,14G-004
18-Jul,7:50 AM,Group,BUENA PARK HS,8,15-CHAWP WHITE,,34-KEARNS,,28,32,14G-008
18-Jul,8:40 AM,Group,BUENA PARK HS,12,11-LB SHORE,,38-AMERICAN RIVER,,36,40,14G-012
18-Jul,9:30 AM,Group,BUENA PARK HS,16,14-SD SHORES BLACK,,35-ROGUE 619,,36,40,14G-016
18-Jul,10:20 AM,Group,BUENA PARK HS,20,12-COMMERCE,,37-LA JOLLA UNITED,,44,48,14G-020
18-Jul,11:10 AM,Group,BUENA PARK HS,24,13-PATRIOT NAVY,,36-LOWPO,,44,48,14G-024
18-Jul,12:00 PM,Group,BUENA PARK HS,28,W4,,W8,,pt_N3,51,14G-028
18-Jul,12:50 PM,Group,BUENA PARK HS,32,L4,,L8,,52,au_T1,14G-032
18-Jul,1:40 PM,Group,BUENA PARK HS,36,W12,,W16,,pt_O3,60,14G-036
18-Jul,2:30 PM,Group,BUENA PARK HS,40,L12,,L16,,56,au_S1,14G-040
18-Jul,3:20 PM,Group,BUENA PARK HS,44,W20,,W24,,pt_P3,56,14G-044
18-Jul,4:10 PM,Group,BUENA PARK HS,48,L20,,L24,,60,au_R1,14G-048
18-Jul,5:50 PM,2-3 cross,BUENA PARK HS,52,L27,,W32,,pt_U1,au_N3,14G-052
18-Jul,6:40 PM,2-3 cross,BUENA PARK HS,56,L44,,W40,,pt_R1,au_O3,14G-056
18-Jul,7:30 PM,2-3 cross,BUENA PARK HS,60,L36,,W48,,pt_S1,au_P3,14G-060
19-Jul,7:00 AM,Group,SADDLEBACK COLLEGE 1,61,pt_M2,,pt_M3,,,,14G-061
19-Jul,7:50 AM,Group,SADDLEBACK COLLEGE 1,65,pt_N2,,pt_N3,,,,14G-065
19-Jul,8:40 AM,Group,SADDLEBACK COLLEGE 1,69,pt_S1,,pt_S2,,,,14G-069
19-Jul,9:30 AM,Group,SADDLEBACK COLLEGE 1,73,pt_R1,,pt_R2,,,,14G-073
19-Jul,10:20 AM,Group,SADDLEBACK COLLEGE 1,77,pt_M1,,pt_M3,,,,14G-077
19-Jul,11:10 AM,Group,SADDLEBACK COLLEGE 1,81,pt_N1,,pt_N3,,,,14G-081
19-Jul,12:00 PM,Group,SADDLEBACK COLLEGE 1,85,pt_S1,,pt_S3,,,,14G-085
19-Jul,12:50 PM,Group,SADDLEBACK COLLEGE 1,89,pt_R1,,pt_R3,,,,14G-089
19-Jul,1:40 PM,Group,SADDLEBACK COLLEGE 1,93,pt_M1,,pt_M2,,,,14G-093
19-Jul,2:30 PM,Group,SADDLEBACK COLLEGE 1,97,pt_N1,,pt_N2,,,,14G-097
19-Jul,3:20 PM,Group,SADDLEBACK COLLEGE 1,101,pt_S2,,pt_S3,,,,14G-101
19-Jul,4:10 PM,Group,SADDLEBACK COLLEGE 1,105,pt_R2,,pt_R3,,,,14G-105
19-Jul,6:40 PM,Play-in,SADDLEBACK COLLEGE 1,109,3rd pt_M-,,1st pt_S-,,129,134,14G-109
19-Jul,7:30 PM,Play-in,SADDLEBACK COLLEGE 1,113,3rd pt_N-,,1st pt_R-,,121,126,14G-113
19-Jul,7:00 AM,Group,UC IRVINE 2,62,pt_O2,,pt_O3,,,,14G-062
19-Jul,7:50 AM,Group,UC IRVINE 2,66,pt_P2,,pt_P3,,,,14G-066
19-Jul,8:40 AM,Group,UC IRVINE 2,70,pt_U1,,pt_U2,,,,14G-070
19-Jul,9:30 AM,Group,UC IRVINE 2,74,pt_T1,,pt_T2,,,,14G-074
19-Jul,10:20 AM,Group,UC IRVINE 2,78,pt_O1,,pt_O3,,,,14G-078
19-Jul,11:10 AM,Group,UC IRVINE 2,82,pt_P1,,pt_P3,,,,14G-082
19-Jul,12:00 PM,Group,UC IRVINE 2,86,pt_U1,,pt_U3,,,,14G-086
19-Jul,12:50 PM,Group,UC IRVINE 2,90,pt_T1,,pt_T3,,,,14G-090
19-Jul,1:40 PM,Group,UC IRVINE 2,94,pt_O1,,pt_O2,,,,14G-094
19-Jul,2:30 PM,Group,UC IRVINE 2,98,pt_P1,,pt_P2,,,,14G-098
19-Jul,3:20 PM,Group,UC IRVINE 2,102,pt_U2,,pt_U3,,,,14G-102
19-Jul,4:10 PM,Group,UC IRVINE 2,106,pt_T2,,pt_T3,,,,14G-106
19-Jul,6:40 PM,Play-in,UC IRVINE 2,110,3rd pt_O-,,1st pt_U-,,117,138,14G-110
19-Jul,7:30 PM,Play-in,UC IRVINE 2,114,3rd pt_P-,,1st pt_T-,,125,130,14G-114
19-Jul,7:00 AM,Group,GARDEN GROVE HS,63,au_S1,,au_S2,,,,14G-063
19-Jul,7:50 AM,Group,GARDEN GROVE HS,67,au_R1,,au_R2,,,,14G-067
19-Jul,8:40 AM,Group,GARDEN GROVE HS,71,au_M2,,au_M3,,,,14G-071
19-Jul,9:30 AM,Group,GARDEN GROVE HS,75,au_N2,,au_N3,,,,14G-075
19-Jul,10:20 AM,Group,GARDEN GROVE HS,79,au_S1,,au_S3,,,,14G-079
19-Jul,11:10 AM,Group,GARDEN GROVE HS,83,au_R1,,au_R3,,,,14G-083
19-Jul,12:00 PM,Group,GARDEN GROVE HS,87,au_M1,,au_M3,,,,14G-087
19-Jul,12:50 PM,Group,GARDEN GROVE HS,91,au_N1,,au_N3,,,,14G-091
19-Jul,1:40 PM,Group,GARDEN GROVE HS,95,au_S2,,au_S3,,,,14G-095
19-Jul,2:30 PM,Group,GARDEN GROVE HS,99,au_R2,,au_R3,,,,14G-099
19-Jul,3:20 PM,Group,GARDEN GROVE HS,103,au_M1,,au_M2,,,,14G-103
19-Jul,4:10 PM,Group,GARDEN GROVE HS,107,au_N1,,au_N2,,,,14G-107
19-Jul,6:40 PM,Play-in,GARDEN GROVE HS,111,3rd au_M-,,1st au_S-,,131,136,14G-111
19-Jul,7:30 PM,Play-in,GARDEN GROVE HS,115,3rd au_N-,,1st au_R-,,123,128,14G-115
19-Jul,7:00 AM,Group,OCEAN VIEW HS 1,64,au_U1,,au_U2,,,,14G-064
