DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
31-Jan,8:00 AM,BECKMAN HS 2,10B01,B1-CC UNITED BLACK,9,B3-STANFORD RED,8,"bracket, B1/B3",10U_BOYS
31-Jan,8:45 AM,BECKMAN HS 2,10B02,B2-SAN CLEMENTE RED,16,B4-680 BLUE,0,"bracket, B2/B4",10U_BOYS
31-Jan,9:30 AM,BECKMAN HS 2,10B03,A1-LAMORINDA BLUE (A),10,A3-LA PREMIER,1,"bracket, A1/A3",10U_BOYS
31-Jan,10:15 AM,BECKMAN HS 2,10B04,A2-680 RED,14,A4-CC UNITED BLUE,0,"bracket, A2/A4",10U_BOYS
31-Jan,11:00 AM,BECKMAN HS 2,10B05,B1-CC UNITED BLACK,21,B4-680 BLUE,0,"bracket, B1/B4",10U_BOYS
31-Jan,11:45 AM,BECKMAN HS 2,10B06,B2-SAN CLEMENTE RED,14,B3-STANFORD RED,9,"bracket, B2/B3",10U_BOYS
31-Jan,12:30 PM,BECKMAN HS 2,10B07,A1-LAMORINDA BLUE (A),10,A4-CC UNITED BLUE,6,"bracket, A1/A4",10U_BOYS
31-Jan,1:15 PM,BECKMAN HS 2,10B08,A2-680 RED,16,A3-LA PREMIER,4,"bracket, A2/A3",10U_BOYS
1-Feb,8:00 AM,BECKMAN HS 2,10B09,B3-STANFORD RED,12,B4-680 BLUE,0,"bracket, B3/B4",10U_BOYS
1-Feb,8:45 AM,BECKMAN HS 2,10B10,A3-LA PREMIER,2,A4-CC UNITED BLUE,9,"bracket, A3/A4",10U_BOYS
1-Feb,9:30 AM,BECKMAN HS 2,10B11,B1-CC UNITED BLACK,8,B2-SAN CLEMENTE RED,7,"bracket, B1/B2",10U_BOYS
1-Feb,10:15 AM,BECKMAN HS 2,10B12,A1-LAMORINDA BLUE (A),6,A2-680 RED,16,"bracket, A1/A2",10U_BOYS
1-Feb,12:30 PM,BECKMAN HS 2,10B13,4thA-LA PREMIER,11,4thB-680 BLUE,4,7th,10U_BOYS
1-Feb,1:15 PM,BECKMAN HS 2,10B14,3rdA-CC UNITED BLUE,1,3rdB-STANFORD RED,8,5th,10U_BOYS
1-Feb,2:00 PM,WOOLLETT FAR LEFT,10B15,2ndA-LAMORINDA BLUE (A),6,2ndB-SAN CLEMENTE RED,14,3rd,10U_BOYS
1-Feb,2:45 PM,WOOLLETT FAR LEFT,10B16,1stA-680 RED,6,1stB-CC UNITED BLACK,3,1st,10U_BOYS
