DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
31-Jan,8:00 AM,WOOLLETT FAR LEFT,10Cpt01,B1-ORANGE COUNTY WPC BLUE,15,B3-PATRIOT RED,3,"bracket, B1/B3",10U_COED_PLATINUM
31-Jan,8:45 AM,WOOLLETT FAR LEFT,10Cpt02,B2-CHULA VISTA PREMIER,17,B4-LAMORINDA GOLD (B),2,"bracket, B2/B4",10U_COED_PLATINUM
31-Jan,9:30 AM,WOOLLETT FAR LEFT,10Cpt03,A1-CHANNEL ISLANDS UNITED,10,A3-YOLO BLACK,9,"bracket, A1/A3",10U_COED_PLATINUM
31-Jan,10:15 AM,WOOLLETT FAR LEFT,10Cpt04,A2-FOOTHILL RED,2,A4-NORTH IRVINE BLACK,15,"bracket, A2/A4",10U_COED_PLATINUM
31-Jan,12:30 PM,WOOLLETT FAR LEFT,10Cpt05,B1-ORANGE COUNTY WPC BLUE,16,B4-LAMORINDA GOLD (B),3,"bracket, B1/B4",10U_COED_PLATINUM
31-Jan,1:15 PM,WOOLLETT FAR LEFT,10Cpt06,B2-CHULA VISTA PREMIER,18,B3-PATRIOT RED,8,"bracket, B2/B3",10U_COED_PLATINUM
31-Jan,2:00 PM,WOOLLETT FAR LEFT,10Cpt07,A1-CHANNEL ISLANDS UNITED,11,A4-NORTH IRVINE BLACK,12,"bracket, A1/A4",10U_COED_PLATINUM
31-Jan,2:45 PM,WOOLLETT FAR LEFT,10Cpt08,A2-FOOTHILL RED,5,A3-YOLO BLACK,11,"bracket, A2/A3",10U_COED_PLATINUM
1-Feb,9:30 AM,WOOLLETT FAR LEFT,10Cpt09,B3-PATRIOT RED,21,B4-LAMORINDA GOLD (B),6,"bracket, B3/B4",10U_COED_PLATINUM
1-Feb,10:15 AM,WOOLLETT FAR LEFT,10Cpt10,A3-YOLO BLACK,7,A4-NORTH IRVINE BLACK,12,"bracket, A3/A4",10U_COED_PLATINUM
1-Feb,11:00 AM,WOOLLETT FAR LEFT,10Cpt11,B1-ORANGE COUNTY WPC BLUE,18,B2-CHULA VISTA PREMIER,10,"bracket, B1/B2",10U_COED_PLATINUM
1-Feb,11:45 AM,WOOLLETT FAR LEFT,10Cpt12,A1-CHANNEL ISLANDS UNITED,19,A2-FOOTHILL RED,6,"bracket, A1/A2",10U_COED_PLATINUM
1-Feb,2:00 PM,BECKMAN HS 2,10Cpt13,4thA-FOOTHILL RED,15,4thB-LAMORINDA GOLD (B),5,7th,10U_COED_PLATINUM
1-Feb,2:45 PM,BECKMAN HS 2,10Cpt14,3rdA-YOLO BLACK,17,3rdB-PATRIOT RED,4,5th,10U_COED_PLATINUM
1-Feb,3:30 PM,WOOLLETT FAR LEFT,10Cpt15,2ndA-CHANNEL ISLANDS UNITED,9,2ndB-CHULA VISTA PREMIER,8,3rd,10U_COED_PLATINUM
1-Feb,4:15 PM,WOOLLETT FAR LEFT,10Cpt16,1stA-NORTH IRVINE BLACK,8,1stB-ORANGE COUNTY WPC BLUE,4,1st,10U_COED_PLATINUM
