DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
31-Jan,7:50 AM,COSTA MESA HS 2,12C01,A1-CMAC,8,A3-PALOS VERDES,14,"A bracket A1,A3",12U_COED
31-Jan,10:20 AM,BECKMAN HS 1,12C02,B1-POWAY VALLEY,2,B4-LA CITY UNITED,8,"B bracket B1,B4",12U_COED
31-Jan,10:20 AM,COSTA MESA HS 2,12C04,A1-CMAC,12,A2-SET,20,"A bracket A1,A2",12U_COED
31-Jan,11:10 AM,BECKMAN HS 1,12C03,B2-LOYOLA WPC,0,B3-YOLO BLACK,21,"B bracket B2,B3",12U_COED
31-Jan,1:40 PM,BECKMAN HS 1,12C05,B1-POWAY VALLEY,0,B3-YOLO BLACK,13,"B bracket B1,B3",12U_COED
31-Jan,2:30 PM,BECKMAN HS 1,12C06,B2-LOYOLA WPC,2,B4-LA CITY UNITED,8,"B bracket B2,B4",12U_COED
31-Jan,3:20 PM,BECKMAN HS 1,12C07,A2-SET,13,A3-PALOS VERDES,2,"A bracket A2,A3",12U_COED
1-Feb,7:00 AM,TUSTIN HS 2,12C08,B3-YOLO BLACK,16,B4-LA CITY UNITED,4,"B bracket B3,B4",12U_COED
1-Feb,7:50 AM,TUSTIN HS 2,12C09,B1-POWAY VALLEY,12,B2-LOYOLA WPC,3,"B bracket B1,B2",12U_COED
1-Feb,11:10 AM,TUSTIN HS 2,12C10,3rdA-CMAC,16,4thB-LOYOLA WPC,1,5th-7th,12U_COED
1-Feb,12:00 PM,TUSTIN HS 2,12C11,1stA-SET,8,2ndB-LA CITY UNITED,6,1-4 semi,12U_COED
1-Feb,12:50 PM,TUSTIN HS 2,12C12,1stB-YOLO BLACK,20,2ndA-PALOS VERDES,1,1-4 semi,12U_COED
1-Feb,1:40 PM,TUSTIN HS 2,12C13,3rdA-CMAC,2,3rdB-POWAY VALLEY,9,5th-7th,12U_COED
1-Feb,5:50 PM,WOOLLETT FAR RIGHT,12C14,L#11-LA CITY UNITED,15,L#12-PALOS VERDES,8,3rd,12U_COED
1-Feb,5:00 PM,WOOLLETT FAR RIGHT,12C15,W#11-SET,7,W#12-YOLO BLACK,21,1st,12U_COED
