DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
31-Jan,7:00 AM,ESPERANZA HS,14Bau15,7-HIELAND,11.6,26-SOUTH COAST WHITE (B),11.5,W/L H1/H4,14U_BOYS_GOLD
31-Jan,7:50 AM,COSTA MESA HS 1,14Bau01,A1(1)-HONOLULU BLUE,2,A2(16)-SHORE AQUATICS,14,"A bracket A1,A2",14U_BOYS_GOLD
31-Jan,7:50 AM,ESTANCIA HS 2,14Bau14,G1(6)-SD ECA,8,G3(22)-VANGUARD SILVER,13,"G bracket G1,G3",14U_BOYS_GOLD
31-Jan,7:50 AM,ESPERANZA HS,14Bau16,10-SHAQ WHITE,8.3,23-PATRIOT RED,8.2,W/L H2/H3,14U_BOYS_GOLD
31-Jan,8:40 AM,COSTA MESA HS 1,14Bau08,B1(4)-DAVIS,18,B3(20)-LA JOLLA UNITED GOLD,7,"B bracket B1,B3",14U_BOYS_GOLD
31-Jan,8:40 AM,ESTANCIA HS 2,14Bau21,E1(2)-FOOTHILL RED,10.6,E3(18)-CC UNITED BLUE,10.7,"E bracket E1,E3",14U_BOYS_GOLD
31-Jan,9:30 AM,COSTA MESA HS 1,14Bau09,C1(5)-LAWPC,14,C3(21)-STANFORD 13,6,"C bracket C1,C3",14U_BOYS_GOLD
31-Jan,9:30 AM,ESTANCIA HS 2,14Bau22,F2(14)-BOA,6,F3(19)-680 BLUE,17,"F bracket F2,F3",14U_BOYS_GOLD
31-Jan,10:20 AM,COSTA MESA HS 1,14Bau02,8-SAN CLEMENTE RED,13,25-AMERICAN RIVER BLUE,4,W/L D1/D4,14U_BOYS_GOLD
31-Jan,10:20 AM,ESTANCIA HS 2,14Bau18,L#15-SOUTH COAST WHITE (B),7,L#16-PATRIOT RED,8,3rd/4th H,14U_BOYS_GOLD
31-Jan,11:10 AM,COSTA MESA HS 1,14Bau03,9-STANFORD BLACK,6,24-PRIDE RED,12,W/L D2/D3,14U_BOYS_GOLD
31-Jan,11:10 AM,ESTANCIA HS 2,14Bau19,W#15-HIELAND,16,W#16-SHAQ WHITE,10,1st/2nd H,14U_BOYS_GOLD
31-Jan,12:00 PM,COSTA MESA HS 1,14Bau04,A2(16)-SHORE AQUATICS,17,A3(17)-NORTH IRVINE RED,1,"A bracket A2,A3",14U_BOYS_GOLD
31-Jan,12:00 PM,ESTANCIA HS 2,14Bau17,G1(6)-SD ECA,10,G2(11)-LAMORINDA B,12,"G bracket G1,G2",14U_BOYS_GOLD
31-Jan,12:50 PM,COSTA MESA HS 1,14Bau10,B2(13)-BACK BAY,18,B3(20)-LA JOLLA UNITED GOLD,8,"B bracket B2,B3",14U_BOYS_GOLD
31-Jan,12:50 PM,ESTANCIA HS 2,14Bau23,E2(15)-MISSION WPC B,12,E3(18)-CC UNITED BLUE,6,"E bracket E2,E3",14U_BOYS_GOLD
31-Jan,1:40 PM,COSTA MESA HS 1,14Bau11,C1(5)-LAWPC,10,C2(12)-NORTHWEST,11,"C bracket C1,C2",14U_BOYS_GOLD
31-Jan,1:40 PM,ESTANCIA HS 2,14Bau24,F1(3)-CT PREMIER,19,F2(14)-BOA,8,"F bracket F1,F2",14U_BOYS_GOLD
31-Jan,2:30 PM,COSTA MESA HS 1,14Bau05,L#2-AMERICAN RIVER BLUE,10,L#3-STANFORD BLACK,4,3rd/4th D,14U_BOYS_GOLD
31-Jan,2:30 PM,ESTANCIA HS 2,14Bau20,G2(11)-LAMORINDA B,9,G3(22)-VANGUARD SILVER,10,"G bracket G2,G3",14U_BOYS_GOLD
31-Jan,3:20 PM,COSTA MESA HS 1,14Bau06,W#2-SAN CLEMENTE RED,13,W#3-PRIDE RED,7,1st/2nd D,14U_BOYS_GOLD
31-Jan,3:20 PM,ESTANCIA HS 2,14Bau25,E1(2)-FOOTHILL RED,9,E2(15)-MISSION WPC B,16,"E bracket E1,E2",14U_BOYS_GOLD
31-Jan,4:10 PM,COSTA MESA HS 1,14Bau07,A1(1)-HONOLULU BLUE,10.3,A3(17)-NORTH IRVINE RED,10.4,"A bracket A1,A3",14U_BOYS_GOLD
