DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
31-Jan,7:00 AM,LAGUNA HILLS HS,14Gau03,D1-NORTHWEST,10,D4-NORTH IRVINE,11,W/L D1/D4,14U_GIRLS_GOLD
31-Jan,7:00 AM,SAN CLEMENTE HS,14Gau12,A1-LA JOLLA UNITED,18,A2-SANTA CRUZ BLUE,4,"A bracket A1,A2",14U_GIRLS_GOLD
31-Jan,7:50 AM,LAGUNA HILLS HS,14Gau04,D2-SD ECA,8,D3-LAMORINDA C,6,W/L D2/D3,14U_GIRLS_GOLD
31-Jan,8:40 AM,LAGUNA HILLS HS,14Gau09,B2-ROGUE 619,10,B3-BACK BAY,4,"B bracket B2,B3",14U_GIRLS_GOLD
31-Jan,9:30 AM,LAGUNA HILLS HS,14Gau01,C2-GOLD COAST,8,C3-PALOS VERDES,4,W/L C2/C3,14U_GIRLS_GOLD
31-Jan,10:20 AM,LAGUNA HILLS HS,14Gau02,C1-SHAQ,9,C4-CDM NAVY,5,W/L C1/C4,14U_GIRLS_GOLD
31-Jan,10:20 AM,SAN CLEMENTE HS,14Gau10,A2-SANTA CRUZ BLUE,2,A3-PASADENA AC,16,"A bracket A2,A3",14U_GIRLS_GOLD
31-Jan,11:10 AM,LAGUNA HILLS HS,14Gau11,B1-HONOLULU,2,B2-ROGUE 619,12,"B bracket B1,B2",14U_GIRLS_GOLD
31-Jan,12:00 PM,LAGUNA HILLS HS,14Gau08,L#3-NORTHWEST,9,L#4-LAMORINDA C,8,3rd/4thD,14U_GIRLS_GOLD
31-Jan,12:50 PM,LAGUNA HILLS HS,14Gau07,W#3-NORTH IRVINE,13,W#4-SD ECA,11,1st/2ndD,14U_GIRLS_GOLD
31-Jan,1:40 PM,LAGUNA HILLS HS,14Gau13,B1-HONOLULU,5,B3-BACK BAY,8,"B bracket B1,B3",14U_GIRLS_GOLD
31-Jan,1:40 PM,SAN CLEMENTE HS,14Gau14,A1-LA JOLLA UNITED,11,A3-PASADENA AC,14,"A bracket A1,A3",14U_GIRLS_GOLD
31-Jan,2:30 PM,LAGUNA HILLS HS,14Gau05,W#1-GOLD COAST,8,W#2-SHAQ,4,1st/2ndC,14U_GIRLS_GOLD
31-Jan,3:20 PM,LAGUNA HILLS HS,14Gau06,L#1-PALOS VERDES,12,L#2-CDM NAVY,2,3rd/4thC,14U_GIRLS_GOLD
1-Feb,7:00 AM,ESPERANZA HS,14Gau18,3rdB-HONOLULU,8,4thD-LAMORINDA C,5,"9th-14th 3B,4D",14U_GIRLS_GOLD
1-Feb,7:00 AM,SAN CLEMENTE HS,14Gau24,2ndB-BACK BAY,3,2ndC-SHAQ,11,5-8 semi,14U_GIRLS_GOLD
1-Feb,7:50 AM,ESPERANZA HS,14Gau16,3rdA-SANTA CRUZ BLUE,7,3rdD-NORTHWEST,14,"9th-14th 3A,3D",14U_GIRLS_GOLD
1-Feb,7:50 AM,SAN CLEMENTE HS,14Gau23,2ndA-LA JOLLA UNITED,13,2ndD-SD ECA,6,5-8 semi,14U_GIRLS_GOLD
1-Feb,8:40 AM,SAN CLEMENTE HS,14Gau15,1stA-PASADENA AC,12,1stD-NORTH IRVINE,6,1-4 semi,14U_GIRLS_GOLD
1-Feb,9:30 AM,SAN CLEMENTE HS,14Gau17,1stB-ROGUE 619,8,1stC-GOLD COAST,9,1-4 semi,14U_GIRLS_GOLD
1-Feb,10:20 AM,SAN CLEMENTE HS,14Gau26,4thC-CDM NAVY,9,4thD-LAMORINDA C,8,"9th-14th 4C,4D",14U_GIRLS_GOLD
1-Feb,11:10 AM,SAN CLEMENTE HS,14Gau20,3rdC-PALOS VERDES,10,3rdD-NORTHWEST,3,"9th-14th 3C,3D",14U_GIRLS_GOLD
1-Feb,12:00 PM,SAN CLEMENTE HS,14Gau19,4thC-CDM NAVY,6,3rdB-HONOLULU,13,"9th-14th 4C,3B",14U_GIRLS_GOLD
1-Feb,12:50 PM,SAN CLEMENTE HS,14Gau27,W#23-LA JOLLA UNITED,10.3,W#24-SHAQ,10.2,5th,14U_GIRLS_GOLD
1-Feb,1:40 PM,SAN CLEMENTE HS,14Gau28,L#23-SD ECA,8,L#24-BACK BAY,10,7th,14U_GIRLS_GOLD
1-Feb,2:30 PM,SAN CLEMENTE HS,14Gau25,3rdA-SANTA CRUZ BLUE,3,3rdC-PALOS VERDES,13,"9th-14th 3A,3C",14U_GIRLS_GOLD
1-Feb,3:20 PM,SAN CLEMENTE HS,14Gau21,L#15-NORTH IRVINE,9,L#17-ROGUE 619,18,3rd,14U_GIRLS_GOLD
1-Feb,4:10 PM,SAN CLEMENTE HS,14Gau22,W#15-PASADENA AC,9,W#17-GOLD COAST,16,1st,14U_GIRLS_GOLD
