DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
31-Jan,7:00 AM,ALISO NIGUEL HS,14Gpt01,A1-CDM PINK,10,A3-STANFORD,1,"A bracket A1,A3",14U_GIRLS_PLATINUM
31-Jan,7:50 AM,ALISO NIGUEL HS,14Gpt02,B1-CC UNITED BLACK,7,B3-PATRIOT RED,10,"B bracket B1,B3",14U_GIRLS_PLATINUM
31-Jan,8:40 AM,ALISO NIGUEL HS,14Gpt03,C1-SANTA CRUZ BLACK,11,C4-LAMORINDA B,3,"C bracket C1,C4",14U_GIRLS_PLATINUM
31-Jan,9:30 AM,ALISO NIGUEL HS,14Gpt04,A2-DAVIS,5.2,A3-STANFORD,5.4,"A bracket A2,A3",14U_GIRLS_PLATINUM
31-Jan,10:20 AM,ALISO NIGUEL HS,14Gpt05,B2-NEWPORT BEACH,3,B3-PATRIOT RED,9,"B bracket B2,B3",14U_GIRLS_PLATINUM
31-Jan,11:10 AM,ALISO NIGUEL HS,14Gpt06,C3-FOOTHILL RED,5.2,C4-LAMORINDA B,5.3,"C bracket C3,C4",14U_GIRLS_PLATINUM
31-Jan,12:00 PM,ALISO NIGUEL HS,14Gpt07,C1-SANTA CRUZ BLACK,7,C2-SOUTH COAST RED (A),5,"C bracket C1,C2",14U_GIRLS_PLATINUM
31-Jan,12:50 PM,ALISO NIGUEL HS,14Gpt08,A1-CDM PINK,3.5,A2-DAVIS,3.4,"A bracket A1,A2",14U_GIRLS_PLATINUM
31-Jan,1:40 PM,ALISO NIGUEL HS,14Gpt09,B1-CC UNITED BLACK,4,B2-NEWPORT BEACH,1,"B bracket B1,B2",14U_GIRLS_PLATINUM
31-Jan,2:30 PM,ALISO NIGUEL HS,14Gpt10,C2-SOUTH COAST RED (A),11,C3-FOOTHILL RED,5,"C bracket C2,C3",14U_GIRLS_PLATINUM
1-Feb,7:00 AM,ALISO NIGUEL HS,14Gpt11,C2-SOUTH COAST RED (A),5,C4-LAMORINDA B,4,"C bracket C2,C4",14U_GIRLS_PLATINUM
1-Feb,7:50 AM,ALISO NIGUEL HS,14Gpt12,C1-SANTA CRUZ BLACK,13,C3-FOOTHILL RED,3,"C bracket C1,C3",14U_GIRLS_PLATINUM
1-Feb,8:40 AM,ALISO NIGUEL HS,14Gpt13,2ndA-STANFORD,10,3rdB-NEWPORT BEACH,7,5th-10th 2A/3B,14U_GIRLS_PLATINUM
1-Feb,9:30 AM,ALISO NIGUEL HS,14Gpt14,3rdA-DAVIS,5,2ndB-CC UNITED BLACK,2,5th-10th 3A/2B,14U_GIRLS_PLATINUM
1-Feb,10:20 AM,ALISO NIGUEL HS,14Gpt15,1stA-CDM PINK,4.4,2ndC-SOUTH COAST RED (A),4.2,1-4 semi 1A/2C,14U_GIRLS_PLATINUM
1-Feb,11:10 AM,ALISO NIGUEL HS,14Gpt16,1stB-PATRIOT RED,9,1stC-SANTA CRUZ BLACK,12,1-4 semi 1B/1C,14U_GIRLS_PLATINUM
1-Feb,12:50 PM,ALISO NIGUEL HS,14Gpt18,L#13-NEWPORT BEACH,4,3rdC-LAMORINDA B,9,7th-10th,14U_GIRLS_PLATINUM
1-Feb,1:40 PM,ALISO NIGUEL HS,14Gpt20,L#15-SOUTH COAST RED (A),6.2,L#16-PATRIOT RED,6.1,3rd,14U_GIRLS_PLATINUM
1-Feb,2:30 PM,ALISO NIGUEL HS,14Gpt21,W#15-CDM PINK,5,W#16-SANTA CRUZ BLACK,6,1st,14U_GIRLS_PLATINUM
1-Feb,3:20 PM,ALISO NIGUEL HS,14Gpt17,W#13-STANFORD,2,W#14-DAVIS,7,5th,14U_GIRLS_PLATINUM
1-Feb,4:10 PM,ALISO NIGUEL HS,14Gpt19,L#14-CC UNITED BLACK,8,4thC-FOOTHILL RED,6,7th-10th,14U_GIRLS_PLATINUM
