DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
31-Jan,12:30 PM,SADDLEBACK COLLEGE,19Bag01,A1-SHORE AQUATICS,9,A3-SD ECA,11,"A bracket A1,A3",19U_BOYS_SILVER
31-Jan,1:30 PM,SADDLEBACK COLLEGE,19Bag02,B1-CHARGERS WHITE,9,B3-OHANA,6,"B bracket B1,B3",19U_BOYS_SILVER
31-Jan,2:30 PM,SADDLEBACK COLLEGE,19Bag03,A2-OPA,6,A3-SD ECA,14,"A bracket A2,A3",19U_BOYS_SILVER
31-Jan,3:30 PM,SADDLEBACK COLLEGE,19Bag04,B1-CHARGERS WHITE,10,B2-SAN JOSE EXPRESS GOLD,8,"B bracket B1,B2",19U_BOYS_SILVER
31-Jan,4:30 PM,SADDLEBACK COLLEGE,19Bag05,A1-SHORE AQUATICS,10,A2-OPA,8,"A bracket A1,A2",19U_BOYS_SILVER
31-Jan,5:30 PM,SADDLEBACK COLLEGE,19Bag06,B2-SAN JOSE EXPRESS GOLD,5,B3-OHANA,15,"B bracket B2,B3",19U_BOYS_SILVER
1-Feb,8:00 AM,ESTANCIA HS 1,19Bag07,A1-SHORE AQUATICS,7,B2-SAN JOSE EXPRESS GOLD,8,"A1,B2",19U_BOYS_SILVER
1-Feb,9:00 AM,ESTANCIA HS 1,19Bag08,A2-OPA,7,B3-OHANA,10,"A2,B3",19U_BOYS_SILVER
1-Feb,12:00 PM,ESTANCIA HS 1,19Bag09,A3-SD ECA,15,B2-SAN JOSE EXPRESS GOLD,5,"A3,B2",19U_BOYS_SILVER
1-Feb,1:00 PM,ESTANCIA HS 1,19Bag10,A1-SHORE AQUATICS,5,B1-CHARGERS WHITE,9,"A1,B1",19U_BOYS_SILVER
1-Feb,4:00 PM,ESTANCIA HS 1,19Bag11,A2-OPA,5,B1-CHARGERS WHITE,16,"A2,B1",19U_BOYS_SILVER
1-Feb,5:00 PM,ESTANCIA HS 1,19Bag12,A3-SD ECA,17,B3-OHANA,12,"A3,B3",19U_BOYS_SILVER
