"12U BOYS A A1- SD DONS A2- CDM A3- SOCAL A4- LA PREMIER DATE","16 TEAMS B B1-STANFORD B2- RANCHO TSUNAMI B3- SD SHORES B4- LAMORINDA TIME","6 min quarters C C1- MISSION C2- SAN CLEMENTE C3- ROSE BOWL C4- NSD STARS LOCATION","40 games D D1- VANGUARD D2- NORTH IRVINE D3- 908 D4- LA JOLLA GAME#","16+16+8 5 games per team CLICK HERE for TICKETS WHITE","S","CLICK HERE for APPAREL DARK","S","FOLLOW AND TAG! COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"10-Jul","8:00 AM","MARINA HS","12B01","A1- SD DONS","13","A4- LA PREMIER","3","W/L A1/A4","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","8:55 AM","MARINA HS","12B03","A2- CDM","9","A3- SOCAL","2","W/L A2/A3","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","9:50 AM","MARINA HS","12B05","D1- VANGUARD","7","D4- LA JOLLA","4","W/L D1/D4","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","10:45 AM","MARINA HS","12B07","D2- NORTH IRVINE","15","D3- 908","7","W/L D2/D3","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","12:45 PM","MARINA HS","12B09","L#1 - LA PREMIER","6","L#3 - SOCAL","10","3rd/4thA","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","1:40 PM","MARINA HS","12B11","W#1 - SD DONS","19","W#3 - CDM","3","1st/2ndA","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","2:35 PM","MARINA HS","12B13","L#5 - LA JOLLA","10","L#7 - 908","5","3rd/4thD","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","3:30 PM","MARINA HS","12B15","W#5 - VANGUARD","7","W#7 - NORTH IRVINE","9","1st/2ndD","12U_BOYS","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"10-Jul","8:00 AM","EDISON HS","12B02","B1-STANFORD","20","B4- LAMORINDA","6","W/L B1/B4","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","8:55 AM","EDISON HS","12B04","B2- RANCHO TSUNAMI","11","B3- SD SHORES","5","W/L B2/B3","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","9:50 AM","EDISON HS","12B06","C1- MISSION","15","C4- NSD STARS","3","W/L C1/C4","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","10:45 AM","EDISON HS","12B08","C2- SAN CLEMENTE","12","C3- ROSE BOWL","4","W/L C2/C3","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","12:45 PM","EDISON HS","12B10","L#2 - LAMORINDA","12","L#4 - SD SHORES","13","3rd/4thB","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","1:40 PM","EDISON HS","12B12","W#2 - STANFORD","14","W#4 - RANCHO TSUNAMI","8","1st/2ndB","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","2:35 PM","EDISON HS","12B14","L#6 - NSD STARS","9","L#8 - ROSE BOWL","11","3rd/4thC","12U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","3:30 PM","EDISON HS","12B16","W#6 - MISSION","11","W#8 - SAN CLEMENTE","5","1st/2ndC","12U_BOYS","","","","","","","","","","","","","","","",""
"","","","","CLICK HERE for APPAREL","","CLICK HERE for TICKETS","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"11-Jul","8:00 AM","MARINA HS","12B17","1stC - MISSION","10","2ndD - VANGUARD","3","1-8 QF 3v5","12U_BOYS","","","","","","","","","","","","","","","",""
