"14U BOYS A A1- LA JOLLA UNITED A2- 908 A3- LAMORINDA A4- ROUTE 66 DATE","16 TEAMS B B1- NORCAL B2- NEWPORT B3- CC UNITED B4- CDM TIME","7 min quarters C C1- MISSION C2- CIU C3- SD SHORES C4- RANCHO TSUNAMI LOCATION","40 games D D1- SD DONS D2- LA PREMIER D3- COMMERCE D4- NORTH IRVINE GAME#","16+16+8 5 games per team CLICK HERE for TICKETS WHITE","S","CLICK HERE for APPAREL DARK","S","FOLLOW AND TAG! COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"10-Jul","8:00 AM","FULLERTON HS","14B01","A1- LA JOLLA UNITED","7","A4- ROUTE 66","8","W/L A1/A4","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","9:00 AM","FULLERTON HS","14B03","A2- 908","13","A3- LAMORINDA","12","W/L A2/A3","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","10:00 AM","FULLERTON HS","14B05","D1- SD DONS","11","D4- NORTH IRVINE","14","W/L D1/D4","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","11:00 AM","FULLERTON HS","14B07","D2- LA PREMIER","13","D3- COMMERCE","6","W/L D2/D3","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","1:00 PM","FULLERTON HS","14B09","L#1 - LA JOLLA UNITED","8","L#3 - LAMORINDA","14","3rd/4thA","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","2:00 PM","FULLERTON HS","14B11","W#1 - ROUTE 66","8","W#3 - 908","11","1st/2ndA","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","3:00 PM","FULLERTON HS","14B13","L#5 - SD DONS","4","L#7 - COMMERCE","9","3rd/4thD","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","4:00 PM","FULLERTON HS","14B15","W#5 - NORTH IRVINE","7","W#7 - LA PREMIER","10","1st/2ndD","14U_BOYS","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"10-Jul","8:00 AM","YORBA LINDA HS","14B02","B1- NORCAL","12","B4- CDM","7","W/L B1/B4","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","9:00 AM","YORBA LINDA HS","14B04","B2- NEWPORT","15","B3- CC UNITED","11","W/L B2/B3","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","10:00 AM","YORBA LINDA HS","14B06","C1- MISSION","10","C4- RANCHO TSUNAMI","6","W/L C1/C4","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","11:00 AM","YORBA LINDA HS","14B08","C2- CIU","10","C3- SD SHORES","7","W/L C2/C3","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","1:00 PM","YORBA LINDA HS","14B10","L#2 - CDM","9","L#4 - CC UNITED","11","3rd/4thB","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","2:00 PM","YORBA LINDA HS","14B12","W#2 - NORCAL","6","W#4 - NEWPORT","13","1st/2ndB","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","3:00 PM","YORBA LINDA HS","14B14","L#6 - RANCHO TSUNAMI","3","L#8 - SD SHORES","10","3rd/4thC","14U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","4:00 PM","YORBA LINDA HS","14B16","W#6 - MISSION","9","W#8 - CIU","7","1st/2ndC","14U_BOYS","","","","","","","","","","","","","","","",""
"","","","","CLICK HERE for APPAREL","","CLICK HERE for TICKETS","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
