"14U GIRLS A A1-908 WPC A2-ARROYO GRANDE A3-LB SHORE A4-SC ELITE A5-FOOTHILL DATE","5 teams TIME","7 min quarters LOCATION","5+5 GAME ID","CLICK HERE for TICKETS WHITE TEAM","S","CLICK HERE for APPAREL DARK TEAM","S","FOLLOW AND TAG! COMMENTS","DIVISION","",""
"11-Jul","10:00 AM","LA SERNA HS","14G01","A2-ARROYO GRANDE","10","A5-FOOTHILL","5","A bracket 2/5","14U_GIRLS","",""
"11-Jul","11:00 AM","LA SERNA HS","14G02","A1-908 WPC","5","A3-LB SHORE","11","A bracket 1/3","14U_GIRLS","",""
"11-Jul","2:00 PM","LA SERNA HS","14G03","A2-ARROYO GRANDE","13","A4-SC ELITE","6","A bracket 2/4","14U_GIRLS","",""
"11-Jul","3:00 PM","LA SERNA HS","14G04","A3-LB SHORE","8","A5-FOOTHILL","2","A bracket 3/5","14U_GIRLS","",""
"11-Jul","6:00 PM","LA SERNA HS","14G05","A1-908 WPC","11","A4-SC ELITE","5","A bracket 1/4","14U_GIRLS","",""
"","","","","CLICK HERE for TICKETS","","CLICK HERE for APPAREL","","","","",""
"12-Jul","9:00 AM","FULLERTON HS","14G06","A2-ARROYO GRANDE","13","A3-LB SHORE","12","A bracket 2/3","14U_GIRLS","",""
"12-Jul","10:00 AM","FULLERTON HS","14G07","A4-SC ELITE","9","A5-FOOTHILL","11","A bracket 4/5","14U_GIRLS","",""
"12-Jul","12:00 PM","FULLERTON HS","14G08","A1-908 WPC","8","A2-ARROYO GRANDE","13","A bracket 1/2","14U_GIRLS","",""
"12-Jul","1:00 PM","FULLERTON HS","14G09","A3-LB SHORE","15","A4-SC ELITE","8","A bracket 3/4","14U_GIRLS","",""
"12-Jul","2:40 PM","FULLERTON HS","14G10","A1-908 WPC","6","A5-FOOTHILL","11","A bracket 1/5","14U_GIRLS","",""
"","","","","CLICK HERE for TICKETS","","CLICK HERE for APPAREL","","","","",""
"","","","","","","","","1st","ARROYO GRANDE","",""
"","","","","","","","","2nd","LB SHORE","",""
"","","","","","","","","3rd","FOOTHILL","",""
