"16U BOYS BRACKETS A A1-SD SHORES BLACK A2-LB SHORE A3-SAN CANYON DATE","18 TEAMS B B1-LA JOLLA UNITED B2-TROJAN CARDINAL B3-COMMERCE TIME","45 GAMES C C1-BERKELEY WPC C2-LA PREMIER C3-ROSE BOWL LOCATION","18+18+9 D D1-680 D2-VANGUARD D3-NSD STARS GAME#","7 minute quarters E E1-IMPERIAL E2-MISSION E3-SD SHORES GOLD WHITE","F F1-CIU F2-CC UNITED F3-LA JOLLA GOLD S","CLICK HERE for TICKETS DARK","S","CLICK HERE for APPAREL COMMENTS","DIVISION","FOLLOW AND TAG! "
"10-Jul","8:00 AM","EL MODENA HS","16UB01","A1-SD SHORES BLACK","17","A3-SAN CANYON","8","A bracket A1,A3","16U_BOYS",""
"10-Jul","9:00 AM","EL MODENA HS","16UB02","D1-680","23","D3-NSD STARS","12","D bracket D1,D3","16U_BOYS",""
"10-Jul","10:00 AM","EL MODENA HS","16UB03","E1-IMPERIAL","10","E3-SD SHORES GOLD","5","E bracket E1,E3","16U_BOYS",""
"10-Jul","11:00 AM","EL MODENA HS","16UB04","A2-LB SHORE","12","A3-SAN CANYON","15","A bracket A2,A3","16U_BOYS",""
"10-Jul","12:00 PM","EL MODENA HS","16UB05","D2-VANGUARD","17","D3-NSD STARS","5","D bracket D2,D3","16U_BOYS",""
"10-Jul","1:00 PM","EL MODENA HS","16UB06","E2-MISSION","13","E3-SD SHORES GOLD","6","E bracket E2,E3","16U_BOYS",""
"10-Jul","2:00 PM","EL MODENA HS","16UB07","A1-SD SHORES BLACK","19","A2-LB SHORE","3","A bracket A1,A2","16U_BOYS",""
"10-Jul","3:00 PM","EL MODENA HS","16UB08","D1-680","8","D2-VANGUARD","11","D bracket D1,D2","16U_BOYS",""
"10-Jul","4:00 PM","EL MODENA HS","16UB09","E1-IMPERIAL","6","E2-MISSION","10","E bracket E1,E2","16U_BOYS",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION",""
"10-Jul","8:00 AM","BUENA PARK HS","16UB09","B1-LA JOLLA UNITED","20","B3-COMMERCE","8","B bracket B1,B3","16U_BOYS",""
"10-Jul","9:00 AM","BUENA PARK HS","16UB10","C1-BERKELEY WPC","14","C3-ROSE BOWL","11","C bracket C1,C3","16U_BOYS",""
"10-Jul","10:00 AM","BUENA PARK HS","16UB11","F1-CIU","20","F3-LA JOLLA GOLD","7","F bracket F1,F3","16U_BOYS",""
"10-Jul","11:00 AM","BUENA PARK HS","16UB12","B2-TROJAN CARDINAL","16","B3-COMMERCE","11","B bracket B2,B3","16U_BOYS",""
"10-Jul","12:00 PM","BUENA PARK HS","16UB13","C2-LA PREMIER","11","C3-ROSE BOWL","12","C bracket C2,C3","16U_BOYS",""
"10-Jul","1:00 PM","BUENA PARK HS","16UB14","F2-CC UNITED","6","F3-LA JOLLA GOLD","11","F bracket F2,F3","16U_BOYS",""
"10-Jul","2:00 PM","BUENA PARK HS","16UB15","B1-LA JOLLA UNITED","10","B2-TROJAN CARDINAL","9","B bracket B1,B2","16U_BOYS",""
"10-Jul","3:00 PM","BUENA PARK HS","16UB16","C1-BERKELEY WPC","14","C2-LA PREMIER","3","C bracket C1,C2","16U_BOYS",""
"10-Jul","4:00 PM","BUENA PARK HS","16UB17","F1-CIU","9","F2-CC UNITED","7","F bracket F1,F2","16U_BOYS",""
"1-6","1-6","7-12","7-12","13-18","","CLICK HERE for TICKETS","","CLICK HERE for APPAREL","",""
"","","J","K","L","","","","","",""
"","","J1(2ndA)- SAND CANYON","K1(2ndB)- TROJAN","L1(3rdA)- LB SHORE","","","","","",""
"","","J2(2ndD)- 680","K2(2ndC)- ROSE BOWL","L2(3rdD)-NSD STARS","","","","","",""
"","","J3(2ndE)- IMPERIAL","K3(2ndF)- LA JOLLA GOLD","L3(3rdE)- SD SHORES GOLD","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION",""
"11-Jul","8:00 AM","EL MODENA HS","16UB19","G1(1stA)- SD SHORES BLACK","12","G3(1stE)- MISSION","8","G bracket G1,G3","16U_BOYS",""
"11-Jul","9:00 AM","EL MODENA HS","16UB21","H1(1stB)- LA JOLLA UNITED","8","H3(1stF)- CIU","11","H bracket H1,H3","16U_BOYS",""
"11-Jul","10:00 AM","EL MODENA HS","16UB23","L1(3rdA)- LB SHORE","8","L3(3rdE)- SD SHORES GOLD","11","L bracket L1,L3","16U_BOYS",""
"11-Jul","11:00 AM","EL MODENA HS","16UB25","G2(1stD)- VANGUARD","12","G3(1stE)- MISSION","8","G bracket G2,G3","16U_BOYS",""
"11-Jul","12:00 PM","EL MODENA HS","16UB27","H2(1stC)- BERKELEY WPC","9","H3(1stF)- CIU","12","H bracket H2,H3","16U_BOYS",""
"11-Jul","1:00 PM","EL MODENA HS","16UB29","L2(3rdD)- NSD STARS","11","L3(3rdE)- SD SHORES GOLD","12","L bracket L2,L3","16U_BOYS",""
"11-Jul","2:00 PM","EL MODENA HS","16UB31","G1(1stA)- SD SHORES BLACK","15","G2(1stD)- VANGUARD","11","G bracket G1,G2","16U_BOYS",""
"11-Jul","3:00 PM","EL MODENA HS","16UB33","H1(1stB)- LA JOLLA UNITED","14","H2(1stC)- BERKELY WPC","12","H bracket H1,H2","16U_BOYS",""
"11-Jul","4:00 PM","EL MODENA HS","16UB35","L1(3rdA)- LB SHORE","16","L2(3rdD)- NSD STARS","12","L bracket L1,L2","16U_BOYS",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION",""
"11-Jul","8:00 AM","BUENA PARK HS","16UB20","J1(2ndA)- SAND CANYON","7","J3(2ndE)- IMPERIAL","9","J bracket J1,J3","16U_BOYS",""
"11-Jul","9:00 AM","BUENA PARK HS","16UB22","K1(2ndB)- TROJAN","6","K3(2ndF)- LA JOLLA GOLD","10","K bracket K1,K3","16U_BOYS",""
"11-Jul","10:00 AM","BUENA PARK HS","16UB24","M1(3rdB)- COMMERCE","6","M3(3rdF)- CC UNITED","13","M bracket M1,M3","16U_BOYS",""
"11-Jul","11:00 AM","BUENA PARK HS","16UB26","J2(2ndD)-680","9.3","J3(2ndE)- IMPERIAL","9.5","J bracket J2,J3","16U_BOYS",""
"11-Jul","12:00 PM","BUENA PARK HS","16UB28","K2(2ndC)- ROSE BOWL","7","K3(2ndF)- LA JOLLA GOLD","9","K bracket K2,K3","16U_BOYS",""
"11-Jul","1:00 PM","BUENA PARK HS","16UB30","M2(3rdC)- LA PREMIER","11","M3(3rdF)- CC UNITED","12","M bracket M2,M3","16U_BOYS",""
"11-Jul","2:00 PM","BUENA PARK HS","16UB32","J1(2ndA)- SAND CANYON","13","J2(2ndD)- 680","11","J bracket J1,J2","16U_BOYS",""
"11-Jul","3:00 PM","BUENA PARK HS","16UB34","K1(2ndB)- TROJAN","6","K2(2ndC)- ROSE BOWL","13","K bracket K1,K2","16U_BOYS",""
"11-Jul","4:00 PM","BUENA PARK HS","16UB36","M1(3rdB)- COMMERCE","11","M2(3rdC)- LA PREMIER","13","M bracket M1,M2","16U_BOYS",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION",""
"12-Jul","10:10 AM","SERVITE HS","16UB38","1stG- SD SHORES BLACK","13","1stH- CIU","16","1st","16U_BOYS",""
"12-Jul","12:30 PM","GOLDENWEST COLLEGE","16UB37","2ndG- VANGUARD","11","2ndH- LA JOLLA UNITED","10","3rd","16U_BOYS",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION",""
"12-Jul","9:00 AM","EL MODENA HS","16UB39","3rdG- MISSION","8","3rdH- BERKELEY WPC","15","5th","16U_BOYS",""
"12-Jul","10:00 AM","EL MODENA HS","16UB40","1stJ- IMPERIAL","8","1stK- LA JOLLA GOLD","10","7th","16U_BOYS",""
"12-Jul","11:00 AM","EL MODENA HS","16UB41","2ndJ- SAND CANYON","10","2ndK- ROSE BOWL","12","9th","16U_BOYS",""
"12-Jul","12:00 PM","EL MODENA HS","16UB42","3rdJ- 680","11","3rdK-TROJAN","12","11th","16U_BOYS",""
"12-Jul","1:00 PM","EL MODENA HS","16UB43","1stL- SD SHORES GOLD","7","1stM- CC UNITED","10","13th","16U_BOYS",""
"12-Jul","2:00 PM","EL MODENA HS","16UB44","2ndL- LB SHORE","7","2ndM- LA PREMIER","13","15th","16U_BOYS",""
"12-Jul","3:00 PM","EL MODENA HS","16UB45","3rdL- NSD STARS","8","3rdM- COMMERCE","9","17th","16U_BOYS",""
