16U GIRLS,6 teams,7 min quarters,,,,,,,
A,B,,,,,,,,
A,B,,,,,,,,
A1- RANCHO TSUNAMI,B1- LEGACY,,,,,,,,
A2-OVAC,B2-LB VIKING,,,,,,,,
A3- COMMERCE,B3- MID VALLEY,,,CLICK HERE for TICKETS,,CLICK HERE for APPAREL,,FOLLOW AND TAG!,
,,,,,,,,,
,,,,,,,,,
DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMWOMENTS,DIVISION
11-Jul,8:00 AM,LA SERNA HS,16G01,A2-OVAC,18,A3- COMMERCE,7,"A bracket A1,A2",16U_GIRLS
11-Jul,9:00 AM,LA SERNA HS,16G02,B1- LEGACY,7,B2-LB VIKING,13,"B bracket B1,B2",16U_GIRLS
,,,,,,,,,
,,,,,,,,,
11-Jul,12:00 PM,LA SERNA HS,16G03,A1- RANCHO TSUNAMI,14,A3- COMMERCE,4,"A bracket A1,A3",16U_GIRLS
11-Jul,1:00 PM,LA SERNA HS,16G04,B1- LEGACY,8,B3- MID VALLEY,6,"B bracket B1,B3",30+WOMEN
,,,,,,,,,
,,,,,,,,,
11-Jul,4:00 PM,LA SERNA HS,16G05,A1- RANCHO TSUNAMI,6.4,A2-OVAC,6.5,A bracket A12A3,16U_GIRLS
11-Jul,5:00 PM,LA SERNA HS,16G06,B2-LB VIKING,11,B3- MID VALLEY,7,"B bracket B2,B3",30+WOMEN
,,,,CLICK HERE for TICKETS,,CLICK HERE for APPAREL,,,
,,,,,,,,,
,,,,,,,,,
12-Jul,8:00 AM,LA SERNA HS,16G07,2nd A- RANCHO TSUNAMI,11,3rd B- MID VALLEY,9,Semi Final Play In,16U_GIRLS
12-Jul,9:00 AM,LA SERNA HS,16G08,2nd B- LEGACY,16,3rd A- COMMERCE,5,Semi Final Play In,16U_GIRLS
,,,,,,,,,
12-Jul,11:00 AM,LA SERNA HS,16G09,1st B - LB VIKING,9,W  G#07- RANCHO TSUNAMI,7,Semi Final,16U_GIRLS
12-Jul,12:00 PM,LA SERNA HS,16G10,1st A- OVAC,13,W G#08- LEGACY,6,Semi Final,16U_GIRLS
12-Jul,1:00 PM,LA SERNA HS,16G11,L G#07- MID VALLEY,13,L G#08- COMMERCE,3,5th,16U_GIRLS
12-Jul,2:00 PM,LA SERNA HS,16G12,L G#09- RANCHO TSUNAMI,14,L G#10- LEGACY,4,3rd,16U_GIRLS
12-Jul,3:00 PM,LA SERNA HS,16G13,W G#10- OVAC,3,W G#09 - LB VIKING,5,1st,16U_GIRLS
,,,,CLICK HERE for TICKETS,,CLICK HERE for APPAREL,,,
,,,,,,,,1st,LB VIKING
,,,,,,,,2nd,OVAC
,,,,,,,,3rd,RANCHO TSUNAMI
