"18U BOYS A A1-CIU A2-NORTH IRVINE A3- DIABLO ALLIANCE A4- ALAMEDA WPC DATE","16 TEAMS B B1- CC UNITED B2- IMPERIAL B3- LB SHORE B4- COMMERCE TIME","7 min quarters C C1- MISSION C2- LA JOLLA C3- SAND CANYON C4- SUPREME LOCATION","48 games D D1- SD SHORES D2- GREENWICH D3- OLYMPUS D4- FOOTHILL GAME#","8+16+16+8 - 6 games per team CLICK HERE for TICKETS WHITE","S","CLICK HERE for APPAREL DARK","S","FOLLOW AND TAG! COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"9-Jul","4:00 PM","SERVITE HS","18B01","A1-CIU","23","A4- ALAMEDA WPC","3","A bracket A1,A4","18U_BOYS","","","","","","","","","","","","","","","",""
"9-Jul","5:10 PM","SERVITE HS","18B03","A2-NORTH IRVINE","12.7","A3- DIABLO ALLIANCE","12.6","A bracket A2,A3","18U_BOYS","","","","","","","","","","","","","","","",""
"9-Jul","6:20 PM","SERVITE HS","18B05","D1- SD SHORES","14","D4- FOOTHILL","6","D bracket D1,D4","18U_BOYS","","","","","","","","","","","","","","","",""
"9-Jul","7:30 PM","SERVITE HS","18B07","D2- GREENWICH","16","D3- OLYMPUS","12","D bracket D2,D3","18U_BOYS","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"9-Jul","4:00 PM","BUENA PARK HS","18B02","C1- MISSION","18","C4- SUPREME","8","C bracket C1,C4","18U_BOYS","","","","","","","","","","","","","","","",""
"9-Jul","5:10 PM","BUENA PARK HS","18B04","C2- LA JOLLA","13","C3- SAND CANYON","3","C bracket C2,C3","18U_BOYS","","","","","","","","","","","","","","","",""
"9-Jul","6:20 PM","BUENA PARK HS","18B06","B1- CC UNITED","17","B4- COMMERCE","6","B bracket B1,B4","18U_BOYS","","","","","","","","","","","","","","","",""
"9-Jul","7:30 PM","BUENA PARK HS","18B08","B2- IMPERIAL","12.1","B3- LB SHORE","12.4","B bracket B2,B3","18U_BOYS","","","","","","","","","","","","","","","",""
"","","","","CLICK HERE for APPAREL","","CLICK HERE for TICKETS","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"10-Jul","8:00 AM","GOLDEN WEST COLLEGE","18B09","B1- CC UNITED","17","B3- LB SHORE","7","B bracket B1,B3","18U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","9:10 AM","GOLDEN WEST COLLEGE","18B11","B2- IMPERIAL","13","B4- COMMERCE","8","B bracket B2,B4","18U_BOYS","","","","","","","","","","","","","","","",""
"10-Jul","10:20 AM","GOLDEN WEST COLLEGE","18B13","C1- MISSION","12","C3- SAND CANYON","4","C bracket C1,C3","18U_BOYS","","","","","","","","","","","","","","","",""
