"18U GIRLS A A1-LEGACY A2-MID VALLEY A3-FOOTHILL 1st-8th E E1(1stA)- MID VALLEY E2(2ndB)- RANCHO TSUNAMI E3(1stC)- LB VIKING E4(2ndD)-  DATE","12 teams B B1- SD SHORES B2-BULLDOG B3-RANCHO TSUNAMI 1st-8th F F1(1stB)- SD SHORES F2(2ndA)- LEGACY F3(1stD)- 680 F4(2ndC)-  TIME","7 min. qrtrs. C C1- LB VIKING C2-SEASIDE C3-PATRIOT 9th-12th G G1(3rdA)- FOOTHILL G2(3rdB)- BULLDOG G3(3rdC)-  G4(3rdD)- LOCATION","30games D D1- 680 D2-MISSION D3-NORTH IRVINE GAME#","CLICK HERE for TICKETS WHITE","S","CLICK HERE for APPAREL DARK","S","FOLLOW AND TAG! COMMENTS","DIVISION","","","","","","","","","","","","",""
"10-Jul","8:00 AM","FULLERTON COLLEGE","18UG01","A1-LEGACY","12","A3-FOOTHILL","8","A bracket A1,A3","18U_GIRLS","","","","","","","","","","","","",""
"10-Jul","9:10 AM","FULLERTON COLLEGE","18UG03","C1- LB VIKING","18","C3-PATRIOT","5","C bracket C1,C3","18U_GIRLS","","","","","","","","","","","","",""
"10-Jul","11:20 AM","FULLERTON COLLEGE","18UG05","A1-LEGACY","6","A2-MID VALLEY","8","A bracket A1,A2","18U_GIRLS","","","","","","","","","","","","",""
"10-Jul","12:30 PM","FULLERTON COLLEGE","18UG07","C1- LB VIKING","19","C2-SEASIDE","4","C bracket C1,C2","18U_GIRLS","","","","","","","","","","","","",""
"10-Jul","2:30 PM","FULLERTON COLLEGE","18UG09","A2-MID VALLEY","16","A3-FOOTHILL","10","A bracket A2,A3","18U_GIRLS","","","","","","","","","","","","",""
"10-Jul","3:40 PM","FULLERTON COLLEGE","18UG11","C2-SEASIDE","10","C3-PATRIOT","6","C bracket C2,C3","18U_GIRLS","","","","","","","","","","","","",""
"10-Jul","8:00 AM","SUNNY HILLS HS","18UG02","B1- SD SHORES","16","B3-RANCHO TSUNAMI","10","B bracket B1,B3","18U_GIRLS","","","","","","","","","","","","",""
"10-Jul","9:10 AM","SUNNY HILLS HS","18UG04","D1- 680","20","D3-NORTH IRVINE","6","D bracket D1,D3","18U_GIRLS","","","","","","","","","","","","",""
"10-Jul","11:20 AM","SUNNY HILLS HS","18UG06","B1- SD SHORES","12","B2-BULLDOG","5","B bracket B1,B2","18U_GIRLS","","","","","","","","","","","","",""
"10-Jul","12:30 PM","SUNNY HILLS HS","18UG08","D1- 680","11.7","D2-MISSION","11.6","D bracket D1,D2","18U_GIRLS","","","","","","","","","","","","",""
"10-Jul","2:30 PM","SUNNY HILLS HS","18UG10","B2-BULLDOG","6","B3-RANCHO TSUNAMI","8","B bracket B2,B3","18U_GIRLS","","","","","","","","","","","","",""
"10-Jul","3:40 PM","SUNNY HILLS HS","18UG12","D2-MISSION","21","D3-NORTH IRVINE","5","D bracket D2,D3","18U_GIRLS","","","","","","","","","","","","",""
"","","","","CLICK HERE for TICKETS","","CLICK HERE for APPAREL","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","",""
"11-Jul","8:00 AM","FULLERTON COLLEGE","18UG13","E1(1stA)- MID VALLEY","7","E4(2ndD)- MISSION","16","1st-8th E1,E4 (QTRS)","18U_GIRLS","","","","","","","","","","","","",""
"11-Jul","9:10 AM","FULLERTON COLLEGE","18UG14","F2(2ndA)- LEGACY","4","F3(1stD)- 680","9","1st-8th F2,F3 (QTRS)","18U_GIRLS","","","","","","","","","","","","",""
"11-Jul","10:20 AM","FULLERTON COLLEGE","18UG15","F1(1stB)- SD SHORES","17","F4(2ndC)- SEASIDE","7","1st-8th F1,F4 (QTRS)","18U_GIRLS","","","","","","","","","","","","",""
"11-Jul","11:30 AM","FULLERTON COLLEGE","18UG16","E2(2ndB)- RANCHO TSUNAMI","6","E3(1stC)- LB VIKING","14","1st-8th E2,E3 (QTRS)","18U_GIRLS","","","","","","","","","","","","",""
"11-Jul","1:00 PM","FULLERTON COLLEGE","18UG27","W G#13 - MISSION","12","W G#14 - 680","13","1-4 semi","18U_GIRLS","","","","","","","","","","","","",""
"11-Jul","2:10 PM","FULLERTON COLLEGE","18UG28","W G#15- SD SHORES","8","W G#16- LB VIKING","13","1-4 semi","18U_GIRLS","","","","","","","","","","","","",""
"11-Jul","8:00 AM","SUNNY HILLS HS","18UG17","G2(3rdB)- BULLDOG","10","G3(3rdC)- PATRIOT","3","9th-12th","18U_GIRLS","","","","","","","","","","","","",""
"11-Jul","9:10 AM","SUNNY HILLS HS","18UG18","G1(3rdA)- FOOTHILL","19","G4(3rdD)- NORTH IRVINE","9","9th-12th","18U_GIRLS","","","","","","","","","","","","",""
"11-Jul","11:30 AM","SUNNY HILLS HS","18UG21","G1(3rdA)- FOOTHILL","9","G2(3rdB)- BULLDOG","8","9th-12th","18U_GIRLS","","","","","","","","","","","","",""
"11-Jul","12:40 AM","SUNNY HILLS HS","18UG22","G3(3rdC)- PATRIOT","17","G4(3rdD)- NORTH IRVINE","6","9th-12th","18U_GIRLS","","","","","","","","","","","","",""
"11-Jul","2:00 PM","SUNNY HILLS HS","18UG19","L G#13 - MID VALLEY","8.4","L G#14 - LEGACY","8.3","5-8 Semi","18U_GIRLS","","","","","","","","","","","","",""
"11-Jul","3:10 PM","SUNNY HILLS HS","18UG20","L G#15- SEASIDE","5","L G#16 - RANCHO TSUNAMI","9","5-8 Semi","18U_GIRLS","","","","","","","","","","","","",""
"","","","","CLICK HERE for TICKETS","","CLICK HERE for APPAREL","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","",""
"12-Jul","9:00 AM","FULLERTON COLLEGE","18UG25","G2(3rdB)- BULLDOG","18","G4(3rdD)- NORTH IRVINE","6","9th-12th","18U_GIRLS","","","","","","","","","","","","",""
"12-Jul","10:10 AM","FULLERTON COLLEGE","18UG26","G1(3rdA)- FOOTHILL","13","G3(3rdC)- PATRIOT","5","9th-12th","18U_GIRLS","","","","","","","","","","","","",""
"12-Jul","11:20 AM","FULLERTON COLLEGE","18UG24","L G#19 - LEGACY","20","L G#20 - SEASIDE","5","7th","18U_GIRLS","","","","","","","","","","","","",""
"12-Jul","12:30 PM","FULLERTON COLLEGE","18UG23","W G#19 - MID VALLEY","13","W G#20 - RANCHO TSUNAMI","7","5th","18U_GIRLS","","","","","","","","","","","","",""
"12-Jul","11:20 AM","SERVITE","18UG30","W G#27 - 680","12.1","W G#28 - LB VIKING","12.4","1st","18U_GIRLS","","","","","","","","","","","","",""
"12-Jul","1:40 PM","GOLDENWEST","18UG29","L G#27 - MISSION","4","L G#28 - SD SHORES","7","3rd","18U_GIRLS","","","","","","","","","","","","",""
"","","","","CLICK HERE for TICKETS","","CLICK HERE for APPAREL","","","","","","","","","","","","","","","",""
"","","","","","","","","1st","LB VIKING","","","","","","","","","","","","",""
"","","","","","","","","2nd","680","","","","","","","","","","","","",""
"","","","","","","","","3rd","SD SHORES","","","","","","","","","","","","",""
