Date,Time,Type,Location,Gm #,White,White Score,Dark,Dark Score,GMID
01-May-2026,3:00 PM,F bracket,THE BISHOP'S SCHOOL 1,1,F1 - Stanford,4,F2 - San Clemente Red,12,SDC-10u-boys-1
01-May-2026,3:00 PM,A bracket,THE BISHOP'S SCHOOL 2,7,A2 - Greenwich,5,A3 - CDM Boys,7,SDC-10u-boys-7
01-May-2026,3:45 PM,C bracket,THE BISHOP'S SCHOOL 1,2,C1 - 908 Yellow,18,C3 - ORWP,3,SDC-10u-boys-2
01-May-2026,3:45 PM,D bracket,THE BISHOP'S SCHOOL 2,8,D2 - Temple City,11,D3 - 908 Blue,2,SDC-10u-boys-8
01-May-2026,4:30 PM,B bracket,THE BISHOP'S SCHOOL 1,3,B1 - Newport,17,B2 - SOCAL Black,2,SDC-10u-boys-3
01-May-2026,4:30 PM,E bracket,THE BISHOP'S SCHOOL 2,9,E1 - Commerce,15,E3 - San Clemente Black,3,SDC-10u-boys-9
01-May-2026,5:15 PM,F bracket,THE BISHOP'S SCHOOL 1,4,F1 - Stanford,18,F3 - Lamorinda Gold,2,SDC-10u-boys-4
01-May-2026,5:15 PM,A bracket,THE BISHOP'S SCHOOL 2,10,A1 - SD Dons Red,13,A3 - CDM Boys,5,SDC-10u-boys-10
01-May-2026,6:00 PM,C bracket,THE BISHOP'S SCHOOL 1,5,C2 - YOLO Boys,5,C3 - ORWP,16,SDC-10u-boys-5
01-May-2026,6:00 PM,D bracket,THE BISHOP'S SCHOOL 2,11,D1 - CC United A,14,D3 - 908 Blue,1,SDC-10u-boys-11
01-May-2026,6:45 PM,B bracket,THE BISHOP'S SCHOOL 1,6,B2 - SOCAL Black,13,B3 - CC United B,4,SDC-10u-boys-6
01-May-2026,6:45 PM,E bracket,THE BISHOP'S SCHOOL 2,12,E1 - Commerce,15,E2 - Lamorinda Blue,5,SDC-10u-boys-12
02-May-2026,11:45 AM,L bracket,THE BISHOP'S SCHOOL 1,16,L1 - CC United B,15,L2 - YOLO Boys,11,SDC-10u-boys-16
02-May-2026,11:45 AM,K bracket,THE BISHOP'S SCHOOL 2,28,K2 - 908 Blue,6,K3 - San Clemente Black,11,SDC-10u-boys-28
02-May-2026,12:30 PM,J bracket,THE BISHOP'S SCHOOL 1,17,J1 - SOCAL Black,7,J2 - ORWP,5,SDC-10u-boys-17
02-May-2026,12:30 PM,I bracket,THE BISHOP'S SCHOOL 2,29,I2 - CC United A,15,I3 - Lamorinda Blue,6,SDC-10u-boys-29
02-May-2026,1:15 PM,H bracket,THE BISHOP'S SCHOOL 1,18,H1 - Newport,12,H2 - 908 Yellow,8,SDC-10u-boys-18
02-May-2026,1:15 PM,G bracket,THE BISHOP'S SCHOOL 2,30,G2 - Temple City,6,G3 - Commerce,13,SDC-10u-boys-30
02-May-2026,2:00 PM,L bracket,THE BISHOP'S SCHOOL 1,19,L1 - CC United B,15,L3 - Lamorinda Gold,7,SDC-10u-boys-19
02-May-2026,2:00 PM,K bracket,THE BISHOP'S SCHOOL 2,31,K1 - Greenwich,20,K3 - San Clemente Black,6,SDC-10u-boys-31
02-May-2026,2:45 PM,J bracket,THE BISHOP'S SCHOOL 1,20,J1 - SOCAL Black,7,J3 - Stanford,6,SDC-10u-boys-20
02-May-2026,2:45 PM,I bracket,THE BISHOP'S SCHOOL 2,32,I1 - CDM Boys,12,I3 - Lamorinda Blue,4,SDC-10u-boys-32
02-May-2026,3:30 PM,H bracket,THE BISHOP'S SCHOOL 1,21,H1 - Newport,15,H3 - San Clemente Red,5,SDC-10u-boys-21
02-May-2026,3:30 PM,G bracket,THE BISHOP'S SCHOOL 2,33,G1 - SD Dons Red,12,G3 - Commerce,5,SDC-10u-boys-33
02-May-2026,4:15 PM,L bracket,THE BISHOP'S SCHOOL 1,22,L2 - YOLO Boys,16,L3 - Lamorinda Gold,4,SDC-10u-boys-22
02-May-2026,4:15 PM,K bracket,THE BISHOP'S SCHOOL 2,34,K1 - Greenwich,19,K2 - 908 Blue,1,SDC-10u-boys-34
02-May-2026,5:00 PM,J bracket,THE BISHOP'S SCHOOL 1,23,J2 - ORWP,1,J3 - Stanford,8,SDC-10u-boys-23
02-May-2026,5:00 PM,I bracket,THE BISHOP'S SCHOOL 2,35,I1 - CDM Boys,4,I2 - CC United A,10,SDC-10u-boys-35
02-May-2026,5:45 PM,H bracket,THE BISHOP'S SCHOOL 1,24,H2 - 908 Yellow,15,H3 - San Clemente Red,5,SDC-10u-boys-24
02-May-2026,5:45 PM,G bracket,THE BISHOP'S SCHOOL 2,36,G1 - SD Dons Red,12,G2 - Temple City,2,SDC-10u-boys-36
02-May-2026,8:00 AM,C bracket,THE BISHOP'S SCHOOL 1,13,C1 - 908 Yellow,21,C2 - YOLO Boys,0,SDC-10u-boys-13
02-May-2026,8:00 AM,D bracket,THE BISHOP'S SCHOOL 2,25,D1 - CC United A,7,D2 - Temple City,10,SDC-10u-boys-25
