Date,Time,Type,Location,Gm #,White,White Score,Dark,Dark Score,GMID
01-May-2026,3:00 PM,A bracket,KROC CENTER,1,A1 - Newport Blue,16,A3 - OCWPC,1,SDC-12u-girls-division-1-1
01-May-2026,3:45 PM,C bracket,KROC CENTER,2,C1 - San Clemente Red,14,C4 - Los Al Opal,1,SDC-12u-girls-division-1-2
01-May-2026,4:30 PM,D bracket,KROC CENTER,3,D2 - Greenwich,8,D3 - Foothill,10,SDC-12u-girls-division-1-3
01-May-2026,5:15 PM,B bracket,KROC CENTER,4,B2 - SD Shores,4,B3 - Santa Barbara,5,SDC-12u-girls-division-1-4
01-May-2026,6:00 PM,A bracket,KROC CENTER,5,A2 - Stanford,8,A3 - OCWPC,5,SDC-12u-girls-division-1-5
01-May-2026,6:45 PM,B bracket,KROC CENTER,6,B1 - Lamorinda Blue,7,B4 - South Coast Red,10,SDC-12u-girls-division-1-6
01-May-2026,7:30 PM,D bracket,KROC CENTER,7,D1 - Commerce,7,D4 - La Jolla United,5,SDC-12u-girls-division-1-7
01-May-2026,8:15 PM,C bracket,KROC CENTER,8,C2 - Back Bay,11,C3 - 680 WPC,2,SDC-12u-girls-division-1-8
02-May-2026,10:15 AM,B bracket,SANTANA HS,27,B4 - South Coast Red,5,B3 - Santa Barbara,6,SDC-12u-girls-division-1-27
02-May-2026,11:00 AM,J bracket,KROC CENTER,12,J2 - 680 WPC,11,J3 - Lamorinda Blue,1,SDC-12u-girls-division-1-12
02-May-2026,11:00 AM,I bracket,SANTANA HS,28,I1 - SD Shores,12,I2 - Greenwich,8,SDC-12u-girls-division-1-28
02-May-2026,11:45 AM,J bracket,KROC CENTER,13,J1 - OCWPC,8,J4 - La Jolla United,7,SDC-12u-girls-division-1-13
02-May-2026,12:30 PM,E bracket,KROC CENTER,14,E1 - Newport Blue,10,E2 - San Clemente Red,3,SDC-12u-girls-division-1-14
02-May-2026,1:15 PM,G bracket,KROC CENTER,15,G1 - Back Bay,5,G2 - Stanford,3,SDC-12u-girls-division-1-15
02-May-2026,2:00 PM,H bracket,KROC CENTER,16,H1 - Commerce,10,H2 - South Coast Red,4,SDC-12u-girls-division-1-16
02-May-2026,2:45 PM,F bracket,KROC CENTER,17,F1 - Santa Barbara,4,F2 - Foothill,1,SDC-12u-girls-division-1-17
02-May-2026,3:30 PM,I bracket,KROC CENTER,18,I2 - Greenwich,12,I3 - Los Al Opal,4,SDC-12u-girls-division-1-18
02-May-2026,4:15 PM,J bracket,KROC CENTER,19,J3 - Lamorinda Blue,2,J4 - La Jolla United,5,SDC-12u-girls-division-1-19
02-May-2026,5:00 PM,J bracket,KROC CENTER,20,J2 - 680 WPC,9,J1 - OCWPC,7,SDC-12u-girls-division-1-20
02-May-2026,5:45 PM,I bracket,KROC CENTER,21,I1 - SD Shores,14,I3 - Los Al Opal,5,SDC-12u-girls-division-1-21
02-May-2026,6:30 PM,Tournament game,KROC CENTER,22,San Clemente Red,15,South Coast Red,5,SDC-12u-girls-division-1-22
02-May-2026,7:15 PM,Tournament game,KROC CENTER,23,Stanford,12,Foothill,3,SDC-12u-girls-division-1-23
02-May-2026,8:00 AM,C bracket,KROC CENTER,9,C4 - Los Al Opal,4,C3 - 680 WPC,14,SDC-12u-girls-division-1-9
02-May-2026,8:00 AM,B bracket,SANTANA HS,24,B1 - Lamorinda Blue,2,B2 - SD Shores,9,SDC-12u-girls-division-1-24
02-May-2026,8:45 AM,A bracket,KROC CENTER,10,A1 - Newport Blue,6,A2 - Stanford,0,SDC-12u-girls-division-1-10
02-May-2026,8:45 AM,D bracket,SANTANA HS,25,D4 - La Jolla United,4,D2 - Greenwich,13,SDC-12u-girls-division-1-25
02-May-2026,9:30 AM,C bracket,KROC CENTER,11,C1 - San Clemente Red,5,C2 - Back Bay,9,SDC-12u-girls-division-1-11
02-May-2026,9:30 AM,D bracket,SANTANA HS,26,D1 - Commerce,12,D3 - Foothill,3,SDC-12u-girls-division-1-26
03-May-2026,10:15 AM,9th,KROC CENTER,32,SD Shores,4,680 WPC,5,SDC-12u-girls-division-1-32
03-May-2026,11:00 AM,11th,KROC CENTER,33,Greenwich,7,OCWPC,13,SDC-12u-girls-division-1-33
03-May-2026,11:45 AM,Tournament game,KROC CENTER,34,Los Al Opal,4,Lamorinda Blue,8,SDC-12u-girls-division-1-34
03-May-2026,12:35 PM,3rd,SOUTHWESTERN COLLEGE 3,37,Commerce,11,Santa Barbara,4,SDC-12u-girls-division-1-37
03-May-2026,1:25 PM,1st,SOUTHWESTERN COLLEGE 3,38,Newport Blue,11,Back Bay,3,SDC-12u-girls-division-1-38
03-May-2026,8:00 AM,Tournament game,KROC CENTER,29,Los Al Opal,3,La Jolla United,4,SDC-12u-girls-division-1-29
03-May-2026,8:00 AM,Semifinal,SOUTHWESTERN COLLEGE 3,35,Newport Blue,14,Commerce,4,SDC-12u-girls-division-1-35
03-May-2026,8:45 AM,7th,KROC CENTER,30,South Coast Red,7,Foothill,8,SDC-12u-girls-division-1-30
03-May-2026,8:45 AM,Semifinal,SOUTHWESTERN COLLEGE 3,36,Back Bay,8,Santa Barbara,4,SDC-12u-girls-division-1-36
03-May-2026,9:30 AM,5th,KROC CENTER,31,San Clemente Red,11,Stanford,7,SDC-12u-girls-division-1-31
