Date,Time,Type,Location,Gm #,White,White Score,Dark,Dark Score,GMID
01-May-2026,4:30 PM,B bracket,VALHALLA HS,1,B2 - Crown City,4,B3 - Stanford White,22,SDC-14u-boys-division-3-1
01-May-2026,5:15 PM,B bracket,VALHALLA HS,2,B1 - NSD Stars,17,B4 - Rose Bowl Black,4,SDC-14u-boys-division-3-2
01-May-2026,6:00 PM,C bracket,VALHALLA HS,3,C2 - CDM White,10,C3 - ECA B,3,SDC-14u-boys-division-3-3
01-May-2026,6:45 PM,D bracket,VALHALLA HS,4,D2 - LACUWP,12,D3 - Santa Barbara,4,SDC-14u-boys-division-3-4
01-May-2026,7:30 PM,A bracket,MEMORIAL POOL,6,A2 - NGen,6,A3 - San Clemente Black,16,SDC-14u-boys-division-3-6
01-May-2026,7:30 PM,C bracket,SANTANA HS,8,C1 - SET,3,C4 - Sharks,12,SDC-14u-boys-division-3-8
01-May-2026,8:15 PM,D bracket,VALHALLA HS,5,D1 - Norcal Aquatics B,16,D4 - Trilogy,3,SDC-14u-boys-division-3-5
01-May-2026,8:15 PM,A bracket,MEMORIAL POOL,7,A1 - Loyola,16,A4 - Valley United,5,SDC-14u-boys-division-3-7
02-May-2026,10:15 AM,D bracket,WEST HILLS HS,12,D1 - Norcal Aquatics B,3,D2 - LACUWP,5,SDC-14u-boys-division-3-12
02-May-2026,11:00 AM,A bracket,WEST HILLS HS,13,A4 - Valley United,18,A2 - NGen,8,SDC-14u-boys-division-3-13
02-May-2026,11:45 AM,C bracket,WEST HILLS HS,14,C1 - SET,3,C3 - ECA B,4,SDC-14u-boys-division-3-14
02-May-2026,12:30 PM,B bracket,WEST HILLS HS,15,B4 - Rose Bowl Black,13,B2 - Crown City,6,SDC-14u-boys-division-3-15
02-May-2026,12:30 PM,E bracket,SANTANA HS,25,E1 - San Clemente Black,11,E2 - Sharks,3,SDC-14u-boys-division-3-25
02-May-2026,1:15 PM,D bracket,WEST HILLS HS,16,D4 - Trilogy,7,D3 - Santa Barbara,15,SDC-14u-boys-division-3-16
02-May-2026,1:15 PM,H bracket,SANTANA HS,26,H1 - LACUWP,10,H2 - Stanford White,2,SDC-14u-boys-division-3-26
02-May-2026,2:00 PM,I bracket,WEST HILLS HS,17,I1 - Valley United,14,I2 - SET,7,SDC-14u-boys-division-3-17
02-May-2026,2:00 PM,F bracket,SANTANA HS,27,F1 - NSD Stars,10,F2 - Norcal Aquatics B,3,SDC-14u-boys-division-3-27
02-May-2026,2:45 PM,K bracket,WEST HILLS HS,18,K1 - ECA B,5,K2 - NGen,9,SDC-14u-boys-division-3-18
02-May-2026,2:45 PM,G bracket,SANTANA HS,28,G1 - CDM White,11,G2 - Loyola,2,SDC-14u-boys-division-3-28
02-May-2026,3:30 PM,J bracket,WEST HILLS HS,19,J1 - Rose Bowl Black,4,J2 - Trilogy,6,SDC-14u-boys-division-3-19
02-May-2026,4:15 PM,L bracket,WEST HILLS HS,20,L1 - Santa Barbara,16,L2 - Crown City,2,SDC-14u-boys-division-3-20
02-May-2026,4:15 PM,Tournament game,SANTANA HS,29,Sharks,8,Stanford White,7,SDC-14u-boys-division-3-29
02-May-2026,5:00 PM,Tournament game,SANTANA HS,30,Norcal Aquatics B,11,Loyola,2,SDC-14u-boys-division-3-30
02-May-2026,5:45 PM,Tournament game,WEST HILLS HS,21,Rose Bowl Black,12,ECA B,3,SDC-14u-boys-division-3-21
02-May-2026,5:45 PM,Semifinal,SANTANA HS,31,San Clemente Black,3,LACUWP,10,SDC-14u-boys-division-3-31
02-May-2026,6:30 PM,Tournament game,WEST HILLS HS,22,Trilogy,8,NGen,11,SDC-14u-boys-division-3-22
02-May-2026,6:30 PM,Semifinal,SANTANA HS,32,NSD Stars,7,CDM White,4,SDC-14u-boys-division-3-32
02-May-2026,7:15 PM,Tournament game,WEST HILLS HS,23,SET,11,Crown City,5,SDC-14u-boys-division-3-23
02-May-2026,8:00 AM,C bracket,WEST HILLS HS,9,C4 - Sharks,4,C2 - CDM White,8,SDC-14u-boys-division-3-9
02-May-2026,8:00 PM,Tournament game,WEST HILLS HS,24,Valley United,9,Santa Barbara,13,SDC-14u-boys-division-3-24
02-May-2026,8:45 AM,A bracket,WEST HILLS HS,10,A1 - Loyola,5,A3 - San Clemente Black,9,SDC-14u-boys-division-3-10
02-May-2026,9:30 AM,B bracket,WEST HILLS HS,11,B1 - NSD Stars,9,B3 - Stanford White,6,SDC-14u-boys-division-3-11
03-May-2026,10:15 AM,1st,SANTANA HS,36,LACUWP,8,NSD Stars,10,SDC-14u-boys-division-3-36
03-May-2026,11:00 AM,9th,SANTANA HS,37,NGen,0,Santa Barbara,16,SDC-14u-boys-division-3-37
03-May-2026,11:45 AM,11th,SANTANA HS,38,Trilogy,9,Valley United,13,SDC-14u-boys-division-3-38
03-May-2026,12:30 PM,13th,SANTANA HS,39,Rose Bowl Black,8,SET,5,SDC-14u-boys-division-3-39
03-May-2026,1:15 PM,15th,SANTANA HS,40,ECA B,6,Crown City,4,SDC-14u-boys-division-3-40
03-May-2026,8:00 AM,7th,SANTANA HS,33,Stanford White,9,Loyola,4,SDC-14u-boys-division-3-33
03-May-2026,8:45 AM,5th,SANTANA HS,34,Sharks,2,Norcal Aquatics B,11,SDC-14u-boys-division-3-34
03-May-2026,9:30 AM,3rd,SANTANA HS,35,San Clemente Black,8,CDM White,7,SDC-14u-boys-division-3-35
