10U COED PLATINUM & GOLD,9 teams,5 min. qrtrs.,9+9,,,,,,
HOT! RESULTS,RESULTS FEED,SUBMIT SCORES LOGIN,,,,,,,
A,B,C,,,,,,,
A1-NBWP BLUE COED pt,B1-NORTH IRVINE BLACK COED pt,C1-LA JOLLA UNITED au,,,,,,,
A2-SOUTH COAST RED au,B2-680 RED au,C2-TSUNAMI au,,,,,,,
A3-LONG BEACH VIKING au,B3-LAMORINDA au,C3-ORANGE COUNTY WPC au,,,,,,,
,,,,,,,,,
D,E,F,,,,,,,
D1(3rdA)-SOUTH COAST RED au,E1(2ndA)-LONG BEACH VIKING au,F1(1stA)-NBWP BLUE COED pt,,,,,,,
D2(3rdB)-680 RED au,E2(2ndB)-LAMORINDA au,F2(1stB)-NORTH IRVINE BLACK COED pt,,,,,,,
D3(3rdC)-TSUNAMI au,E3(2ndC)-LA JOLLA UNITED au,F3(1stC)-ORANGE COUNTY WPC au,,,,,,,
,,,,,,,,,
DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
4-Oct,7:00 AM,WOOLLETT FAR LEFT,10Cptau01,C2-TSUNAMI au,3,C3-ORANGE COUNTY WPC au,14,C bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,7:50 AM,WOOLLETT FAR LEFT,10Cptau02,B1-NORTH IRVINE BLACK COED pt,17,B3-LAMORINDA au,11,B bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,8:40 AM,WOOLLETT FAR LEFT,10Cptau03,A2-SOUTH COAST RED au,8,A3-LONG BEACH VIKING au,14,A bracket,10U_COED_PLATINUM_&_GOLD
,,,,,,,,,
4-Oct,11:10 AM,WOOLLETT FAR LEFT,10Cptau04,C1-LA JOLLA UNITED au,9,C3-ORANGE COUNTY WPC au,18,C bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,12:00 PM,WOOLLETT FAR LEFT,10Cptau05,B1-NORTH IRVINE BLACK COED pt,17,B2-680 RED au,2,B bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,12:50 PM,WOOLLETT FAR LEFT,10Cptau06,A1-NBWP BLUE COED pt,13,A3-LONG BEACH VIKING au,2,A bracket,10U_COED_PLATINUM_&_GOLD
,,,,,,,,,
4-Oct,3:20 PM,WOOLLETT FAR LEFT,10Cptau07,C1-LA JOLLA UNITED au,14,C2-TSUNAMI au,2,C bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,4:10 PM,WOOLLETT FAR LEFT,10Cptau08,B2-680 RED au,13.1,B3-LAMORINDA au,13.3,B bracket,10U_COED_PLATINUM_&_GOLD
4-Oct,5:00 PM,WOOLLETT FAR LEFT,10Cptau09,A1-NBWP BLUE COED pt,13,A2-SOUTH COAST RED au,2,A bracket,10U_COED_PLATINUM_&_GOLD
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5-Oct,8:40 AM,WOOLLETT FAR LEFT,10Cptau10,D1(3rdA)-SOUTH COAST RED au,16,D3(3rdC)-TSUNAMI au,9,D bracket (7th-9th),10U_COED_PLATINUM_&_GOLD
5-Oct,9:30 AM,WOOLLETT FAR LEFT,10Cptau11,E1(2ndA)-LONG BEACH VIKING au,12,E3(2ndC)-LA JOLLA UNITED au,7,E bracket (4th-6th),10U_COED_PLATINUM_&_GOLD
5-Oct,10:20 AM,WOOLLETT FAR LEFT,10Cptau12,F1(1stA)-NBWP BLUE COED pt,17,F3(1stC)-ORANGE COUNTY WPC au,4,F bracket (1st-3rd),10U_COED_PLATINUM_&_GOLD
,,,,,,,,,
5-Oct,12:50 PM,BECKMAN HS 2,10Cptau13,E2(2ndB)-LAMORINDA au,9,E3(2ndC)-LA JOLLA UNITED au,3,E bracket (4th-6th),10U_COED_PLATINUM_&_GOLD
5-Oct,12:50 PM,WOOLLETT FAR LEFT,10Cptau15,F2(1stB)-NORTH IRVINE BLACK COED pt,8,F3(1stC)-ORANGE COUNTY WPC au,10,F bracket (1st-3rd),10U_COED_PLATINUM_&_GOLD
5-Oct,1:40 PM,BECKMAN HS 2,10Cptau14,D2(3rdB)-680 RED au,17,D3(3rdC)-TSUNAMI au,1,D bracket (7th-9th),10U_COED_PLATINUM_&_GOLD
,,,,,,,,,
5-Oct,3:20 PM,WOOLLETT FAR LEFT,10Cptau17,E1(2ndA)-LONG BEACH VIKING au,10,E2(2ndB)-LAMORINDA au,13,E bracket (4th-6th),10U_COED_PLATINUM_&_GOLD
5-Oct,4:10 PM,BECKMAN HS 2,10Cptau16,D1(3rdA)-SOUTH COAST RED au,5,D2(3rdB)-680 RED au,16,D bracket (7th-9th),10U_COED_PLATINUM_&_GOLD
5-Oct,4:10 PM,WOOLLETT FAR LEFT,10Cptau18,F1(1stA)-NBWP BLUE COED pt,15,F2(1stB)-NORTH IRVINE BLACK COED pt,2,F bracket (1st-3rd),10U_COED_PLATINUM_&_GOLD
,,,,,,,,,
,,,,,,,,PLATINUM,
,,,,,,,,1st,NBWP BLUE COED pt
,,,,,,,,2nd,NORTH IRVINE BLACK COED pt
,,,,,,,,,
,,,,,,,,,
,,,,,,,,GOLD,
,,,,,,,,1st,ORANGE COUNTY WPC au
,,,,,,,,2nd,LAMORINDA au
,,,,,,,,3rd,LONG BEACH VIKING au
