14U BOYS GOLD,23 teams,6 min. qrtrs.,25+24,,,,,,,
HOT! RESULTS,RESULTS FEED,SUBMIT SCORES LOGIN,,,,,,,,
A,B,C,D,E,F,,,,,
1,4,5,2,3,6,,,,,
12,9,8,11,10,7,,,,,
13,16,17,14,15,18,,,,,
,21,20,23,22,19,,,,,
,,,,,,,,,,
A,B,C,D,E,F,,,,,
A1(1)-LAWPC,4-SAN CLEMENTE RED,5-TITANS,2-ELITE,3-SHORE AQUATICS,6-BACK BAY,,,,,
A2(12)-680 BLUE,9-PAC ORANGE,8-PALOS VERDES BLACK,11-680 WHITE,10-ROSE BOWL RED,7-FOOTHILL RED,,,,,
A3(13)-STANFORD BLACK,16-NBWP WHITE,17-CCU BLUE,14-SD SHORES GOLD,15-MISSION WPC B,18-VANGUARD SILVER,,,,,
,21-LA JOLLA UNITED GOLD,20-DIABLO ALLIANCE BLACK,23-PRIDE 13,22-TSUNAMI BLUE,19-SOUTH COAST WHITE,,,,,
,,,,,,,,,,
G (1st-6th),H (1st-6th),I (7th-12th),J (7th-12th),K (13th-18th),L (13th-18th),M (19th-23rd) 2 games each,,,,
G1(1stA)-LAWPC,H1(1stD)-ELITE,I1(2ndA)-680 BLUE,J1(2ndD)-SHORES GOLD,K1(3rdA)-STANFORD BLACK,L1(3rdD)-PRIDE 13,M1(4thF)-SOUTH COAST WHITE,M1(4thF)-SOUTH COAST WHITE,M5(4thD)-680 WHITE,,
G2(1stB)-SAN CLEMENTE RED,H2(1stE)-SHORE AQUATICS,I2(2ndB)-NBWP WHITE,J2(2ndE-MISSION WPC B,K2(3rdB)-LA JOLLA UNITED GOLD,L2(3rdE)-TSUNAMI BLUE,M2(4thC)-DIABLO ALLIANCE BLACK,M2(4thC)-DIABLO ALLIANCE BLACK,M4(4thE)-ROSE BOWL RED,,
G2(1stC)-PALOS VERDES BLACK,H3(1stF)-VANGUARD SILVER,I3(2ndC)-TITANS,J3(2ndF)-BACK BAY,K3(3rdC)-CCU BLUE,L3(3rdF)-FOOTHILL RED,M3(4thB)-PAC ORANGE,,,,
RR,RR,RR,RR,RR,RR,M4(4thE)-ROSE BOWL RED,M1(4thF)-SOUTH COAST WHITE,M3(4thB)-PAC ORANGE,,
,,,,,,M5(4thD)-680 WHITE,M2(4thC)-DIABLO ALLIANCE BLACK,M5(4thD)-680 WHITE,,
N Overall 3rd,O Overall 1st,P Overall 5th,,,,,,,,
N1(2ndG)-SAN CLEMENTE RED,O1(1stG)-PALOS VERDES BLACK,P1(3rdG)-LAWPC,,,,,M3(4thB)-PAC ORANGE,M4(4thE)-ROSE BOWL RED,,
N2(2ndH)-ELITE,O2(1stH)-SHORE AQUATICS,P2(3rdH)-VANGUARD SILVER,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION,
4-Oct,8:00 AM,COSTA MESA HS 1,14Bau11,A1(1)-LAWPC,19,A3(13)-STANFORD BLACK,8,"A bracket A1,A3",14U_BOYS_GOLD,
4-Oct,8:50 AM,COSTA MESA HS 1,14Bau01,5-TITANS,15,20-DIABLO ALLIANCE BLACK,2,W/L C1/C4,14U_BOYS_GOLD,
4-Oct,9:40 AM,COSTA MESA HS 1,14Bau03,8-PALOS VERDES BLACK,12,17-CCU BLUE,4,W/L C2/C3,14U_BOYS_GOLD,
4-Oct,10:30 AM,COSTA MESA HS 1,14Bau05,A1(1)-LAWPC,12,A2(12)-680 BLUE,7,"A bracket A1,A2",14U_BOYS_GOLD,
4-Oct,11:20 AM,COSTA MESA HS 1,14Bau07,4-SAN CLEMENTE RED,11,21-LA JOLLA UNITED GOLD,8,W/L B1/B4,14U_BOYS_GOLD,
4-Oct,12:10 PM,COSTA MESA HS 1,14Bau09,9-PAC ORANGE,7,16-NBWP WHITE,21,W/L B2/B3,14U_BOYS_GOLD,
4-Oct,1:00 PM,COSTA MESA HS 1,14Bau17,A2(12)-680 BLUE,8,A3(13)-STANFORD BLACK,7,"A bracket A1,A3",14U_BOYS_GOLD,
4-Oct,1:50 PM,COSTA MESA HS 1,14Bau13,L#1-DIABLO ALLIANCE BLACK,7,L#3-CCU BLUE,15,3rd/4thC,14U_BOYS_GOLD,
4-Oct,2:40 PM,COSTA MESA HS 1,14Bau15,W#1-TITANS,5,W#3-PALOS VERDES BLACK,12,1st/2ndC,14U_BOYS_GOLD,
4-Oct,3:30 PM,COSTA MESA HS 1,14Bau19,L#7-LA JOLLA UNITED GOLD,14,L#9-PAC ORANGE,7,3rd/4thB,14U_BOYS_GOLD,
4-Oct,4:20 PM,COSTA MESA HS 1,14Bau21,W#7-SAN CLEMENTE RED,15,W#9-NBWP WHITE,10,1st/2ndB,14U_BOYS_GOLD,
4-Oct,5:10 PM,COSTA MESA HS 1,14Bau23,G1(1stA)-LAWPC,6,G2(1stC)-PALOS VERDES BLACK,13,"G bracket 1A,1C",14U_BOYS_GOLD,
,,,,,,,,,,
,,,,,,,,,,
4-Oct,8:00 AM,ESTANCIA HS 1,14Bau02,2-ELITE,8,23-PRIDE 13,7,W/L D1/D4,14U_BOYS_GOLD,
4-Oct,8:00 AM,EL TORO HS,14Bau04,11-680 WHITE,9,14-SD SHORES GOLD,15,W/L D2/D3,14U_BOYS_GOLD,
4-Oct,8:50 AM,ESTANCIA HS 1,14Bau06,3-SHORE AQUATICS,13,22-TSUNAMI BLUE,5,W/L E1/E4,14U_BOYS_GOLD,
4-Oct,9:40 AM,ESTANCIA HS 1,14Bau08,10-ROSE BOWL RED,3,15-MISSION WPC B,9,W/L E2/E3,14U_BOYS_GOLD,
4-Oct,10:30 AM,ESTANCIA HS 1,14Bau10,6-BACK BAY,15,19-SOUTH COAST WHITE,6,W/L F1/F4,14U_BOYS_GOLD,
4-Oct,11:20 AM,ESTANCIA HS 1,14Bau12,7-FOOTHILL RED,5,18-VANGUARD SILVER,8,W/L F2/F3,14U_BOYS_GOLD,
4-Oct,12:10 PM,ESTANCIA HS 1,14Bau14,L#2-PRIDE 13,13,L#4-680 WHITE,3,3rd/4thD,14U_BOYS_GOLD,
4-Oct,1:00 PM,ESTANCIA HS 1,14Bau16,W#2-ELITE,13,W#4-SD SHORES GOLD,5,1st/2ndD,14U_BOYS_GOLD,
